,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
68,-9,-6,-4,-6,-5,-7,-6,7,-4,-3,-1,-7,-3,-3,-4,-4,0,-4
69,-10,-7,-6,-8,-8,-5,-7,7,-6,-6,-5,-6,-7,-5,-5,-4,1,-4
70,-14,-10,-10,-10,-9,-8,-9,4,-7,-6,-5,-8,-7,-7,-4,-7,0,-7
71,-17,-9,-11,-10,-9,-10,-9,2,-6,-10,-5,-10,-7,-10,-5,-8,-4,-9
72,-16,-10,-9,-13,-9,-10,-11,-2,-9,-13,-10,-8,-9,-9,-8,-7,-8,-11
73,-16,-10,-4,-11,-9,-14,-11,-5,-10,-9,-12,-7,-10,-9,-9,-6,-7,-12
74,-15,-9,-4,-11,-8,-12,-7,-8,-9,-7,-14,-7,-8,-8,-10,-6,-10,-13
75,-15,-9,-5,-10,-5,-9,-9,-11,-9,-6,-13,-7,-8,-9,-10,-6,-10,-12
76,-14,-10,0,-9,-4,-7,-9,-13,-6,-5,-10,-4,-8,-8,-9,-5,-10,-10
77,-12,-6,1,-7,-2,-8,-5,-13,-6,-4,-8,-2,-7,-6,-7,-2,-10,-10
78,-11,-5,4,-3,0,-5,-3,-14,-4,1,-7,3,-4,-3,-6,1,-11,-5
79,-7,-3,3,1,4,-4,-1,-14,-3,2,-4,6,-3,-2,-5,3,-8,-5
80,-1,0,4,2,6,-4,3,-11,-2,1,-2,8,1,1,0,3,-5,-1
81,0,2,3,4,8,2,5,-10,0,4,0,8,5,2,-1,7,-4,3
82,-1,5,7,5,7,5,6,-10,0,7,2,11,5,7,1,8,-1,5
83,3,7,8,7,10,5,7,-5,0,7,4,11,8,6,4,10,0,6
84,5,10,9,6,8,9,10,-1,1,10,7,10,9,8,9,10,4,7
85,8,11,8,11,10,9,12,0,2,10,5,10,11,10,10,11,7,6
86,12,10,9,10,9,11,13,3,0,9,10,9,10,10,11,11,9,9
87,13,13,7,8,9,10,12,4,3,11,11,10,10,11,10,13,10,11
88,14,12,6,8,9,11,12,5,3,10,13,8,15,12,12,12,11,12
89,15,9,2,5,9,11,12,7,3,7,11,8,11,10,12,11,14,8
90,13,10,1,8,9,10,8,8,5,9,12,6,9,10,10,10,13,10
91,13,7,0,8,5,8,5,8,4,7,9,5,9,10,9,6,13,8
92,10,6,-5,5,1,6,6,9,3,5,10,3,5,8,8,0,10,6
93,6,3,-3,1,0,3,2,11,3,1,9,2,6,4,4,-3,11,6
94,4,-1,-4,2,-4,1,-2,11,1,0,5,0,2,2,4,-5,6,6
95,0,-3,-7,-2,-8,0,-6,10,-1,-3,2,-2,-1,1,0,-7,4,6
96,-1,-3,-8,-1,-6,-3,-5,7,-3,-7,1,-3,-5,0,-2,-13,2,3
97,-6,-7,-9,-6,-10,-6,-8,4,-5,-8,-1,-7,-7,-4,-7,-13,0,0
98,-7,-10,-8,-8,-11,-6,-10,3,-3,-7,-3,-8,-8,-7,-6,-13,-3,-6
99,-9,-8,-7,-8,-12,-5,-13,0,-6,-9,-3,-9,-10,-8,-7,-17,-5,-8
100,-12,-7,-7,-9,-10,-7,-11,-3,-8,-9,-4,-11,-9,-7,-9,-19,-7,-9
101,-10,-7,-5,-9,-8,-7,-12,-3,-8,-7,-5,-9,-9,-9,-8,-18,-9,-9
102,-11,-8,-3,-6,-7,-7,-13,-8,-6,-7,-6,-9,-9,-9,-8,-15,-9,-10
103,-8,-6,0,-3,-6,-8,-9,-8,-7,-5,-6,-10,-7,-8,-6,-14,-9,-10
104,-8,-5,4,-2,-3,-7,-7,-10,-9,-6,-8,-6,-7,-6,-7,-13,-7,-9
105,-4,-1,6,-1,-2,-2,-7,-9,-7,-3,-9,-4,-6,-5,-5,-11,-3,-9
106,-3,0,9,-1,2,-1,-4,-8,-3,-1,-7,-3,-4,-3,-3,-7,-1,-7
107,-2,0,9,1,5,1,-2,-7,-1,-1,-6,1,0,0,-1,-4,-1,-6
108,0,6,11,5,8,2,2,-6,-1,3,-4,3,5,4,3,-3,2,-2
109,3,6,10,5,9,1,5,-1,2,4,-3,9,5,4,6,2,2,0
110,2,8,12,5,10,4,7,0,5,8,-1,10,9,4,8,6,5,1
111,6,9,12,6,10,6,9,0,8,10,4,11,9,5,6,11,3,5
112,11,8,11,9,10,5,12,2,10,9,3,12,14,9,9,15,6,8
113,13,10,12,10,10,5,11,2,9,9,8,11,14,9,10,18,8,10
114,13,9,9,11,11,7,12,5,12,9,11,10,14,8,8,19,7,10
115,12,7,9,7,11,7,13,8,10,11,11,9,12,8,9,18,8,12
116,11,5,6,7,9,6,14,9,11,10,10,9,9,9,7,19,7,12
117,13,4,5,6,6,6,12,9,11,9,8,7,11,9,5,18,5,12
118,12,7,4,5,6,4,11,9,10,6,9,2,11,7,3,15,6,11
119,11,5,1,4,3,1,8,9,8,5,9,2,9,6,3,14,4,11
120,8,3,-1,-1,-1,1,4,7,5,4,8,-1,5,2,2,10,3,9
121,3,2,-4,-2,-4,2,2,6,3,-1,5,-7,3,2,0,5,2,4
122,2,0,-6,-3,-4,-2,-1,2,1,-3,2,-6,-1,1,-4,3,2,2
123,-1,0,-7,-4,-4,-2,-2,3,2,-5,1,-8,-2,-2,-4,-1,2,-1
124,-4,-4,-8,-6,-4,-3,-5,-2,-1,-7,-2,-12,-4,-6,-7,-6,-1,-3
125,-6,-2,-10,-6,-6,-2,-9,-4,0,-7,-4,-13,-7,-6,-9,-9,-2,-5
126,-9,-3,-11,-7,-7,-4,-9,-5,-2,-10,-8,-13,-10,-9,-10,-11,-4,-7
127,-9,-6,-12,-9,-10,-4,-11,-4,-4,-12,-10,-13,-9,-9,-9,-12,-4,-11
128,-12,-8,-12,-9,-10,-6,-12,-5,-3,-12,-9,-13,-10,-13,-12,-14,-5,-11
129,-12,-6,-11,-10,-10,-5,-13,-7,-5,-10,-11,-12,-10,-11,-11,-15,-7,-14
130,-12,-5,-9,-11,-7,-7,-11,-8,-6,-10,-11,-12,-13,-11,-10,-15,-9,-14
131,-11,-6,-10,-10,-10,-5,-11,-6,-4,-9,-9,-11,-10,-10,-8,-13,-7,-15
132,-11,-7,-9,-8,-10,-6,-10,-8,-3,-9,-10,-8,-9,-9,-8,-11,-9,-14
133,-9,-7,-7,-6,-8,-7,-8,-5,-5,-9,-10,-5,-10,-9,-5,-8,-7,-15
134,-11,-4,-8,-7,-6,-3,-7,-3,-5,-7,-9,-3,-8,-8,-7,-6,-7,-10
135,-6,-5,-6,-5,-6,-2,-5,-4,-2,-4,-8,-2,-6,-8,-5,-5,-8,-8
136,-3,-4,-3,-3,-5,-2,-3,-4,-2,-4,-6,1,-7,-5,-4,-1,-9,-8
137,0,-2,0,1,-1,-1,-1,1,-3,-1,-6,4,-7,-2,-3,1,-7,-7
138,1,-2,3,-2,2,-2,1,4,-1,0,-4,5,-3,0,1,6,-5,-4
139,4,1,2,-1,3,0,2,4,-1,1,-2,6,-1,-2,1,6,-5,0
140,5,4,8,3,7,3,3,5,1,4,-1,7,-1,0,3,10,-1,-1
141,8,6,8,3,8,3,5,6,3,7,1,9,1,2,6,16,0,4
142,6,9,8,2,8,6,8,7,5,9,6,9,4,2,9,15,1,5
143,6,12,11,6,9,7,9,9,5,9,6,9,8,5,6,13,4,7
144,4,10,12,6,9,7,11,7,6,8,7,9,7,6,9,17,5,7
145,2,11,12,5,7,8,10,9,5,10,6,10,7,6,7,16,6,7
146,1,9,9,5,8,9,10,7,3,10,7,8,9,6,9,13,8,9
147,0,8,10,7,10,9,9,6,2,8,7,9,9,8,10,11,9,10
148,-1,6,7,6,8,8,8,6,2,7,5,9,10,6,6,10,7,10
149,-3,2,6,5,6,6,6,5,-1,8,6,6,8,5,7,5,8,10
150,-5,3,6,4,5,5,6,4,-4,4,5,5,7,4,5,1,7,8
151,-6,-1,4,2,2,6,3,3,-5,3,6,4,8,7,4,-3,5,5
152,-7,-1,1,2,0,3,3,3,-5,2,5,-1,7,2,5,-4,5,3
153,-8,-3,-2,1,0,4,0,-1,-3,0,6,-2,2,2,4,-8,6,2
154,-9,-4,-4,-2,-3,1,-1,-6,-5,-2,6,-3,-1,-2,3,-11,2,1
155,-9,-4,-8,-3,-5,0,-2,-6,-9,-3,4,-6,-2,0,2,-13,2,1
156,-6,-4,-10,-6,-6,-1,-6,-5,-7,-3,1,-8,-3,-5,-1,-11,-1,-2
157,-7,-8,-11,-6,-8,-3,-5,-4,-8,-5,-1,-9,-6,-5,-2,-13,-5,-4
158,-9,-7,-11,-6,-12,-6,-5,-4,-9,-7,-3,-10,-7,-4,-5,-16,-4,-6
159,-5,-9,-12,-6,-12,-4,-9,-6,-7,-6,-5,-9,-9,-4,-7,-16,-7,-7
160,-5,-8,-12,-7,-9,-7,-8,-6,-5,-9,-5,-9,-10,-7,-9,-14,-7,-9
161,-4,-7,-11,-7,-8,-8,-8,-7,-4,-9,-5,-10,-10,-7,-11,-12,-9,-9
162,-1,-8,-9,-9,-12,-8,-7,-7,-5,-8,-7,-9,-9,-8,-10,-10,-8,-11
163,-1,-8,-12,-10,-7,-6,-8,-6,-3,-9,-7,-10,-11,-9,-9,-7,-8,-11
164,2,-9,-8,-9,-6,-6,-9,-8,-1,-10,-9,-9,-9,-10,-11,-4,-9,-9
165,5,-5,-4,-6,-4,-5,-8,-10,-3,-8,-6,-5,-7,-8,-11,2,-9,-9
