,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
62,14,11,20,10,19,9,19,6,12,17,9,13,9,7,17,15,11,14,10,16
63,12,10,14,11,20,9,16,6,11,16,10,14,10,5,17,14,9,12,7,12
64,10,11,12,9,18,9,18,8,11,13,9,14,9,5,15,13,9,11,8,13
65,9,14,11,10,16,7,15,6,11,10,9,13,8,5,15,14,9,14,8,14
66,7,10,9,10,15,8,13,2,11,9,9,11,9,3,14,11,10,10,9,14
67,4,10,6,11,13,9,10,3,10,9,10,11,10,4,12,10,8,12,7,11
68,3,10,5,8,10,8,9,2,9,6,10,10,7,3,9,9,6,11,9,8
69,4,8,3,5,7,7,4,-1,11,2,8,8,6,1,6,8,5,11,5,10
70,3,7,-1,6,7,5,4,1,11,1,7,4,6,-1,5,6,5,9,8,10
71,2,5,-5,7,3,6,1,-1,8,-4,8,2,6,-5,1,6,3,8,5,8
72,3,5,-6,6,2,5,-2,-3,7,-8,9,2,5,-6,0,3,4,8,4,7
73,-1,2,-6,5,-2,5,-4,-3,6,-7,8,2,4,-10,-1,2,4,7,4,6
74,-1,0,-6,3,-2,4,-6,-6,3,-7,4,-2,5,-9,1,-1,1,7,1,5
75,-4,-4,-8,-1,-4,3,-8,-6,2,-11,5,-5,2,-10,0,-2,2,5,0,1
76,-7,-4,-10,-3,-3,0,-8,-8,-1,-11,2,-8,2,-10,-1,-4,2,4,-2,1
77,-9,-6,-11,-9,-7,-2,-8,-11,-3,-14,1,-7,-2,-13,-1,-6,0,1,-7,-1
78,-10,-10,-12,-8,-9,-2,-14,-13,-5,-14,-1,-10,-4,-11,-6,-9,-4,-1,-8,-2
79,-11,-9,-16,-11,-10,-5,-12,-16,-6,-15,-6,-11,-9,-12,-10,-10,-6,-5,-9,-3
80,-13,-10,-15,-13,-11,-7,-12,-17,-10,-13,-7,-10,-9,-13,-12,-12,-7,-8,-12,-8
81,-13,-10,-17,-12,-14,-8,-13,-18,-11,-19,-9,-11,-9,-13,-14,-12,-10,-10,-11,-8
82,-12,-11,-16,-13,-17,-12,-14,-18,-11,-16,-9,-12,-11,-12,-13,-13,-9,-11,-12,-11
83,-14,-14,-18,-14,-16,-10,-15,-19,-12,-17,-12,-11,-11,-9,-14,-14,-8,-12,-13,-11
84,-17,-15,-20,-17,-14,-12,-15,-18,-12,-15,-14,-11,-11,-10,-17,-14,-11,-12,-14,-11
85,-17,-16,-18,-16,-18,-11,-15,-20,-14,-17,-14,-12,-14,-9,-18,-17,-12,-14,-14,-12
86,-16,-14,-19,-14,-17,-12,-16,-19,-12,-16,-19,-11,-14,-8,-19,-19,-15,-13,-13,-15
87,-15,-16,-17,-16,-17,-15,-17,-20,-14,-15,-17,-15,-15,-8,-19,-16,-14,-13,-14,-14
88,-15,-18,-16,-14,-19,-17,-18,-17,-14,-16,-17,-15,-13,-8,-20,-16,-17,-15,-15,-13
89,-16,-18,-16,-16,-18,-19,-16,-17,-15,-15,-18,-14,-15,-5,-20,-16,-16,-16,-13,-15
90,-12,-16,-18,-13,-18,-19,-16,-15,-15,-13,-18,-11,-15,-2,-19,-14,-16,-15,-16,-15
91,-10,-14,-14,-12,-17,-17,-16,-12,-13,-10,-16,-13,-13,-3,-16,-12,-16,-14,-14,-16
92,-10,-14,-11,-10,-15,-15,-15,-11,-14,-8,-18,-12,-11,-2,-15,-10,-16,-15,-13,-16
93,-9,-12,-7,-9,-12,-16,-14,-6,-13,-8,-14,-13,-12,-1,-11,-9,-12,-14,-11,-16
94,-8,-10,-5,-7,-10,-15,-9,-5,-12,-6,-13,-11,-12,2,-9,-7,-14,-11,-12,-13
95,-7,-8,-5,-7,-10,-11,-9,-2,-10,-4,-10,-9,-12,3,-6,-5,-11,-11,-8,-10
96,-3,-4,-6,-6,-9,-10,-6,0,-9,-1,-10,-8,-11,4,-4,-3,-10,-11,-6,-11
97,-2,-1,1,-2,-4,-9,-2,2,-5,-2,-10,-4,-10,6,-3,0,-6,-8,-6,-9
98,1,2,2,2,-1,-5,0,7,-4,0,-7,-1,-7,7,-1,0,-4,-7,-2,-8
99,2,3,4,5,-1,0,1,11,-2,7,-4,1,-1,9,2,3,-1,-5,2,-4
