,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
34,-12,-2,-6,-5,-18,0,0,-2,-1,1,5,-21,-6,-10,-6,-16,-3,-18,-18,-3,1,4,-14,1,20,0,-13,-14,3,-13,-17,10,5,-8,-12,-12,-17
35,-16,-1,-11,-7,-19,-1,1,-4,0,2,5,-23,-5,-15,-10,-21,-6,-21,-21,-6,-1,0,-20,2,18,-2,-18,-13,0,-13,-20,13,3,-13,-18,-15,-19
36,-19,-4,-15,-8,-22,-5,1,-6,-2,-2,4,-26,-5,-21,-12,-22,-6,-23,-25,-7,0,-1,-24,2,13,-3,-21,-9,0,-12,-24,10,2,-19,-21,-22,-23
37,-23,-6,-19,-11,-23,-7,0,-4,-3,-3,2,-26,-1,-24,-15,-27,-6,-25,-26,-8,-2,2,-27,0,11,-2,-23,-7,-1,-12,-27,9,-1,-24,-24,-24,-24
38,-25,-5,-23,-9,-25,-8,-2,-7,-4,-5,2,-27,-1,-27,-15,-27,-7,-25,-28,-10,-3,2,-30,0,8,-2,-24,-3,-2,-11,-26,6,-1,-26,-26,-24,-25
39,-28,-8,-25,-10,-25,-6,-2,-8,-5,-5,-1,-29,3,-27,-15,-27,-6,-24,-27,-11,-4,-2,-29,-3,6,-6,-28,-3,-4,-8,-28,6,-2,-27,-26,-25,-28
40,-30,-7,-27,-13,-23,-7,-3,-7,-5,-3,-4,-25,3,-29,-13,-24,-3,-23,-24,-10,-7,-2,-29,-3,6,-5,-27,2,-6,-7,-25,6,-2,-26,-25,-25,-24
41,-27,-7,-23,-14,-23,-4,-3,-6,-2,-4,-4,-23,5,-28,-13,-22,1,-21,-23,-12,-4,-2,-28,-1,4,-4,-25,7,-5,-6,-23,1,0,-27,-25,-24,-23
42,-26,-2,-26,-13,-20,-2,-4,-6,0,-5,-3,-19,9,-25,-10,-19,3,-17,-19,-14,-4,-5,-22,-3,5,-5,-22,10,-4,-4,-21,2,0,-26,-24,-23,-19
43,-21,-2,-24,-14,-16,0,-2,-1,2,0,-5,-12,12,-26,-5,-15,5,-12,-15,-14,-3,-3,-18,-2,3,-1,-20,12,-2,-2,-14,2,0,-23,-20,-21,-17
44,-19,1,-21,-12,-11,5,2,2,7,1,-4,-6,12,-20,-5,-9,9,-7,-13,-13,1,2,-16,2,3,2,-16,12,3,3,-11,1,2,-19,-15,-17,-11
45,-17,8,-18,-13,-6,7,2,6,9,4,-3,-1,17,-13,-1,-7,11,-6,-5,-13,2,1,-12,3,2,6,-11,10,7,5,-7,2,5,-15,-12,-15,-6
46,-11,9,-14,-11,-2,13,4,9,13,8,-4,3,17,-9,2,-3,16,2,0,-14,4,6,-8,3,2,6,-7,9,9,7,-1,4,6,-12,-10,-10,-3
47,-6,10,-9,-10,2,13,11,11,16,9,0,7,19,-7,6,3,17,4,5,-14,7,10,-4,7,3,13,-4,10,11,10,4,3,8,-7,-1,-5,3
48,-1,15,-4,-9,7,14,15,15,20,13,3,11,20,0,7,6,21,8,7,-12,9,13,1,11,4,15,2,6,12,11,6,4,11,1,4,-1,7
49,4,17,-1,-9,9,18,17,18,19,15,3,12,18,5,12,9,20,10,12,-11,15,14,8,13,4,17,3,3,16,12,6,2,10,4,5,0,12
