,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
57,-16,-12,-14,-17,-12,-15,-13,-10,-16,-7,-13,-14,-12,-15,-12,-14,-14,-12,-16,-14,-12
58,-14,-14,-16,-10,-6,-12,-8,-8,-8,-7,-11,-17,-7,-15,-10,-16,-10,-8,-13,-13,-17
59,0,-14,-8,-2,1,-7,-8,-2,2,-5,-5,-14,-8,-12,-7,-13,0,-7,-3,-9,-18
60,12,-6,2,8,16,9,-6,3,16,3,7,-5,2,-1,1,-4,16,-3,9,-1,-9
61,22,8,14,22,27,21,3,10,23,8,20,9,9,12,6,11,22,6,21,14,2
62,20,20,21,23,24,21,11,10,20,11,22,21,10,19,7,19,21,12,23,22,17
63,15,27,16,17,17,17,10,10,16,11,18,21,6,22,5,19,16,8,16,17,23
64,13,22,9,15,14,14,9,7,13,6,13,16,4,15,4,13,15,6,15,12,16
65,6,14,7,10,9,11,6,2,4,3,11,9,4,9,2,11,7,5,7,10,13
66,-8,9,1,-4,-10,-3,2,0,-16,-2,-4,6,-2,4,-3,3,-12,1,-8,3,13
67,-23,-1,-18,-22,-25,-20,-1,-5,-25,-7,-20,-7,-5,-12,-6,-11,-22,-4,-22,-14,3
68,-21,-16,-26,-22,-23,-22,-6,-11,-15,-11,-24,-22,-7,-21,-12,-23,-17,-9,-18,-25,-15
69,-9,-21,-15,-7,-13,-11,-6,-10,-9,-16,-15,-21,-10,-15,-13,-18,-3,-6,-7,-17,-21
70,-4,-13,-4,-2,-7,-4,-13,-15,-5,-14,-7,-7,-14,-3,-13,-9,-1,-14,-2,-6,-11
71,-2,-4,-3,-2,-5,-1,-13,-12,-1,-15,-4,-2,-10,-1,-12,-3,2,-16,1,-7,-5
72,10,-2,-1,6,6,4,-8,-3,14,-5,2,-2,0,2,-2,-1,14,-7,10,-1,-3
73,23,5,15,24,21,20,4,11,25,8,14,5,15,15,11,14,25,4,22,12,4
74,24,16,25,26,23,28,12,19,20,20,23,24,20,27,25,23,22,17,22,20,16
75,15,23,16,16,14,21,21,19,9,22,17,25,22,25,26,23,11,21,11,21,26
76,11,17,9,11,8,8,19,16,5,14,8,17,16,14,17,13,6,16,7,13,18
77,8,7,9,10,8,7,13,10,8,12,8,10,10,11,14,8,7,11,8,6,10
78,7,5,9,7,6,7,7,8,4,9,6,10,5,12,5,8,2,7,5,6,4
79,-9,6,1,-5,-5,-2,2,-7,-15,-7,-1,7,-13,5,-11,4,-12,-5,-9,1,6
80,-25,-2,-15,-22,-19,-22,-16,-21,-28,-21,-19,-2,-24,-13,-23,-10,-25,-23,-23,-12,0
81,-24,-17,-26,-29,-27,-30,-28,-18,-26,-20,-26,-19,-20,-26,-22,-22,-29,-24,-27,-28,-18
82,-15,-29,-25,-22,-20,-23,-20,-6,-17,-10,-20,-25,-9,-28,-8,-26,-19,-14,-21,-29,-30
83,-12,-23,-13,-16,-13,-17,-5,-1,-15,-5,-16,-20,-4,-18,-6,-21,-15,-5,-15,-15,-26
84,-15,-17,-11,-13,-14,-16,-4,2,-15,-1,-15,-13,-4,-15,-1,-13,-14,-5,-15,-11,-19
85,-7,-12,-14,-11,-8,-10,-1,9,0,12,-11,-16,9,-16,9,-15,-4,5,-7,-15,-16
86,12,-11,0,7,8,6,13,24,17,20,2,-11,23,-8,20,-4,14,21,11,-3,-16
87,23,4,18,20,23,20,26,24,26,26,21,6,23,10,21,13,23,26,23,14,-4
88,26,21,26,24,27,27,20,17,29,19,27,20,14,24,14,30,25,18,27,28,16
89,23,28,24,23,25,27,10,7,24,8,25,27,8,25,8,28,23,9,25,27,27
90,18,26,22,21,23,24,10,8,22,6,24,23,9,22,8,24,22,9,21,27,26
91,11,23,19,18,16,15,8,8,13,5,20,21,2,17,5,22,14,10,11,22,22
92,-5,18,9,3,2,3,0,-8,-2,-6,7,17,-10,12,-6,13,-1,-1,-2,11,18
93,-22,8,-11,-15,-18,-15,-11,-24,-24,-25,-11,2,-26,-5,-26,-3,-22,-16,-19,-5,9
94,-36,-9,-29,-29,-33,-32,-26,-27,-39,-28,-29,-17,-28,-27,-26,-26,-34,-25,-35,-24,-10
95,-35,-30,-36,-32,-38,-40,-29,-22,-34,-20,-36,-32,-19,-36,-20,-37,-33,-20,-34,-38,-27
96,-26,-37,-32,-27,-31,-31,-18,-15,-22,-15,-29,-34,-15,-34,-16,-34,-25,-14,-22,-36,-34
97,-17,-30,-24,-16,-17,-20,-11,-16,-16,-15,-21,-27,-14,-25,-15,-27,-14,-15,-14,-25,-33
98,-8,-18,-12,-6,-10,-13,-12,-7,-4,-9,-13,-18,-4,-15,-8,-17,-7,-10,-6,-15,-21
99,6,-10,-5,2,2,-2,-2,9,8,9,-3,-7,13,-8,10,-8,8,4,6,-7,-12
100,21,-2,10,17,17,14,15,22,21,23,11,4,28,6,22,5,22,20,20,5,-2
101,24,13,22,25,26,22,28,27,20,26,22,19,28,17,25,19,22,27,24,18,11
102,19,26,22,19,20,21,26,27,17,27,21,27,26,24,26,21,20,27,19,22,21
103,17,22,17,15,14,14,23,22,17,23,16,23,21,21,22,18,17,22,19,17,21
