,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
37,-11,-15,-12,-5,-9,-11,-14,-5,8,-2,-7,-14,-4,-17,-6,-17,-6,-9,-4,-7,-4,-18,-6,-8,-6,-9,-3,-7,-13,-5,-15,-5
38,-18,-13,-9,-3,-13,-13,-16,-2,8,-2,-6,-16,-4,-15,-4,-19,-7,-15,-4,-6,-9,-18,-5,-12,-6,-13,-1,-8,-16,-4,-17,-6
39,-18,-12,-10,-6,-15,-15,-19,-2,8,-1,-3,-16,-7,-15,-6,-19,-4,-16,-2,-5,-13,-18,-6,-16,-4,-17,3,-6,-17,-8,-18,-6
40,-19,-9,-12,-5,-17,-15,-19,-1,9,0,-1,-15,-8,-15,-2,-18,0,-18,-1,-4,-13,-17,-2,-18,0,-20,1,-4,-18,-7,-18,-4
41,-18,-9,-11,0,-17,-16,-21,1,10,4,2,-14,-4,-9,-2,-19,-1,-17,-1,-1,-15,-14,1,-20,-1,-18,2,-1,-16,-2,-14,-2
42,-18,-6,-9,2,-19,-12,-17,2,10,3,0,-9,-3,-7,1,-13,-1,-17,2,0,-14,-8,2,-19,3,-19,3,0,-11,-2,-11,-1
43,-14,-4,-7,1,-15,-9,-12,6,9,2,3,-5,-2,-2,3,-6,4,-15,3,1,-11,-4,5,-17,5,-14,5,2,-6,0,-8,2
44,-8,-1,-4,1,-8,-5,-6,7,10,6,6,-1,-1,1,2,-1,5,-10,3,4,-9,3,8,-13,6,-9,7,6,-3,3,-2,1
45,-2,-1,1,6,-6,2,1,9,10,7,7,5,1,2,6,6,10,-5,7,6,-4,11,7,-6,7,-2,9,7,6,6,4,3
46,1,1,4,9,2,8,10,10,8,9,9,15,4,5,6,12,8,2,9,10,0,17,11,-1,11,3,8,7,14,8,12,5
47,11,4,5,8,10,15,16,12,5,11,10,22,8,7,8,20,8,8,11,11,7,23,11,4,12,8,9,9,20,9,19,8
48,17,6,10,9,15,23,24,11,7,11,13,28,7,8,9,27,8,15,9,10,16,30,9,11,11,17,10,12,29,10,27,8
49,25,7,10,10,22,26,28,11,8,13,14,32,10,9,11,30,10,21,7,13,22,34,7,18,11,22,10,11,31,8,32,10
50,32,10,11,12,28,31,35,13,7,11,14,36,12,11,11,35,13,28,12,14,28,36,8,23,14,30,11,14,36,10,37,10
51,37,11,17,15,33,36,39,11,7,10,15,38,10,11,11,38,14,33,14,16,32,39,11,28,13,32,10,16,40,13,39,13
52,40,13,19,15,36,34,41,9,6,10,14,39,13,15,10,39,14,37,12,14,38,38,11,32,12,38,10,16,39,12,39,15
53,44,12,20,13,38,36,41,9,8,12,13,38,12,17,10,36,11,35,11,12,38,37,11,37,14,40,9,17,40,12,38,13
54,43,15,18,10,38,37,39,13,8,10,13,36,11,17,9,33,9,36,9,11,39,31,9,38,12,39,10,14,36,11,34,11
55,38,15,16,10,38,31,34,12,8,9,13,28,11,18,10,27,11,35,10,12,38,29,11,38,10,35,9,13,33,12,31,12
56,33,16,14,9,35,26,29,8,9,8,10,23,9,18,11,22,11,33,10,12,34,23,9,38,9,33,10,14,26,12,27,10
57,28,18,10,9,29,22,22,6,9,8,9,17,10,17,8,15,9,27,10,11,29,14,7,32,9,26,8,8,20,12,21,9
58,21,19,7,7,21,15,15,7,8,8,10,8,9,18,8,7,8,22,8,10,27,6,8,25,8,22,8,8,10,10,13,10
59,15,19,6,5,12,3,6,7,8,6,9,0,8,18,7,-3,7,14,7,7,16,-4,5,18,8,13,7,7,2,10,6,7
60,2,16,3,7,5,-4,-4,7,8,6,4,-8,6,17,10,-11,10,5,6,8,5,-12,7,10,7,5,4,4,-6,10,-2,6
61,-5,17,2,6,-4,-11,-13,6,9,6,5,-16,6,17,8,-17,9,-3,7,7,-1,-17,6,1,6,-3,3,4,-16,9,-13,6
62,-13,15,-1,9,-11,-19,-20,6,5,5,5,-23,4,16,5,-25,9,-11,6,6,-9,-23,5,-7,3,-13,6,4,-23,7,-21,6
63,-19,14,-3,7,-18,-27,-26,6,6,5,6,-27,5,14,9,-30,5,-20,5,4,-17,-27,6,-12,5,-19,5,4,-26,6,-25,5
64,-26,13,-4,4,-22,-30,-29,6,3,3,1,-30,5,13,6,-30,6,-25,7,1,-22,-29,7,-21,6,-24,3,4,-31,5,-29,5
65,-30,14,-5,3,-27,-34,-31,3,2,3,-1,-34,5,13,2,-34,2,-29,6,1,-25,-34,8,-25,5,-26,4,0,-34,3,-32,5
66,-30,10,-5,3,-30,-32,-33,2,0,4,-3,-33,2,8,6,-32,3,-31,5,2,-30,-32,6,-27,3,-32,0,-1,-35,2,-31,5
67,-32,8,-7,0,-30,-31,-34,5,-4,0,-3,-31,3,7,5,-28,3,-33,4,0,-31,-29,4,-30,1,-32,0,2,-31,0,-31,2
68,-30,5,-8,-2,-31,-29,-31,0,-6,-1,-5,-28,2,4,4,-26,2,-31,1,-1,-32,-25,-1,-31,0,-30,0,0,-28,1,-28,2
69,-27,5,-7,-1,-30,-25,-28,-3,-8,-2,-5,-27,2,2,1,-22,1,-29,0,-3,-30,-21,-1,-31,-3,-28,-4,-2,-25,0,-22,0
70,-24,2,-7,-3,-24,-19,-21,-4,-11,-6,-5,-20,0,1,-4,-18,-4,-28,-3,-6,-24,-17,-1,-26,-6,-27,-5,-3,-19,-1,-17,0
71,-19,-1,-7,-3,-20,-13,-17,-7,-14,-5,-5,-14,-3,-1,-3,-13,-3,-24,-2,-4,-22,-12,-1,-25,-6,-23,-5,-5,-14,-4,-13,-2
72,-13,-3,-4,-6,-13,-6,-11,-8,-16,-7,-10,-10,-3,-7,-6,-9,-5,-15,-4,-8,-19,-5,-4,-22,-7,-17,-10,-5,-9,-6,-10,-4
73,-7,-4,-2,-10,-8,1,-5,-12,-19,-9,-10,-5,-6,-9,-6,-3,-6,-11,-9,-9,-12,-2,-9,-15,-10,-10,-12,-9,-4,-8,-7,-5
74,-4,-7,-4,-12,-5,1,1,-14,-20,-11,-12,0,-9,-11,-13,-4,-10,-5,-11,-13,-4,2,-11,-8,-12,-6,-14,-11,2,-11,-2,-9
75,0,-9,-6,-13,-1,4,3,-14,-19,-13,-14,4,-11,-11,-13,2,-11,1,-12,-15,0,3,-13,-4,-13,-2,-14,-13,6,-12,-1,-11
76,2,-13,-5,-16,1,7,5,-18,-16,-15,-17,4,-13,-13,-13,3,-14,2,-14,-14,2,3,-13,0,-13,1,-14,-14,7,-14,2,-12
77,4,-13,-4,-17,3,9,5,-18,-14,-17,-17,5,-16,-16,-16,3,-14,4,-13,-17,4,4,-15,1,-19,3,-16,-16,5,-17,1,-14
78,3,-16,-3,-18,6,7,3,-18,-15,-19,-20,7,-18,-15,-16,3,-15,4,-15,-18,6,2,-16,2,-19,4,-18,-18,7,-19,3,-16
79,5,-20,-3,-20,6,4,4,-21,-15,-19,-19,3,-19,-18,-20,2,-18,3,-17,-18,8,1,-18,3,-19,3,-19,-20,6,-20,1,-15
80,3,-18,-4,-22,2,0,1,-20,-11,-19,-20,3,-19,-18,-19,-1,-21,2,-20,-21,5,-3,-20,5,-19,2,-19,-21,1,-20,-4,-19
81,-1,-20,-5,-20,2,-3,0,-21,-7,-17,-17,-2,-19,-15,-17,-5,-20,-2,-20,-17,2,-4,-21,4,-18,-2,-17,-19,-2,-18,-5,-20
82,-4,-20,-6,-19,-2,-8,-5,-20,-4,-17,-16,-6,-21,-16,-17,-9,-19,-2,-18,-15,-2,-6,-17,3,-16,-4,-18,-19,-5,-21,-4,-22
83,-10,-20,-9,-18,-4,-12,-7,-15,2,-15,-14,-9,-19,-18,-17,-10,-17,-4,-17,-13,-6,-11,-16,-1,-16,-6,-14,-18,-7,-19,-7,-22
84,-11,-21,-8,-15,-8,-14,-7,-13,5,-11,-12,-10,-15,-18,-14,-11,-17,-8,-17,-12,-10,-14,-17,-6,-12,-7,-12,-15,-12,-16,-7,-17
85,-14,-19,-7,-11,-11,-17,-10,-9,8,-9,-7,-11,-14,-15,-14,-12,-15,-10,-15,-12,-11,-12,-15,-6,-9,-9,-9,-15,-13,-16,-9,-15
86,-13,-17,-8,-10,-13,-18,-12,-5,9,-7,-4,-12,-10,-13,-10,-12,-10,-13,-9,-8,-12,-12,-7,-10,-5,-13,-4,-8,-14,-13,-14,-12
87,-17,-16,-7,-7,-15,-18,-12,-3,13,-4,-1,-11,-7,-11,-5,-12,-6,-15,-7,-4,-13,-11,-3,-13,-1,-13,-2,-3,-12,-7,-13,-9
88,-17,-12,-5,0,-13,-16,-9,0,13,-1,4,-10,-6,-9,-3,-7,-4,-13,-5,-2,-12,-7,0,-13,3,-14,3,1,-8,-1,-11,-6
89,-12,-9,-4,4,-12,-11,-8,4,13,3,5,-6,1,-8,1,-3,-1,-12,-2,3,-10,-3,3,-14,5,-12,6,4,-5,1,-10,1
90,-9,-5,-4,6,-8,-7,-6,7,13,7,9,-6,5,-6,5,-1,4,-9,4,5,-8,1,7,-11,8,-10,11,9,-4,5,-5,1
91,-5,-5,-2,7,-4,-2,0,11,12,12,13,-1,7,-3,7,6,8,-3,6,6,-7,5,11,-5,11,-4,13,13,1,8,-1,5
92,2,-1,-1,13,0,7,5,16,11,16,17,6,10,0,12,11,11,1,12,10,-6,13,12,-5,13,2,15,15,5,11,5,10
93,8,2,0,16,5,14,9,17,10,17,18,11,15,3,16,16,12,9,14,13,2,17,15,1,15,7,16,17,13,15,12,15
94,14,5,3,18,11,21,15,19,11,22,18,17,16,3,17,22,17,12,16,16,7,23,18,8,20,11,20,19,20,16,16,18
95,19,7,7,21,18,25,23,18,8,18,17,23,17,7,21,27,17,17,20,19,15,28,19,15,21,19,20,21,23,19,21,19
96,25,7,11,20,24,28,25,19,8,19,16,27,21,8,20,31,20,23,20,16,21,32,18,19,19,27,19,21,26,21,24,20
97,30,9,10,18,29,33,31,19,7,19,15,31,19,8,20,32,20,30,21,17,24,32,21,23,18,28,20,20,29,19,28,20
98,30,11,11,18,34,36,32,19,7,20,14,34,17,8,18,34,20,32,19,15,29,35,19,29,17,32,20,18,32,18,31,19
99,35,14,11,15,36,37,32,17,4,19,15,33,19,11,21,32,20,35,17,15,32,35,17,33,19,35,17,16,34,19,32,18
100,35,13,10,15,36,38,28,14,4,16,11,31,18,11,18,29,17,34,16,14,33,29,15,35,16,35,17,13,31,18,32,21
101,33,12,12,15,36,34,28,12,5,13,8,30,14,12,14,26,15,32,16,12,32,24,13,32,15,33,16,13,30,13,28,14
102,26,9,14,12,31,30,26,11,4,13,7,25,14,8,11,21,13,28,15,13,32,20,10,33,12,29,12,9,23,13,24,12
103,24,10,12,11,26,26,19,11,5,11,7,22,8,10,12,18,12,24,13,10,28,13,10,32,12,23,9,7,17,13,20,12
104,18,13,12,9,19,19,15,9,7,7,4,15,10,10,11,12,12,20,10,7,22,9,10,25,11,20,8,7,13,10,14,9
105,12,9,12,8,14,11,11,8,6,7,4,9,8,8,7,5,10,12,8,7,17,2,9,21,6,13,7,6,7,8,8,9
106,5,8,10,6,7,6,3,6,8,6,6,2,8,9,5,-2,8,8,6,6,12,-5,7,12,5,6,7,3,0,7,3,7
107,-1,9,11,4,1,-3,-2,4,5,5,3,-3,6,8,3,-7,6,0,4,5,7,-7,6,8,5,-1,8,4,-3,4,-5,3
108,-6,8,10,4,-7,-7,-9,3,7,4,3,-8,5,9,3,-12,6,-6,4,6,0,-12,7,0,5,-7,6,4,-9,4,-10,4
109,-10,9,10,3,-12,-12,-13,4,10,6,4,-13,5,8,4,-16,6,-11,4,5,-7,-16,4,-6,2,-10,4,2,-14,4,-16,4
110,-13,8,8,3,-17,-16,-17,4,11,2,5,-15,4,7,4,-19,4,-16,3,4,-14,-16,4,-11,2,-14,4,3,-16,3,-16,2
111,-16,7,7,3,-20,-17,-19,2,11,2,3,-17,4,9,5,-19,3,-15,5,4,-15,-16,4,-17,5,-16,4,3,-17,2,-20,4
112,-18,8,6,3,-23,-20,-17,1,8,3,6,-17,5,9,3,-15,4,-19,3,7,-17,-17,2,-18,4,-18,6,3,-17,3,-18,3
113,-19,9,6,3,-22,-17,-16,4,8,3,4,-15,3,10,2,-13,3,-21,1,5,-18,-13,1,-21,1,-17,5,3,-17,4,-17,6
114,-15,7,5,5,-21,-17,-14,3,6,2,4,-11,3,11,3,-11,2,-17,3,6,-19,-10,2,-20,1,-16,2,6,-11,6,-16,4
115,-12,7,5,3,-16,-15,-12,2,5,1,2,-8,4,9,3,-7,2,-13,1,4,-17,-8,0,-17,3,-14,1,6,-9,5,-9,4
116,-8,6,3,3,-13,-8,-7,2,1,1,3,-5,1,8,3,-5,3,-11,2,3,-12,-2,0,-15,1,-8,0,4,-7,4,-7,3
117,-3,5,1,2,-5,-7,-2,1,-4,-2,0,-1,0,11,2,0,2,-5,0,3,-6,-1,1,-11,2,-5,-3,2,-2,3,-2,2
118,-1,6,4,1,-3,-5,1,0,-9,0,2,3,0,10,-1,3,2,-2,0,2,-3,4,-1,-6,0,-2,-3,4,4,2,0,2
119,3,6,0,-1,2,1,3,-1,-9,-4,0,6,-1,7,-2,4,2,1,0,-1,-2,6,-1,-4,-2,4,-4,0,4,3,3,1
120,5,5,-3,-3,6,3,7,-6,-12,-5,-3,10,-1,6,-1,6,0,3,0,-1,0,8,-2,4,-2,6,-5,-3,5,-1,7,1
121,8,1,-6,-5,6,4,7,-6,-17,-7,-5,10,-2,8,-3,6,-4,6,-3,-4,5,8,-2,6,-7,9,-9,-3,8,-2,7,-2
122,7,2,-6,-9,7,4,6,-8,-18,-8,-7,8,-4,5,-7,7,-5,6,-7,-6,4,6,-8,7,-6,9,-10,-7,5,-6,5,-5
123,4,-1,-8,-10,9,4,5,-9,-20,-9,-10,3,-3,4,-9,4,-7,7,-7,-8,5,0,-8,8,-8,9,-12,-10,1,-7,4,-7
124,1,-1,-9,-13,8,3,2,-12,-20,-13,-12,0,-4,-1,-12,1,-11,3,-9,-10,3,-1,-9,7,-11,5,-15,-11,-3,-11,-1,-10
125,-2,-5,-13,-12,4,-3,0,-12,-19,-13,-11,-6,-7,-3,-15,-6,-13,2,-12,-12,1,-7,-13,5,-12,2,-16,-13,-6,-13,-3,-11
126,-6,-7,-14,-15,-1,-6,-4,-13,-18,-16,-15,-11,-9,-5,-17,-11,-15,-2,-13,-12,-2,-14,-13,1,-13,0,-16,-12,-11,-16,-10,-12
