,0,1,2,3,4,5,6,7,8,9,10
112,5,1,3,0,1,1,-4,6,2,7,4
113,5,0,1,-2,-2,-2,-5,3,1,4,0
114,0,-3,-2,-5,-2,-3,-6,3,-2,0,-4
115,-2,-5,-3,-4,-2,-2,-7,2,-4,0,-4
116,-1,-5,-4,-5,-4,-3,-6,-1,-5,-2,-2
117,-3,-5,-3,-2,-4,-4,-5,-2,-4,-3,0
118,-2,-5,-6,-2,-4,-4,-6,-2,-4,-2,-2
119,-4,-6,-4,-4,-6,-4,-5,-2,-4,-5,-2
120,-3,-6,-5,-2,-5,-5,-5,-5,-5,-7,-4
121,-4,-3,-6,-3,-5,-3,-4,-7,-6,-10,-3
122,-3,-5,-5,1,-4,-3,-4,-11,-6,-7,-4
123,-3,-5,-4,-2,-5,-4,-4,-11,-7,-9,-2
124,-5,-6,-5,-3,-5,-3,-2,-9,-5,-9,-2
125,-5,-6,-2,-3,-4,-4,1,-9,-6,-8,-2
126,-4,-4,-3,-1,-1,-1,1,-6,-3,-6,1
127,-2,-3,1,1,0,2,1,-5,-3,-6,1
128,1,0,2,1,1,0,2,-3,-4,-4,3
129,3,-1,1,1,0,1,5,1,-1,-2,3
130,3,0,1,1,1,2,4,2,3,-1,3
131,0,-3,2,-1,1,3,5,4,1,3,3
132,4,2,2,0,-1,1,3,5,1,4,1
133,3,4,2,1,-1,2,3,6,2,6,2
134,1,2,2,1,3,2,2,5,1,6,4
135,3,6,3,1,3,3,4,5,3,6,7
136,4,7,4,2,4,3,4,6,2,4,6
137,3,4,5,3,2,3,4,7,4,3,6
138,3,5,4,1,3,2,2,2,5,4,4
139,4,6,2,0,1,-1,-1,-1,4,2,0
140,1,2,0,-2,-1,-3,-1,-1,2,-2,-2
141,-1,1,0,-3,-2,-4,-2,-2,2,-4,-2
142,-3,2,-2,-2,-2,-5,-3,-5,0,-5,-6
143,-4,1,-3,-1,-1,-5,-2,-2,-2,-7,-3
144,-4,-1,-3,-2,-3,-5,-4,-6,-4,-6,-5
145,-2,1,-3,-3,-2,-4,-5,-6,-4,-8,-5
146,-4,-1,-5,-4,0,-5,-6,-5,-5,-6,-4
147,-3,-3,-8,-6,-5,-6,-5,-5,-6,-5,-4
148,-4,-5,-10,-6,-6,-6,-7,-7,-5,-5,-7
149,-5,-6,-10,-7,-5,-7,-8,-9,-5,-7,-8
150,-8,-6,-9,-7,-5,-7,-7,-7,-7,-8,-9
151,-7,-6,-8,-7,-5,-6,-5,-9,-6,-9,-8
152,-6,-5,-7,-1,-4,-5,-4,-6,-7,-7,-5
153,-7,-3,-5,-2,-5,-4,-2,-8,-6,-5,-1
154,-5,-4,-5,0,-3,-6,-1,-7,-5,-5,0
155,-2,-4,-2,3,-1,-2,0,-8,-7,-3,1
156,1,-4,-1,3,-3,0,0,-5,-4,-5,1
157,-2,0,0,2,-3,1,1,-2,-3,-1,0
158,0,-1,2,0,-3,2,0,-1,0,-4,2
159,0,-2,3,1,-2,5,1,-1,0,-3,2
160,0,1,4,3,-1,4,1,1,-1,-3,2
161,1,1,4,3,4,5,4,3,1,0,3
162,3,3,7,4,5,7,8,6,3,3,4
163,4,6,6,3,7,6,10,6,6,6,3
164,2,7,7,4,6,4,8,10,10,7,6
165,2,8,6,2,6,3,9,11,13,8,4
166,3,5,8,3,6,3,7,9,12,9,3
167,2,4,7,0,7,2,8,10,11,10,4
168,3,3,7,2,9,3,10,9,11,11,3
169,4,5,7,3,6,3,5,10,14,11,5
170,6,6,8,1,7,2,8,9,11,11,5
171,5,6,7,3,5,4,5,9,10,8,6
172,7,4,7,4,5,3,4,9,9,8,5
173,8,6,9,5,2,3,2,8,8,7,2
174,4,4,6,5,2,-1,-1,6,3,6,2
