,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
65,3,1,1,-7,6,0,4,-1,4,-4,1,2,3,4,-4,2,5,9,0
66,1,-6,0,-6,-1,-5,3,-6,4,-4,-1,-3,0,-2,-7,0,0,7,-3
67,-3,-11,1,-9,-2,-8,3,-12,3,-5,-6,-9,-5,-6,-9,1,-6,1,-8
68,-9,-14,0,-6,-7,-15,1,-17,2,-5,-8,-15,-10,-8,-15,3,-11,-4,-12
69,-15,-16,2,-5,-13,-20,-1,-19,-2,-5,-11,-17,-13,-13,-20,3,-15,-10,-16
70,-17,-19,1,-6,-18,-20,-1,-20,0,-3,-13,-20,-17,-20,-21,2,-18,-13,-20
71,-19,-20,0,-6,-21,-22,0,-22,0,-4,-13,-22,-19,-23,-19,0,-21,-17,-22
72,-22,-18,1,-6,-22,-20,1,-25,-1,-3,-18,-23,-19,-23,-20,0,-24,-19,-21
73,-23,-20,1,-3,-21,-20,0,-24,1,0,-17,-21,-19,-26,-17,0,-25,-21,-21
74,-23,-19,3,0,-20,-20,-1,-20,4,1,-18,-20,-21,-26,-15,-1,-23,-24,-20
75,-22,-19,2,1,-18,-18,1,-18,3,0,-18,-17,-18,-23,-12,2,-20,-20,-18
76,-19,-13,3,2,-16,-13,2,-13,2,3,-13,-14,-18,-19,-9,0,-19,-17,-15
77,-15,-8,2,3,-14,-9,4,-8,2,5,-8,-10,-15,-15,-4,2,-12,-17,-12
78,-10,-2,4,3,-10,-4,4,-3,4,5,-7,-6,-10,-10,2,3,-9,-12,-6
79,-5,4,5,2,-4,2,2,3,5,5,-4,1,-4,-3,5,2,-5,-9,1
80,2,10,5,3,0,8,3,8,-1,8,0,7,2,1,12,4,1,-4,6
81,6,11,5,4,5,15,2,15,0,8,2,13,6,6,16,5,4,0,10
82,14,17,6,0,10,20,4,20,0,7,10,17,12,11,21,2,10,9,16
83,17,23,7,3,17,27,4,24,1,6,9,22,19,20,25,4,19,15,23
84,22,28,4,2,22,29,2,27,2,6,12,27,24,25,30,1,22,19,27
85,25,28,2,2,26,34,4,30,-1,4,13,29,26,27,29,3,26,23,30
86,28,32,3,1,29,31,2,32,1,3,15,30,28,32,29,1,30,28,31
87,28,34,-1,1,30,30,1,32,-2,2,17,31,29,32,29,2,31,31,32
88,31,34,-4,1,29,29,-1,31,-7,2,15,34,30,31,28,-1,31,29,30
89,31,31,-4,2,28,27,-4,29,-7,-1,13,31,31,31,25,-4,30,31,29
90,29,28,-5,3,28,23,-4,24,-7,-1,10,27,29,29,22,-6,32,29,27
91,23,24,-6,1,24,19,-6,21,-11,1,6,22,26,25,15,-7,28,27,23
92,19,19,-11,3,21,14,-7,15,-11,0,2,17,21,19,13,-9,22,26,19
93,16,13,-13,3,16,11,-9,10,-10,0,-3,12,15,15,9,-14,18,20,16
94,10,7,-13,1,11,3,-11,1,-11,-2,-7,9,11,13,-1,-13,15,15,9
95,5,-1,-15,2,4,-3,-11,-6,-10,0,-11,5,10,7,-4,-14,9,10,2
96,-2,-6,-14,2,-2,-8,-15,-11,-12,3,-16,-2,2,2,-8,-15,1,4,-3
97,-6,-16,-15,2,-5,-12,-15,-14,-13,3,-17,-11,-5,-5,-13,-16,-5,0,-9
98,-11,-20,-18,3,-10,-17,-16,-18,-12,3,-20,-17,-11,-9,-17,-13,-10,-5,-13
99,-17,-23,-15,1,-15,-20,-15,-23,-10,5,-21,-23,-15,-15,-21,-15,-13,-11,-19
100,-20,-25,-12,1,-20,-22,-15,-26,-10,6,-21,-26,-20,-20,-23,-14,-17,-13,-21
101,-22,-25,-9,1,-23,-22,-10,-27,-9,8,-20,-27,-22,-20,-24,-10,-19,-16,-23
102,-22,-27,-7,2,-24,-24,-11,-27,-6,8,-19,-27,-24,-22,-23,-9,-21,-19,-25
103,-21,-27,-2,0,-24,-23,-7,-26,-3,8,-15,-26,-27,-24,-21,-6,-24,-22,-25
104,-24,-25,-1,1,-25,-23,-4,-21,0,7,-9,-25,-25,-23,-21,-2,-27,-22,-23
105,-22,-22,2,4,-23,-21,-1,-19,2,6,-5,-20,-24,-20,-19,-1,-24,-21,-22
106,-19,-19,5,3,-19,-19,3,-17,4,6,0,-20,-20,-20,-14,2,-20,-19,-21
107,-19,-15,6,2,-17,-14,4,-11,7,7,5,-17,-19,-16,-10,6,-20,-17,-17
108,-16,-8,10,2,-11,-8,7,-6,10,4,10,-11,-14,-12,-7,11,-15,-12,-15
109,-11,-3,12,2,-9,-6,9,-3,11,3,12,-9,-9,-10,-4,12,-10,-11,-9
110,-7,1,14,1,-7,-3,11,2,15,-1,17,-5,-4,-8,1,13,-6,-7,-7
111,-2,5,16,-1,0,1,12,7,15,-2,18,2,-1,-5,6,18,-1,-5,-1
112,0,8,18,-2,2,8,15,9,16,-5,20,5,4,3,8,18,3,-3,5
113,4,10,16,-5,3,8,16,11,13,-8,21,8,9,3,8,16,6,1,8
114,8,13,15,-5,6,12,12,13,11,-9,18,10,9,7,11,16,10,2,11
115,10,12,15,-9,8,13,14,14,12,-13,17,14,11,10,13,16,10,4,14
116,11,16,13,-11,11,14,12,16,9,-15,15,12,14,11,15,16,17,7,15
117,12,16,9,-13,11,14,7,16,8,-15,9,16,13,12,15,12,15,8,14
118,13,15,6,-13,12,15,6,16,7,-14,5,15,14,14,15,10,15,10,16
119,11,11,3,-9,13,15,4,14,1,-16,2,13,14,12,12,9,13,10,16
120,13,13,-2,-13,9,11,-1,12,-2,-17,-2,11,10,12,10,7,12,10,16
121,11,11,-4,-11,7,10,-5,9,-4,-14,-8,10,10,11,6,3,12,9,12
