,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
282,-16,-13,20,-19,-17,-8,21,-12,22,-15,15,-9,-20,-12,-6,22,-17,-21,-11
283,-9,-4,16,-22,-9,0,18,-4,17,-17,18,-3,-12,-7,1,19,-12,-12,-5
284,-2,2,10,-22,0,5,13,4,12,-18,22,4,-4,1,7,14,-5,-6,3
285,4,10,5,-24,6,12,6,12,4,-22,25,12,3,10,12,9,5,-1,8
286,13,18,-2,-21,14,19,0,15,-1,-21,28,16,9,16,17,3,9,9,13
287,21,24,-7,-19,20,23,-5,23,-7,-23,30,22,16,21,23,-3,14,19,18
288,25,28,-13,-15,25,27,-10,27,-10,-21,30,28,22,27,26,-8,20,21,23
289,30,32,-17,-11,27,30,-13,31,-16,-20,25,32,28,29,31,-14,25,25,25
290,34,32,-21,-10,30,31,-18,35,-20,-15,22,33,30,32,33,-18,31,28,29
291,35,34,-23,-2,37,32,-20,36,-21,-9,17,34,32,32,33,-21,34,31,32
292,36,33,-23,3,35,32,-23,35,-24,-4,13,30,35,32,31,-26,33,31,31
293,35,29,-22,6,32,29,-26,35,-22,5,9,30,31,31,30,-27,31,33,27
294,31,26,-21,14,31,25,-23,32,-24,6,3,27,29,29,26,-26,31,33,29
295,29,21,-18,22,26,21,-21,26,-21,13,-1,25,27,26,22,-25,25,32,25
296,24,17,-15,23,22,20,-20,19,-20,19,-8,19,25,21,16,-24,22,29,19
297,20,13,-14,27,17,13,-18,15,-15,22,-14,12,20,16,11,-21,20,28,14
298,15,7,-9,29,10,6,-14,10,-13,26,-18,6,13,12,5,-17,14,24,9
299,4,1,-6,32,4,1,-13,0,-8,29,-21,1,8,4,0,-13,8,17,1
300,-1,-4,-4,30,-2,-5,-8,-6,-4,32,-24,-4,2,-1,-5,-9,3,9,-4
301,-8,-9,-1,27,-6,-10,-4,-11,-1,31,-25,-12,-5,-6,-10,-5,-3,3,-9
302,-13,-14,2,27,-9,-14,0,-15,1,30,-26,-13,-8,-12,-15,-2,-6,-5,-12
303,-16,-18,2,25,-16,-18,4,-18,4,29,-27,-16,-13,-17,-17,5,-11,-9,-16
304,-20,-21,8,20,-19,-19,6,-19,9,26,-26,-19,-16,-21,-22,7,-17,-17,-21
305,-23,-20,10,17,-23,-23,9,-23,12,22,-19,-20,-20,-26,-22,9,-19,-21,-22
306,-24,-23,13,9,-23,-24,13,-23,11,15,-17,-23,-22,-25,-20,14,-18,-24,-22
307,-23,-22,13,5,-25,-21,13,-20,11,8,-13,-25,-21,-25,-20,15,-20,-25,-22
308,-24,-21,13,0,-24,-20,14,-17,10,1,-10,-22,-22,-24,-19,18,-21,-24,-20
309,-21,-16,10,-5,-23,-18,13,-16,12,-3,-2,-18,-21,-21,-13,18,-18,-23,-18
310,-21,-14,10,-13,-19,-15,12,-12,10,-8,1,-15,-18,-20,-12,16,-16,-22,-15
311,-18,-10,10,-16,-15,-11,10,-7,8,-12,7,-13,-17,-14,-7,14,-17,-19,-12
312,-13,-5,6,-20,-12,-7,8,-5,6,-16,13,-7,-12,-9,-4,13,-12,-15,-8
313,-8,2,4,-22,-8,-1,5,-3,3,-19,17,0,-9,-7,-2,8,-7,-10,-5
314,-1,2,-1,-22,-1,2,2,4,2,-22,20,1,-4,-3,4,5,-3,-6,-2
315,4,7,-4,-25,-1,7,-1,7,-2,-24,24,5,0,4,8,0,1,-1,3
316,5,10,-5,-26,8,11,-4,9,-7,-24,25,10,4,10,10,-2,5,2,9
317,7,12,-10,-25,11,13,-9,12,-9,-24,25,11,8,11,14,-7,7,5,9
318,13,15,-12,-25,14,15,-13,16,-14,-22,24,14,12,14,17,-11,10,9,13
319,16,18,-13,-21,16,17,-13,18,-14,-20,22,16,15,18,17,-15,11,13,17
320,19,17,-16,-18,18,17,-17,18,-16,-14,19,19,18,18,18,-19,13,14,17
321,19,18,-17,-15,19,17,-16,16,-17,-10,14,18,17,17,16,-19,16,14,18
322,18,16,-18,-10,19,16,-16,16,-16,-9,8,16,15,19,15,-21,17,16,14
323,19,16,-14,-5,19,14,-16,13,-16,-5,2,15,17,18,13,-19,16,16,15
324,16,12,-15,3,16,11,-13,11,-15,-2,-6,13,16,15,10,-18,15,15,13
325,14,7,-11,4,16,9,-12,8,-12,2,-12,7,13,12,6,-14,13,13,10
326,12,4,-8,7,9,5,-11,4,-9,5,-17,4,9,10,3,-11,10,12,7
327,4,0,-5,10,4,-1,-6,-3,-6,9,-24,-1,6,7,-1,-7,7,10,1
328,-1,-5,1,13,0,-5,-2,-4,-3,12,-29,-4,3,1,-4,-5,2,5,-1
329,-3,-9,4,17,-4,-9,2,-8,5,14,-30,-8,-3,-6,-10,0,0,0,-8
330,-7,-13,10,16,-7,-12,6,-13,9,13,-33,-11,-5,-7,-13,4,-6,-4,-11
331,-10,-16,10,18,-10,-16,12,-14,13,13,-32,-15,-9,-12,-16,10,-9,-8,-14
332,-11,-21,14,17,-13,-18,15,-20,16,17,-32,-16,-13,-15,-16,12,-14,-10,-16
333,-16,-21,16,14,-16,-20,18,-21,18,14,-28,-20,-18,-18,-19,15,-19,-15,-19
334,-18,-22,19,14,-20,-22,18,-25,17,12,-24,-21,-19,-19,-20,17,-20,-18,-20
335,-20,-21,18,11,-23,-21,18,-23,17,11,-17,-21,-18,-21,-21,21,-20,-20,-22
336,-20,-20,16,6,-25,-22,20,-21,17,6,-12,-23,-20,-23,-19,18,-23,-22,-24
337,-22,-19,20,1,-23,-20,20,-20,20,2,-2,-20,-20,-22,-16,21,-21,-20,-19
338,-20,-18,18,0,-20,-16,17,-18,16,-1,7,-18,-21,-19,-12,19,-18,-20,-14
339,-19,-15,14,-3,-18,-12,19,-13,15,-2,11,-15,-15,-17,-9,15,-16,-18,-13
340,-16,-11,14,-10,-14,-9,15,-10,13,-6,19,-11,-15,-15,-4,12,-16,-18,-6
341,-14,-4,6,-13,-9,-5,12,-5,7,-12,23,-6,-9,-11,-3,10,-12,-11,-5
342,-9,-1,3,-13,-8,-2,7,-1,2,-12,27,0,-8,-6,1,8,-3,-8,1
343,-5,4,-3,-19,-3,3,1,5,-2,-14,33,3,-3,-3,5,2,-2,-5,3
344,0,8,-7,-21,3,9,-4,8,-7,-16,35,6,3,3,9,-3,4,0,5
345,3,12,-8,-19,6,10,-6,11,-7,-16,37,10,6,7,10,-6,9,5,9
346,6,15,-13,-19,11,13,-12,12,-14,-17,38,15,11,10,12,-12,15,7,10
347,12,17,-13,-18,13,17,-14,17,-15,-16,37,17,10,13,13,-14,16,10,10
348,14,19,-15,-14,20,17,-16,17,-16,-15,36,19,16,17,14,-14,17,13,13
349,17,18,-18,-9,18,19,-17,17,-16,-10,28,19,18,19,14,-14,16,15,16
350,16,19,-17,-5,18,19,-20,16,-17,-5,23,20,18,17,15,-17,18,16,15
351,15,20,-15,-1,16,17,-19,17,-14,0,17,18,18,17,17,-18,18,17,15
352,18,16,-14,6,16,13,-17,13,-14,3,10,15,19,16,12,-14,16,15,13
353,17,13,-12,11,14,13,-14,9,-13,7,2,12,16,15,9,-13,16,14,10
354,12,11,-6,14,11,10,-12,10,-9,11,-5,11,11,10,7,-10,13,13,10
355,10,7,-2,18,8,5,-6,4,-6,12,-13,4,7,8,4,-8,10,12,8
356,7,3,3,21,4,1,-2,-1,-4,14,-17,1,6,7,0,-4,4,8,6
357,4,0,7,22,1,-2,2,-4,3,20,-24,-1,2,1,-3,3,0,7,1
358,1,-4,11,19,-3,-6,6,-7,6,22,-27,-5,-2,-1,-4,6,-4,3,-5
359,-2,-7,15,20,-5,-7,10,-10,11,22,-29,-10,-5,-3,-8,9,-7,-1,-5
360,-5,-9,20,20,-6,-11,16,-11,15,21,-30,-9,-9,-8,-10,14,-10,-4,-8
361,-9,-11,21,17,-9,-10,19,-11,20,20,-28,-13,-9,-9,-9,18,-12,-6,-10
362,-13,-10,26,12,-9,-13,23,-13,23,18,-27,-14,-10,-10,-11,20,-13,-8,-12
363,-12,-9,27,8,-11,-12,25,-13,23,16,-23,-12,-12,-11,-12,24,-13,-9,-17
364,-13,-9,26,4,-12,-13,26,-12,23,14,-22,-13,-10,-13,-10,23,-13,-11,-13
365,-12,-8,25,0,-12,-11,26,-10,24,8,-14,-12,-13,-15,-10,25,-13,-10,-12
366,-13,-6,24,-5,-10,-9,25,-7,21,2,-10,-11,-9,-12,-7,25,-11,-8,-12
367,-14,-4,19,-10,-8,-7,20,-7,20,-2,-6,-7,-7,-9,-7,21,-10,-10,-10
368,-11,-2,15,-11,-5,-4,16,-4,18,-7,2,-3,-4,-8,-3,18,-9,-9,-7
369,-7,0,10,-15,-3,-2,13,-2,12,-12,5,-2,-4,-6,2,14,-4,-7,-5
370,-4,4,6,-17,0,0,10,3,8,-13,12,2,0,-1,5,10,-1,-4,1
371,1,6,-1,-18,1,4,5,5,2,-16,16,7,4,3,8,4,4,-1,4
372,5,9,-6,-19,5,8,-3,9,-3,-19,21,9,6,4,12,-2,7,3,7
373,8,12,-13,-21,10,13,-7,10,-9,-21,24,12,8,11,17,-7,12,6,13
374,11,14,-18,-18,13,17,-14,15,-18,-19,23,17,11,12,17,-12,17,8,14
375,17,18,-21,-17,16,21,-20,19,-20,-18,23,20,19,16,20,-16,18,13,19
376,21,18,-26,-14,17,24,-22,19,-24,-16,22,20,19,18,23,-22,19,17,22
377,21,21,-29,-10,19,24,-28,18,-29,-12,20,22,18,22,24,-27,21,18,25
378,25,20,-30,-9,19,23,-29,21,-31,-8,17,22,20,23,23,-31,21,21,24
379,22,22,-30,-2,20,22,-32,21,-32,-2,12,22,22,22,21,-30,21,22,23
380,18,18,-30,5,19,21,-32,20,-31,1,9,21,22,23,18,-29,21,22,23
381,16,16,-29,12,18,18,-29,14,-30,7,4,18,19,19,14,-28,21,21,19
382,15,11,-25,15,13,14,-26,13,-29,10,1,14,15,18,11,-28,17,18,14
383,13,7,-20,18,11,9,-25,10,-24,16,-3,7,12,12,5,-26,13,14,11
384,8,3,-16,22,6,3,-22,7,-19,19,-8,5,4,7,-1,-22,10,14,8
385,3,-2,-11,22,5,-2,-20,0,-13,24,-12,1,3,4,-5,-18,4,8,1
386,-1,-7,-4,24,-2,-9,-12,-3,-7,26,-17,-5,0,-1,-10,-12,0,2,-5
387,-6,-11,1,26,-6,-12,-7,-9,0,26,-19,-9,-6,-9,-14,-7,-5,-4,-8
388,-12,-19,6,25,-11,-17,-1,-14,4,24,-22,-13,-11,-12,-18,-2,-12,-9,-12
389,-16,-20,10,24,-15,-21,3,-21,7,26,-23,-17,-15,-16,-25,2,-13,-13,-19
390,-20,-23,16,22,-18,-23,7,-24,14,23,-24,-19,-19,-21,-23,8,-17,-15,-22
391,-23,-23,19,19,-21,-25,16,-24,20,18,-22,-23,-23,-23,-24,15,-19,-18,-22
392,-24,-25,21,14,-24,-25,20,-23,22,14,-21,-23,-23,-23,-24,17,-21,-18,-24
393,-24,-25,22,7,-25,-26,23,-24,22,8,-19,-23,-23,-22,-23,19,-24,-20,-23
394,-21,-23,22,0,-25,-21,24,-22,25,4,-13,-23,-22,-22,-19,22,-24,-19,-20
395,-21,-21,24,-5,-22,-19,26,-17,26,-1,-11,-21,-20,-20,-16,24,-23,-20,-18
396,-17,-18,25,-10,-19,-16,25,-15,24,-7,-6,-18,-19,-19,-11,23,-20,-17,-16
397,-12,-12,25,-16,-16,-10,26,-9,23,-13,1,-14,-13,-15,-4,23,-16,-14,-10
398,-9,-6,21,-21,-8,-6,26,-3,23,-17,4,-11,-10,-8,0,23,-12,-11,-7
399,-6,-4,16,-24,-4,0,21,3,19,-24,7,-3,-5,-2,3,20,-7,-8,-3
400,1,1,12,-30,1,6,17,6,16,-26,9,2,0,1,9,16,0,-6,0
401,2,7,9,-33,4,12,12,11,11,-28,15,7,2,5,11,13,4,0,6
402,4,12,3,-32,10,13,8,16,7,-31,17,9,9,10,12,12,8,2,10
403,9,17,-1,-29,12,17,2,18,3,-30,15,14,14,11,17,6,12,7,13
404,15,18,-5,-29,15,23,-1,18,-1,-29,16,16,15,14,19,3,13,9,13
405,14,20,-9,-29,18,22,-7,22,-8,-28,16,16,18,17,19,-3,16,12,17
406,15,21,-14,-25,18,19,-9,21,-12,-27,16,17,20,16,19,-5,17,13,18
407,18,19,-19,-20,17,16,-14,19,-15,-23,14,19,19,15,12,-9,17,13,17
408,16,16,-19,-18,13,12,-18,16,-16,-18,12,17,16,14,11,-11,18,14,16
409,12,12,-20,-13,13,11,-20,12,-18,-11,8,16,14,14,10,-15,16,15,13
410,11,10,-21,-4,9,8,-18,6,-20,-7,5,11,12,14,8,-17,15,14,14
411,8,5,-21,0,6,3,-18,3,-20,0,1,8,9,10,5,-19,11,9,10
412,5,1,-19,8,3,1,-18,0,-19,4,0,5,2,6,0,-18,8,5,5
413,1,-3,-15,10,0,-3,-17,-2,-16,9,-4,-2,-1,0,-6,-17,4,3,1
414,-3,-6,-11,17,-5,-6,-14,-8,-12,13,-6,-5,-4,-2,-9,-14,-2,-4,-2
415,-6,-11,-8,19,-10,-9,-11,-11,-8,17,-10,-8,-11,-7,-12,-11,-6,-6,-5
416,-8,-15,-4,22,-11,-12,-6,-14,-4,20,-9,-13,-13,-10,-14,-7,-9,-8,-9
417,-8,-15,4,26,-14,-14,-1,-16,2,22,-10,-15,-17,-12,-19,-2,-12,-12,-13
418,-13,-16,9,26,-16,-16,4,-18,7,24,-11,-16,-19,-14,-16,3,-15,-15,-16
419,-17,-20,14,26,-17,-14,10,-20,11,26,-11,-18,-18,-14,-18,7,-18,-15,-16
420,-18,-21,15,26,-16,-17,15,-18,18,22,-10,-17,-19,-15,-17,11,-19,-14,-16
421,-16,-19,20,24,-17,-17,19,-20,22,22,-7,-16,-18,-15,-20,17,-20,-16,-16
422,-16,-17,23,18,-14,-17,21,-18,22,21,-7,-15,-19,-15,-16,20,-18,-15,-17
423,-14,-13,26,18,-13,-14,24,-14,25,15,-3,-12,-16,-14,-13,21,-17,-15,-13
424,-12,-10,28,12,-10,-11,27,-13,24,13,2,-9,-13,-12,-11,23,-14,-15,-12
425,-6,-8,26,9,-7,-9,27,-10,25,8,4,-6,-8,-9,-6,24,-9,-10,-8
426,-2,-4,24,3,-4,-7,22,-6,23,2,8,-4,-7,-6,-1,24,-8,-8,-6
427,2,1,21,-2,-2,-2,21,-1,21,-3,13,-4,-4,-3,0,23,-5,-6,-3
428,5,4,17,-5,3,2,19,2,16,-4,17,4,1,1,6,19,1,-2,2
429,7,7,14,-11,5,5,14,5,11,-9,15,8,8,6,11,13,3,2,7
430,11,14,7,-13,7,10,12,10,8,-10,20,12,9,9,17,8,5,6,11
431,13,17,2,-18,12,11,6,11,0,-15,22,13,14,9,15,4,10,8,13
432,16,19,-5,-19,15,15,-1,16,-4,-16,18,15,17,13,20,-1,13,13,17
433,17,20,-9,-21,16,16,-8,16,-10,-17,18,17,18,18,24,-9,17,14,20
434,19,21,-14,-20,17,18,-9,21,-15,-18,16,19,20,19,21,-11,18,18,22
435,19,21,-18,-20,19,20,-17,20,-20,-20,14,18,19,21,21,-15,21,19,25
436,17,19,-24,-20,17,22,-21,22,-22,-17,11,20,20,21,22,-22,23,20,22
437,16,20,-25,-14,17,20,-26,21,-25,-11,8,18,20,19,20,-23,21,20,22
438,14,18,-26,-9,17,15,-26,18,-29,-9,5,16,19,19,18,-24,21,19,21
439,14,13,-26,-4,16,14,-27,17,-29,-5,1,13,17,15,14,-26,22,19,17
440,13,13,-26,3,12,13,-28,15,-23,-1,-4,14,15,14,11,-26,21,18,11
441,8,9,-24,8,9,10,-26,11,-20,2,-10,7,12,11,6,-23,16,16,9
442,6,5,-22,12,7,7,-23,6,-17,9,-14,5,8,7,2,-20,12,12,6
443,2,0,-19,15,2,1,-21,-1,-15,13,-16,2,3,4,-3,-17,8,8,0
444,-5,-5,-12,19,-1,-4,-16,-6,-12,19,-20,-4,-3,-3,-9,-12,0,3,-3
445,-7,-10,-5,20,-7,-9,-11,-10,-7,20,-22,-7,-7,-7,-11,-8,-2,-2,-8
446,-11,-12,0,23,-9,-15,-4,-11,-3,24,-23,-11,-11,-10,-17,-2,-5,-6,-13
447,-13,-15,5,19,-11,-15,1,-15,4,25,-23,-13,-13,-13,-17,2,-8,-11,-14
448,-15,-14,12,22,-15,-15,10,-18,9,24,-22,-15,-16,-14,-17,9,-14,-14,-17
449,-17,-17,16,21,-15,-15,15,-20,14,21,-22,-19,-18,-15,-17,16,-17,-15,-18
450,-16,-18,19,17,-18,-17,16,-19,17,22,-19,-15,-18,-17,-18,18,-19,-17,-18
451,-17,-18,23,13,-18,-18,20,-17,19,18,-15,-16,-19,-18,-18,20,-18,-17,-19
452,-15,-16,23,11,-17,-16,23,-14,22,14,-8,-13,-19,-14,-12,22,-17,-16,-14
453,-15,-13,24,4,-19,-14,24,-10,23,12,-6,-12,-16,-12,-7,22,-17,-16,-13
454,-11,-8,22,1,-15,-10,22,-6,21,5,-1,-9,-11,-12,-5,23,-14,-16,-8
455,-10,-1,22,-5,-10,-4,23,-1,22,0,8,-7,-10,-9,-1,20,-9,-9,-8
456,-5,1,20,-11,-2,3,22,3,17,-5,10,-1,-6,0,4,21,-5,-5,-3
457,-1,7,14,-16,2,6,18,7,13,-9,14,5,-1,5,8,17,-1,-2,2
458,5,11,9,-20,7,10,11,11,9,-12,13,10,4,8,12,11,4,5,6
459,8,16,3,-21,10,15,8,14,4,-19,16,10,9,13,17,5,7,9,11
460,13,17,-4,-23,13,18,1,17,-1,-20,17,15,13,16,21,0,13,16,14
461,17,17,-9,-25,18,20,-7,18,-7,-22,19,19,19,20,23,-7,17,19,16
462,20,19,-15,-24,23,21,-14,18,-12,-22,18,19,23,20,23,-10,20,22,21
463,20,22,-22,-25,23,21,-17,19,-17,-24,14,22,23,22,25,-17,21,24,22
464,21,19,-27,-22,23,22,-22,16,-24,-24,10,21,25,19,21,-23,21,24,21
465,20,16,-29,-17,19,21,-28,16,-30,-20,8,19,24,19,20,-24,21,23,22
466,20,17,-29,-14,18,17,-31,13,-30,-20,7,17,22,16,18,-28,19,21,17
467,15,13,-33,-5,15,13,-32,9,-30,-13,2,13,20,13,9,-30,19,19,14
468,10,8,-31,-2,9,8,-32,2,-28,-8,-1,8,13,10,4,-30,12,15,8
469,6,2,-28,4,6,3,-29,-1,-29,-2,-4,4,11,7,-1,-30,8,7,3
470,2,-4,-24,11,1,-3,-28,-4,-25,2,-9,-1,7,1,-7,-27,3,3,-2
471,-6,-11,-19,13,-6,-12,-22,-10,-19,7,-13,-9,0,-5,-14,-23,-1,-2,-7
472,-10,-15,-11,16,-13,-15,-18,-14,-14,12,-14,-15,-9,-12,-19,-17,-9,-10,-12
473,-17,-20,-2,20,-18,-22,-10,-19,-6,15,-15,-21,-16,-16,-22,-12,-15,-15,-18
474,-23,-25,3,24,-22,-27,-4,-22,1,19,-14,-24,-21,-23,-29,-3,-20,-21,-22
475,-26,-28,11,24,-27,-28,2,-25,7,22,-17,-27,-27,-25,-31,6,-27,-24,-28
476,-30,-33,17,22,-29,-31,10,-26,18,23,-17,-30,-28,-29,-31,14,-29,-27,-30
477,-31,-33,23,22,-30,-31,18,-27,22,20,-14,-33,-28,-30,-30,20,-31,-31,-32
478,-31,-31,28,20,-29,-31,22,-26,26,20,-11,-30,-32,-28,-30,24,-33,-32,-31
479,-30,-31,33,16,-29,-28,29,-23,28,18,-7,-27,-31,-29,-28,28,-31,-32,-32
480,-31,-29,36,12,-26,-24,31,-20,34,12,-4,-26,-29,-28,-23,30,-30,-28,-31
481,-25,-22,35,8,-25,-20,34,-18,34,9,1,-20,-25,-22,-19,35,-26,-26,-22
482,-19,-17,34,5,-18,-15,35,-12,34,4,3,-13,-21,-18,-14,35,-22,-23,-21
483,-14,-11,32,-4,-12,-11,35,-7,35,-2,5,-8,-18,-12,-6,34,-16,-19,-15
484,-7,-3,30,-11,-6,-3,32,-3,32,-7,10,-1,-9,-5,1,31,-10,-12,-7
485,1,5,23,-14,2,3,30,5,29,-14,14,6,-3,2,6,30,-2,-3,-1
486,7,11,19,-22,8,9,25,11,22,-18,15,11,3,7,14,26,3,5,6
487,11,16,13,-27,14,18,20,17,16,-23,20,18,10,11,20,21,10,11,12
488,16,22,8,-31,21,21,14,21,11,-27,20,20,17,20,23,16,15,20,19
489,23,25,2,-29,27,23,6,26,3,-27,20,24,24,23,28,8,21,22,24
490,27,29,-3,-30,29,27,1,28,-3,-29,21,28,29,27,29,0,27,26,28
491,27,31,-8,-31,28,30,-6,31,-5,-29,19,29,31,29,30,-3,28,31,28
492,29,30,-11,-27,31,29,-9,31,-8,-29,17,29,33,32,32,-9,28,30,31
493,30,27,-17,-22,31,26,-12,26,-15,-25,15,28,32,28,29,-14,29,30,30
494,25,23,-22,-19,28,24,-17,24,-21,-20,13,24,30,27,26,-19,27,30,27
495,23,20,-24,-13,23,19,-20,18,-21,-14,9,19,25,21,20,-21,25,28,23
496,18,15,-25,-5,18,16,-23,13,-26,-9,6,13,22,18,12,-22,21,22,16
497,13,10,-25,0,12,9,-26,7,-24,0,1,7,17,12,9,-24,16,17,13
498,7,3,-24,9,7,1,-24,0,-22,5,-4,0,9,5,3,-24,9,10,5
499,-1,-3,-23,15,3,-4,-23,-7,-23,13,-7,-4,3,0,-6,-22,4,4,0
500,-6,-9,-20,22,-3,-11,-23,-15,-19,17,-11,-10,-3,-7,-10,-18,-1,-1,-7
501,-13,-15,-13,26,-12,-16,-19,-20,-17,25,-13,-15,-9,-11,-17,-14,-8,-8,-15
502,-19,-18,-7,29,-17,-21,-12,-23,-10,31,-15,-20,-17,-17,-21,-10,-12,-13,-17
503,-24,-21,-7,32,-20,-23,-7,-24,-9,33,-15,-25,-22,-24,-25,-7,-17,-16,-23
504,-25,-21,-2,34,-27,-24,-4,-26,-2,37,-17,-26,-23,-26,-27,-3,-19,-21,-22
505,-26,-24,4,32,-29,-25,0,-27,4,37,-14,-25,-23,-27,-26,1,-22,-26,-23
506,-25,-23,9,32,-26,-24,5,-23,7,35,-12,-26,-25,-26,-22,5,-25,-28,-23
507,-22,-21,11,30,-26,-20,7,-22,10,32,-12,-21,-26,-23,-18,7,-22,-29,-24
508,-18,-16,14,26,-22,-16,10,-18,11,27,-7,-16,-22,-20,-13,9,-18,-28,-18
509,-17,-12,18,19,-18,-11,15,-11,13,21,-4,-10,-17,-13,-8,13,-17,-23,-12
510,-12,-7,20,17,-13,-5,20,-5,17,16,2,-8,-14,-9,-2,14,-10,-20,-5
511,-3,2,20,11,-7,0,19,2,19,10,5,1,-8,-1,4,14,-5,-15,0
512,7,8,19,3,0,9,17,10,19,6,9,8,0,5,12,16,-1,-6,6
513,11,13,18,-4,8,13,19,15,18,-3,14,11,4,12,18,13,6,3,13
514,17,17,17,-10,13,20,17,20,16,-7,14,19,13,17,23,14,11,7,19
515,21,23,12,-12,21,25,14,25,14,-12,20,24,19,24,26,11,15,12,23
516,27,27,8,-17,25,28,12,28,11,-17,22,27,22,28,29,12,20,21,24
517,28,28,6,-20,27,30,7,30,5,-21,20,28,27,30,30,8,25,24,26
518,30,28,-2,-23,31,30,4,28,1,-24,21,30,30,29,31,4,29,27,28
519,33,27,-5,-22,30,29,-4,26,-3,-23,20,27,28,29,27,-2,30,28,27
520,30,23,-10,-21,27,23,-6,23,-7,-23,17,27,27,26,25,-6,27,31,25
521,27,20,-14,-22,23,21,-10,19,-11,-20,11,23,24,22,18,-9,26,28,21
522,25,14,-19,-21,20,17,-14,11,-15,-21,7,16,23,20,14,-12,22,26,16
523,19,8,-20,-20,14,8,-16,7,-18,-18,3,10,17,15,7,-16,15,21,9
524,12,2,-22,-15,10,3,-19,0,-19,-15,-2,4,9,9,0,-20,10,15,3
525,6,-5,-23,-11,3,-5,-20,-6,-22,-9,-7,-3,6,0,-8,-24,6,10,-2
526,-1,-11,-21,-5,-5,-8,-23,-11,-20,-4,-15,-8,0,-5,-13,-22,1,2,-8
527,-10,-16,-21,0,-11,-13,-21,-15,-19,-1,-19,-14,-7,-12,-19,-24,-8,-3,-10
528,-16,-22,-20,6,-16,-20,-20,-21,-19,3,-23,-19,-11,-19,-24,-20,-15,-11,-14
529,-21,-23,-15,10,-23,-24,-20,-24,-17,7,-27,-22,-17,-23,-25,-19,-19,-16,-17
530,-25,-25,-13,14,-25,-27,-17,-27,-14,11,-30,-24,-20,-27,-26,-16,-24,-22,-18
531,-30,-25,-8,18,-27,-25,-11,-29,-9,13,-28,-27,-24,-26,-25,-13,-26,-25,-22
532,-30,-26,-5,17,-29,-27,-8,-27,-5,18,-27,-30,-27,-28,-26,-9,-26,-25,-22
533,-29,-25,-2,16,-29,-24,-3,-25,-2,20,-25,-26,-28,-28,-22,-5,-25,-28,-21
534,-27,-21,4,17,-27,-20,1,-19,4,19,-23,-22,-26,-25,-17,-1,-24,-24,-19
535,-25,-16,9,15,-26,-16,7,-17,7,18,-20,-20,-23,-22,-14,5,-19,-26,-17
536,-19,-12,10,14,-19,-12,9,-13,8,16,-15,-15,-19,-16,-9,10,-14,-25,-14
537,-14,-7,15,9,-16,-6,10,-7,13,15,-9,-8,-13,-12,-2,11,-11,-18,-11
538,-8,1,16,7,-8,1,14,0,13,13,-2,-5,-8,-5,2,14,-8,-12,-4
539,0,6,17,3,-2,5,17,5,14,8,2,3,-4,-1,6,15,-2,-6,1
540,6,9,16,-2,5,11,16,8,13,5,8,10,2,2,10,14,3,1,6
541,9,14,19,-7,9,16,17,13,13,0,14,14,7,8,16,15,8,3,12
542,13,20,15,-11,17,19,16,20,12,-4,19,17,11,15,17,15,12,10,17
543,16,21,14,-12,18,22,15,22,10,-8,20,23,17,21,22,16,16,15,20
544,20,25,10,-17,21,22,11,24,9,-11,23,26,20,22,24,13,18,18,24
545,25,25,9,-20,23,24,9,26,6,-15,25,27,23,23,25,9,18,22,27
546,25,25,6,-22,22,23,8,23,3,-17,29,27,25,25,22,7,21,22,25
547,26,23,5,-23,21,20,2,21,0,-19,26,24,26,23,20,2,22,23,22
548,22,22,1,-23,21,15,-1,19,-3,-20,24,20,25,20,16,-2,20,26,19
549,18,17,-2,-20,18,11,-2,14,-6,-20,18,15,19,19,12,-5,18,21,16
550,16,12,-5,-21,14,8,-6,6,-10,-22,12,11,16,14,7,-6,17,17,13
551,11,5,-9,-19,9,4,-8,0,-9,-20,7,7,11,11,3,-8,11,15,7
552,6,-1,-11,-16,2,-2,-10,-4,-10,-16,2,0,7,5,-4,-11,4,9,0
553,0,-7,-13,-10,-1,-11,-11,-10,-10,-14,-3,-7,0,0,-8,-12,-2,4,-4
554,-6,-14,-12,-6,-10,-15,-11,-15,-11,-7,-11,-13,-5,-7,-14,-13,-7,-1,-13
555,-12,-18,-11,-1,-15,-19,-13,-19,-10,-5,-16,-17,-10,-13,-18,-12,-14,-8,-18
556,-18,-22,-9,4,-17,-23,-13,-24,-9,-2,-19,-22,-17,-19,-21,-11,-18,-14,-21
557,-24,-27,-9,6,-21,-26,-13,-26,-6,3,-22,-27,-19,-22,-26,-9,-21,-17,-23
558,-26,-31,-8,11,-25,-26,-10,-28,-4,6,-24,-28,-23,-25,-25,-10,-25,-22,-26
559,-26,-30,-2,13,-26,-26,-7,-27,-2,9,-23,-30,-26,-28,-24,-6,-28,-24,-29
560,-29,-28,0,15,-26,-28,-2,-29,2,13,-23,-31,-27,-28,-26,-4,-27,-24,-29
561,-30,-28,0,19,-27,-25,-2,-25,4,16,-22,-28,-27,-29,-25,1,-28,-26,-27
562,-26,-25,5,20,-26,-24,1,-22,8,16,-15,-26,-24,-29,-19,3,-27,-26,-26
563,-25,-21,9,21,-22,-20,8,-18,11,16,-12,-23,-21,-26,-16,7,-24,-23,-22
564,-21,-17,14,20,-19,-17,12,-13,14,16,-4,-16,-18,-22,-11,10,-20,-19,-18
