,0,1,2,3,4,5,6,7,8,9,10
110,6,-5,0,-2,-2,-5,11,-2,-5,13,7
111,1,-3,7,0,2,1,11,3,-1,9,4
112,0,2,4,2,2,3,11,7,1,4,8
113,7,2,6,2,-1,6,10,15,0,8,7
114,8,2,8,2,-1,6,14,10,5,9,5
115,1,-1,7,0,-4,9,11,7,5,2,0
116,0,1,5,1,-5,7,11,0,5,1,0
117,6,-1,5,-1,-4,6,9,0,4,3,9
118,15,-3,5,-1,-2,6,10,1,1,10,8
119,12,1,2,3,-1,6,8,-1,2,12,10
120,9,0,-2,1,0,3,3,1,-1,9,8
121,15,2,-2,2,4,-2,6,4,-2,13,13
122,16,4,-2,3,4,-4,-1,7,-8,17,14
123,12,3,-2,3,4,-1,-4,10,-4,13,-1
124,4,6,-5,3,6,-2,-3,7,2,2,-4
125,0,8,-7,6,4,-5,-8,7,-4,-2,3
126,10,7,-7,8,5,-10,-6,-1,-6,5,7
127,10,7,-10,7,3,-9,-8,-4,-7,10,6
128,6,6,-12,5,2,-7,-4,-8,-5,7,-4
129,-1,4,-13,3,1,-7,-5,-14,0,0,-1
130,4,2,-16,0,-3,-9,-8,-19,-7,2,5
131,9,2,-13,2,-1,-14,-9,-19,-12,9,5
132,2,-2,-12,2,-3,-10,-12,-15,-9,4,-2
133,-6,0,-9,1,-2,-6,-16,-12,-5,-4,-7
134,-6,1,-8,4,2,-9,-16,-12,-2,-6,0
135,-2,1,-4,3,1,-8,-10,-4,-4,0,-2
136,-2,5,1,3,3,-6,-4,-3,-3,-3,-7
137,-8,0,1,3,2,0,-4,-5,-1,-7,-6
138,-7,1,2,0,1,2,-1,-6,1,-5,-7
139,-8,-3,-2,-2,-2,-1,2,-4,4,-5,-6
140,-8,-3,1,-3,-6,-1,2,2,3,-7,-11
141,-9,-3,1,-5,-1,2,6,1,6,-9,-10
142,-9,-8,-1,-4,-7,7,6,2,10,-9,-7
143,-6,-6,2,-4,-6,11,6,1,14,-7,-8
144,-10,-6,5,-5,-2,12,4,3,15,-9,-6
145,-8,-4,9,-5,-1,14,6,10,13,-8,-11
146,-8,-2,12,-1,-1,14,9,12,16,-6,-10
147,-10,-2,12,-3,-2,15,7,13,14,-9,-9
148,-6,0,15,0,1,10,9,15,10,-11,-10
149,-6,-2,12,1,-2,8,12,12,8,-6,-8
150,-3,-4,9,-4,-5,8,11,16,8,-5,-9
151,-7,-3,7,-4,-3,9,11,9,10,-7,-5
152,-3,-3,1,-6,-2,12,9,8,10,-5,-2
153,0,0,0,-1,0,6,8,6,9,-1,-3
154,-1,-2,-1,-2,1,7,4,7,9,-2,-1
155,-1,3,-1,-1,2,12,1,7,10,-3,-1
156,0,5,-1,2,3,10,2,4,14,0,1
157,2,3,3,3,5,4,-2,8,9,1,-3
158,-1,7,7,5,8,-2,-1,4,0,0,-2
159,-1,8,6,4,6,-6,-2,2,-5,-3,1
160,9,4,5,2,3,-8,-2,0,-10,5,4
161,8,2,1,5,5,-15,0,2,-12,5,5
162,4,0,-1,2,3,-14,1,2,-15,4,8
163,7,4,-3,6,8,-15,4,-4,-12,6,11
164,10,1,-8,5,6,-9,4,-8,-7,8,15
165,16,-1,-7,3,3,-4,1,-9,-5,12,11
166,8,0,-9,1,1,-1,1,-7,-6,9,7
167,4,0,-9,1,-2,-2,-2,-6,-6,4,2
168,4,0,-5,2,0,-5,0,-8,-1,2,5
169,5,-1,-5,-2,-4,-3,-1,-7,-3,2,7
170,8,-4,-3,-3,-5,-5,-2,-4,-6,7,7
171,7,-6,0,-5,-4,-11,0,-1,-6,4,5
172,6,-8,-1,-4,-6,-3,2,2,-6,1,2
173,9,-5,-1,-1,0,1,4,2,-2,4,7
174,10,-5,-3,-4,-4,1,0,3,-2,6,5
