,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
10,-7,-10,-18,-6,10,48,59,18,131,-24,-22,-30,-15,-1,-27,-26,-7,-8,5,-22,-11,4,8,-13,-6,-28,3,-18,-15,-18,-30,-18,11,-21,-27,-26,-25,-10,-7,-4,-22,-20,-18,-10,-20,-23,-23,-16,-15,-17,-12,-22,-31,0,-29,-27,-1,-19,-26,-22,-18,-13,-26,-3,-13,-4,-15,-16,-3,-2,-15,-20,-29,-12,-30,-31,-16,-25,0,-5,-9,-26,-27,-22,-21,-20,-12,-26,-24,-30,-15,-26,-1,5,-12,-28,-15,1,-6,-5,-7,-25,-4,-17,-27,-20,-20,-21,-21,-20,-17,-22,-25,-11,-26,1,-12,-4,-25,-14,-10,-20,-34,-5,-27,6,-29,-21,-19,-24,-27,-25,-4,-18,2,-21,-5,-27,-33,-8,-11,-27,-18,-17,-19,-7,-23,-3,-20,-22,-13,-22,-31,-17,1,-14,-15,9,-17,-4,-2,-3,-2,9,8,-11,-21,-16,-19,-3,-24,-15,-9,-23,-24,-24,-25,-31,-25,-30,-24,15,51,56,17,78,15,10,-13,2,11,12,-3,6,-15,15,-18,-12,6,12,10,3
11,5,7,-2,10,5,47,41,11,116,-10,-4,-7,-2,21,-16,-12,6,12,22,-11,0,23,23,1,13,-15,23,-4,0,-4,-23,-5,32,-6,-13,-6,-9,4,4,9,-12,-4,-3,2,-7,-12,-9,-1,-2,-3,3,-10,-12,11,-18,-12,13,-9,-15,-9,-3,4,-13,6,-1,8,-1,-2,10,10,-1,-9,-17,2,-19,-21,-5,-14,20,6,11,-15,-14,-11,-7,-5,0,-12,-13,-22,-1,-16,20,23,3,-19,-3,22,7,9,3,-13,7,-2,-12,-6,-8,-8,-7,-9,1,-12,-12,4,-15,22,1,14,-13,1,3,-9,-17,17,-10,26,-20,-4,-5,-15,-18,-11,14,-2,21,-7,7,-14,-23,5,2,-17,-3,-4,-4,13,-10,8,-3,-12,3,-10,-17,-4,12,2,-3,30,-5,12,17,17,9,27,31,1,-7,-1,-5,9,-11,1,10,-13,-4,-3,-14,-14,-7,-9,-11,-9,51,53,14,87,20,14,-3,9,13,15,-4,12,-9,16,-11,6,8,18,15,8
12,14,26,17,27,3,41,37,6,95,3,8,14,13,37,-2,0,15,30,29,6,12,32,36,14,34,-1,39,10,15,11,-10,10,44,4,0,11,3,12,15,21,3,10,14,12,6,3,8,13,14,9,24,7,7,20,-5,2,21,6,-2,8,11,18,-2,15,14,14,11,14,22,18,12,7,-4,18,-6,-8,12,1,37,16,31,0,2,4,7,10,13,3,-1,-9,13,1,30,41,15,-6,12,40,18,15,14,-1,17,14,2,8,11,5,8,3,12,7,2,20,-1,42,14,35,1,17,16,6,2,34,9,41,-5,11,9,1,-6,4,33,10,39,7,17,1,-12,12,19,-2,10,10,11,32,5,19,10,4,15,4,-4,11,17,17,10,36,10,19,34,34,17,34,45,17,7,15,11,19,4,12,23,3,18,24,-3,9,17,16,1,23,52,45,8,92,17,16,21,13,14,16,9,15,17,13,16,23,12,17,19,11
13,26,35,33,36,2,39,34,2,71,17,20,32,25,42,13,16,25,42,31,18,22,34,37,25,39,13,41,24,26,22,7,22,38,13,14,27,17,21,21,25,16,23,24,18,20,15,20,28,23,22,37,17,25,27,10,17,27,16,12,20,23,28,12,20,25,22,25,25,28,22,24,21,12,28,8,9,24,13,46,21,44,15,13,15,19,22,24,18,13,8,24,14,34,43,28,9,24,44,26,25,22,13,24,27,14,21,23,19,23,18,23,21,16,33,12,43,28,45,12,26,26,22,20,43,25,40,7,23,24,18,8,18,42,19,41,18,24,10,6,21,29,11,22,25,24,46,19,22,24,18,28,18,10,24,24,27,25,37,24,25,42,41,23,36,43,28,22,26,23,23,18,25,32,20,35,39,20,33,36,35,22,41,52,34,6,96,3,11,32,32,1,4,27,29,34,-5,27,29,29,2,7,27
14,33,33,37,33,-2,40,30,0,43,28,26,44,31,31,25,26,29,36,27,26,25,33,33,32,36,25,32,27,32,31,18,34,25,23,25,34,27,24,26,25,29,32,33,22,28,28,30,33,30,32,38,26,32,27,22,27,27,30,25,32,27,35,25,25,34,20,35,33,28,24,31,32,25,33,23,22,32,25,34,22,43,26,23,27,30,31,30,29,25,23,30,28,29,32,35,25,32,33,28,27,26,24,29,33,29,31,30,31,29,28,32,31,26,36,23,37,35,40,26,30,32,32,31,36,32,28,21,32,32,26,18,28,34,27,29,27,26,24,18,26,34,23,32,33,33,38,29,27,33,29,35,28,26,32,25,35,31,32,35,27,36,35,27,29,32,36,31,35,33,25,29,33,37,37,41,46,37,41,43,41,38,43,54,27,5,102,-9,-5,28,38,-12,-10,15,35,29,-10,21,25,36,-7,-10,33
15,28,23,33,22,-5,37,18,-6,21,32,29,45,32,21,33,33,25,22,19,33,25,20,24,33,23,32,19,31,35,33,26,37,16,26,33,33,33,22,22,15,32,30,34,19,33,33,34,31,31,34,27,31,35,23,31,35,17,35,30,35,28,33,32,21,34,14,35,31,18,21,33,39,32,33,29,31,35,33,22,15,29,34,30,34,34,36,30,36,33,30,32,34,21,14,35,31,35,22,27,23,23,32,26,37,33,35,32,36,34,33,32,36,33,32,30,21,33,25,31,31,31,33,31,22,28,18,30,36,33,31,27,29,24,31,18,32,24,31,24,24,32,32,31,34,34,25,35,18,35,33,32,35,32,35,17,33,32,21,35,21,24,20,17,19,18,32,36,33,37,20,33,32,35,42,42,45,41,39,38,40,40,54,58,16,5,105,4,-5,29,19,4,1,-13,17,27,6,19,26,19,4,0,16
16,14,12,19,7,-7,37,9,-7,3,29,23,35,26,10,34,29,9,13,1,32,16,5,7,26,9,31,6,26,26,32,29,33,4,24,32,26,30,14,13,2,31,24,28,9,28,31,31,26,24,30,15,28,30,11,31,33,5,33,30,31,24,27,30,6,29,2,33,21,2,6,26,35,33,22,34,33,27,37,7,1,15,37,30,34,30,30,21,38,34,36,25,36,6,3,28,36,28,9,14,9,7,33,11,30,31,30,28,33,28,29,25,32,32,22,32,9,25,10,32,25,24,28,26,9,22,4,34,30,30,30,29,28,11,23,4,30,11,32,25,10,22,33,27,29,29,13,31,4,28,30,25,32,34,30,3,25,25,2,27,7,10,10,3,-1,6,23,32,28,27,5,33,24,23,34,31,30,34,31,28,29,34,45,58,5,1,111,18,15,23,0,14,16,-23,-6,25,16,17,23,-2,22,18,-2
17,-1,-5,6,-8,-9,36,9,-10,-26,20,10,17,10,-7,26,19,-2,1,-16,20,1,-15,-12,9,-4,22,-11,10,13,18,24,20,-17,13,20,13,21,-3,0,-8,24,15,14,-2,18,25,20,12,7,19,3,18,21,-1,25,28,-8,27,24,24,9,14,23,-8,17,-8,19,7,-6,-6,14,25,26,10,28,30,16,28,-6,-11,3,29,23,27,20,19,6,29,26,32,12,29,-12,-11,15,28,15,-7,-1,-1,-2,25,-3,17,24,19,15,23,15,20,11,22,22,7,27,-9,11,-1,25,8,7,18,17,-6,13,-13,30,18,18,23,24,16,-6,9,-13,21,-2,25,23,-1,6,28,15,16,16,-1,23,-6,17,22,12,21,29,18,-10,11,14,-16,17,-5,-5,-6,-6,-17,-14,12,22,16,16,-5,21,10,5,25,10,11,25,15,10,13,20,-4,59,-4,-3,117,-1,11,7,-3,3,0,-19,-9,8,-9,2,-1,-5,-1,4,-9
18,-12,-22,-12,-24,-9,36,8,-11,-59,7,-5,-3,-6,-23,9,7,-10,-17,-27,6,-8,-24,-24,-8,-22,10,-25,-2,-3,0,10,5,-32,0,8,-3,5,-10,-11,-11,9,-1,-5,-11,6,9,2,-5,-8,3,-14,2,4,-8,15,14,-14,10,11,9,-7,-5,9,-9,-2,-13,3,-9,-11,-11,-2,10,12,-8,17,20,1,13,-25,-15,-11,15,8,15,3,0,-10,16,10,21,-4,13,-24,-30,-4,18,-5,-23,-10,-10,-12,10,-11,-1,8,2,-2,7,1,5,-4,5,11,-8,14,-28,-6,-19,11,-9,-8,0,-1,-23,-5,-30,21,1,0,9,11,2,-23,-2,-29,6,-11,11,16,-10,-13,12,-2,-4,-1,-20,6,-12,1,5,-7,7,17,-2,-12,-7,-6,-26,-2,-9,-23,-24,-12,-29,-28,-7,5,-2,-3,-14,6,-6,-8,12,-8,-7,11,-3,-9,-9,4,-5,60,-14,-1,124,-33,-20,-13,-12,-33,-34,-14,-15,-10,-42,-17,-18,-14,-33,-31,-13
19,-19,-33,-28,-36,-10,34,4,-11,-76,-11,-21,-29,-25,-36,-3,-9,-14,-31,-30,-9,-10,-27,-29,-22,-31,-6,-34,-18,-21,-18,-9,-14,-35,-8,-10,-20,-11,-14,-13,-15,-8,-18,-21,-15,-14,-8,-12,-21,-22,-15,-29,-12,-15,-14,-3,-6,-18,-9,-9,-7,-23,-17,-7,-15,-20,-15,-15,-22,-15,-13,-19,-7,-4,-23,3,3,-18,-2,-36,-17,-27,-3,-9,-5,-15,-16,-24,-1,-7,7,-20,-3,-31,-35,-16,1,-22,-36,-13,-15,-16,-7,-14,-18,-6,-16,-19,-10,-20,-12,-21,-12,-8,-24,-4,-36,-23,-33,-5,-22,-27,-15,-21,-35,-20,-36,3,-19,-16,-9,-9,-18,-35,-8,-36,-11,-15,-3,-2,-13,-26,-4,-18,-19,-19,-34,-10,-15,-17,-13,-22,-15,1,-16,-18,-23,-21,-33,-19,-13,-35,-34,-17,-34,-34,-23,-12,-17,-19,-20,-10,-23,-19,-12,-23,-22,-9,-21,-21,-23,-20,30,63,-23,3,129,-31,-37,-27,-37,-33,-34,-22,-34,-24,-31,-31,-31,-37,-32,-38,-36
