,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
126,-37,-27,-36,-27,14,-16,3,-3,81,-23,-24,-51,-23,-28,-30,-27,-27,-29,-53,-29,-32,-55,-53,-24,-27,-29,-22,-29,-23,-29,-24,-26,-22,-32,-25,-34,-26,-26,-30,-18,-30,-26,-27,-27,-25,-25,-34,-26,-25,-29,-28,-27,-31,-26,-24,-25,-23,-30,-25,-28,-24,-24,-27,-24,-25,-22,-28,-22,-24,-23,-27,-29,-27,-23,-29,-25,-26,-26,-27,-23,-33,-29,-25,-29,-26,-29,-25,-27,-26,-29,-28,-29,-54,-26,-27,-26,-27,-26,-29,-25,-29,-28,-27,-26,-27,-27,-24,-28,-24,-29,-25,-27,-28,-19,-29,-28,-27,-32,-28,-25,-26,-27,-31,-30,-37,-29,-25,-30,-32,-22,-26,-26,-30,-35,-26,-28,-29,-24,-26,-27,-21,-32,-27,-27,-27,-31,-29,-22,-29,-26,-28,-25,-32,-26,-22,-24,-23,-56,-24,-24,-25,-27,-24,-55,-24,-21,-29,-27,-25,-23,-30,-20,-22,-20,-28,-22,-22,-25,-28,-27,-22,-18,4,2,13,73,0,-7,12,1,1,-3,-29,3,11,0,15,8,6,-4,1,6
127,-28,-19,-25,-17,13,-11,1,-2,78,-21,-15,-59,-13,-13,-26,-23,-15,-21,-49,-26,-22,-50,-53,-13,-15,-26,-10,-17,-13,-17,-23,-20,-10,-27,-21,-52,-21,-16,-19,-6,-24,-14,-17,-15,-22,-20,-25,-14,-13,-20,-23,-21,-48,-15,-23,-22,-8,-25,-19,-21,-11,-11,-23,-11,-15,-9,-18,-11,-13,-12,-19,-23,-24,-13,-30,-29,-17,-24,-18,-9,-27,-30,-21,-27,-17,-18,-11,-24,-25,-26,-16,-24,-54,-10,-16,-26,-19,-16,-16,-17,-17,-27,-13,-17,-22,-19,-17,-24,-19,-22,-13,-22,-25,-10,-27,-13,-15,-22,-23,-13,-15,-20,-49,-17,-50,-13,-28,-21,-24,-23,-24,-20,-19,-27,-14,-22,-16,-22,-25,-17,-7,-29,-18,-17,-17,-21,-24,-10,-18,-21,-14,-24,-29,-18,-9,-14,-13,-51,-16,-12,-14,-16,-10,-51,-10,-13,-24,-17,-16,-11,-23,-12,-15,-17,-26,-17,-21,-21,-24,-23,-19,-24,5,-2,14,82,-5,-4,3,14,-6,-4,-26,12,2,-4,8,-2,11,-8,0,15
128,-12,-10,-17,-5,17,-11,5,0,76,-9,0,-56,-2,-4,-18,-9,-3,-8,-40,-12,-9,-40,-41,-1,-3,-14,-4,-3,-1,-5,-13,-9,0,-16,-10,-58,-10,-4,-6,7,-12,-1,-4,-4,-9,-8,-12,1,0,-6,-11,-8,-57,0,-16,-12,5,-13,-9,-11,1,1,-14,4,-3,4,-7,2,-1,1,-4,-13,-16,3,-21,-18,-5,-14,-4,1,-13,-18,-12,-13,-3,-5,0,-15,-14,-19,-4,-13,-42,-1,-3,-19,-3,-3,-5,-1,-3,-18,0,-3,-10,-6,-2,-11,-4,-9,-2,-7,-14,4,-17,-8,1,-6,-14,1,1,-6,-56,-7,-54,-4,-20,-8,-12,-10,-15,-8,-9,-15,-2,-9,0,-18,-18,-5,6,-18,-3,-1,-4,-4,-9,0,-5,-10,0,-10,-20,-3,4,-2,0,-39,1,-1,-3,-6,2,-38,0,3,-7,-3,0,0,-11,-1,-8,-10,-19,-9,-11,-13,-17,-16,-11,-45,8,-4,17,95,-3,-8,-6,12,-3,-5,-19,11,-6,-1,-2,-7,10,-8,-3,13
129,3,4,-9,7,16,-8,2,0,73,1,12,-52,12,4,-5,4,9,1,-24,0,1,-18,-20,11,2,0,8,10,14,8,-2,5,11,-5,5,-50,4,9,7,20,2,11,11,9,3,5,2,13,13,8,-3,7,-51,11,-2,2,19,1,4,5,13,13,0,17,9,15,9,14,15,13,10,2,-2,15,-8,-4,8,-2,2,15,-3,-6,1,-1,8,7,14,0,1,-6,9,1,-23,8,13,-7,11,7,8,12,9,-1,11,12,3,6,13,0,11,2,14,4,3,14,-3,3,11,2,3,15,14,7,-50,3,-47,6,-9,8,1,2,-1,5,0,-2,7,6,9,-1,-4,6,19,-5,11,11,11,5,4,13,11,4,15,4,-5,8,16,12,15,-15,12,11,5,3,12,-17,10,15,6,12,13,15,3,14,0,-1,-6,-1,0,-6,-8,-8,-1,-58,10,-5,15,104,20,8,0,9,21,13,1,9,-1,25,3,6,6,16,12,9
130,21,26,11,25,16,-8,-1,1,76,14,23,-23,24,17,12,14,22,10,3,13,17,5,6,24,15,14,17,19,25,20,13,18,23,9,16,-37,19,18,21,29,15,22,21,22,13,18,16,26,24,22,6,19,-39,24,12,14,30,13,16,18,22,25,12,27,23,27,22,23,27,28,20,14,11,25,6,9,20,13,16,23,4,6,14,15,20,19,24,14,14,5,24,14,-1,21,23,7,20,16,21,22,20,13,23,22,16,18,24,16,25,15,24,17,16,23,11,17,25,13,17,24,24,22,-39,13,-32,16,6,20,15,18,12,21,9,10,18,17,22,12,9,19,28,10,22,21,21,12,18,26,23,18,25,15,9,21,29,24,25,5,26,23,16,15,23,5,26,26,18,22,24,28,17,21,8,8,6,10,6,3,4,3,10,-57,16,-3,15,108,29,29,9,9,35,26,23,11,12,32,12,11,3,29,30,5
131,33,42,31,41,19,-5,-2,1,74,20,33,11,33,26,24,24,30,23,22,25,30,27,26,33,24,26,25,31,33,30,25,28,28,22,29,-16,27,32,28,35,25,30,29,32,22,25,25,34,29,32,15,27,-20,32,23,22,40,21,26,27,31,30,25,36,33,35,30,31,35,37,30,25,24,33,19,21,26,24,25,32,16,19,23,26,32,25,33,24,24,19,33,24,24,26,31,18,29,24,34,34,33,25,35,30,25,28,31,27,35,26,31,26,25,31,21,26,30,24,22,33,33,31,-18,23,-11,23,16,29,28,28,23,27,21,22,26,27,36,25,22,30,33,23,30,30,31,25,28,35,29,28,33,27,22,30,38,32,31,27,31,33,26,24,32,28,32,31,29,28,32,33,27,28,18,14,16,22,14,17,17,13,17,-48,20,-3,16,113,8,24,4,9,20,15,36,8,7,10,2,4,4,12,17,9
132,40,44,43,41,17,-1,6,1,71,25,38,29,34,24,33,30,33,24,39,30,33,42,42,29,24,33,22,33,35,36,31,33,23,31,36,8,33,34,33,30,35,34,33,36,26,34,34,32,31,37,24,35,6,31,32,28,37,30,32,35,33,32,32,35,36,33,36,33,29,35,33,33,29,33,27,29,32,32,22,31,24,27,30,35,35,29,34,31,31,29,39,32,40,24,36,26,32,22,34,36,33,30,36,34,31,33,37,33,36,31,32,32,33,28,30,22,35,27,31,32,34,34,7,26,15,21,22,32,31,36,32,34,20,31,23,31,37,31,31,31,32,32,34,29,36,25,32,37,33,34,34,33,32,37,33,34,32,45,35,31,26,26,32,43,25,31,31,33,33,34,32,29,25,22,27,25,22,24,25,22,24,-48,25,0,11,118,-15,-2,-2,-1,-8,-13,32,2,-3,-15,-2,1,-3,-12,-10,0
133,41,34,39,31,19,2,10,3,64,25,32,39,27,12,33,31,23,18,46,29,29,48,49,25,13,33,9,29,26,28,35,29,8,33,34,27,30,29,26,19,34,28,27,28,25,32,31,26,25,31,19,33,27,22,32,30,24,27,33,33,26,25,31,28,31,22,31,22,23,24,29,31,31,27,31,35,28,33,16,22,18,31,33,35,31,25,26,32,34,32,31,31,51,16,30,28,28,14,28,24,26,33,28,29,29,30,34,32,33,29,25,32,34,23,33,10,25,18,35,24,27,31,27,15,32,9,33,31,27,36,30,33,12,32,8,29,32,34,32,29,23,32,28,25,31,19,31,24,29,33,27,30,32,30,20,27,27,48,32,19,17,14,23,48,11,23,30,28,31,24,29,23,21,22,30,24,20,26,24,28,21,-47,28,3,13,120,-16,-19,4,-8,-14,-17,29,-8,3,-19,0,9,-11,-18,-20,-3
134,27,20,27,16,18,6,13,6,59,19,19,56,18,0,24,25,15,4,45,21,18,46,46,17,-2,26,-5,21,16,21,30,21,-7,25,28,40,21,18,17,8,26,17,17,16,15,27,23,17,17,25,6,23,38,12,28,23,14,21,25,24,18,18,26,15,22,11,22,12,11,13,16,25,25,15,29,31,18,27,1,11,5,26,24,25,21,17,14,28,27,30,19,25,49,-2,20,26,17,0,18,14,15,26,15,19,23,21,23,25,22,22,16,21,30,14,28,0,18,2,29,13,17,21,41,2,44,-4,29,22,19,27,25,25,-1,23,-4,20,20,30,29,14,13,26,18,16,22,5,23,13,20,21,16,24,27,22,7,18,18,45,21,9,2,0,11,46,0,14,23,18,20,11,25,12,15,12,25,19,12,21,20,19,14,-42,30,6,10,122,-10,-13,8,-8,-12,-10,18,-10,9,-13,4,11,-14,-10,-14,-5
135,13,6,11,3,20,4,18,7,58,6,10,72,11,-13,18,15,5,-10,31,13,10,31,29,4,-13,15,-15,10,5,10,18,9,-16,16,17,45,13,6,8,-1,16,4,6,6,5,16,14,5,7,16,-11,13,46,3,18,13,3,15,17,14,9,7,17,5,13,3,13,2,0,5,9,16,15,3,19,22,8,18,-14,2,-6,16,13,16,10,7,4,16,16,21,8,15,33,-11,9,13,6,-12,9,5,3,16,5,7,11,12,11,14,7,14,5,11,17,3,18,-13,9,-8,20,3,7,12,47,-13,49,-16,21,9,8,15,15,14,-14,12,-14,9,11,19,18,5,5,17,8,7,10,-10,15,4,10,12,5,14,17,13,2,6,3,30,10,-1,-10,-11,1,29,-14,5,14,9,10,3,14,2,6,4,14,9,6,16,10,14,2,-45,33,8,5,121,-10,-12,5,-8,-10,-12,2,-9,5,-14,3,0,-12,-8,-14,-6
136,-6,-12,-4,-16,21,6,22,10,59,-3,-1,46,-2,-19,9,4,-3,-18,7,4,2,7,7,-4,-23,5,-21,-1,-5,1,9,2,-23,6,6,39,2,-1,-2,-7,6,-4,-4,-1,-4,5,3,-7,-6,3,-20,2,40,-4,9,4,-5,5,5,5,-6,-4,10,-5,0,-7,1,-8,-7,-4,0,5,4,-8,10,13,-1,8,-20,-6,-16,8,4,4,-2,-7,-7,5,7,12,-4,5,13,-23,-1,6,-5,-22,0,-2,-4,6,-3,0,0,0,-2,4,-3,-1,-8,0,6,-9,5,-21,-2,-19,9,-9,-4,-2,45,-20,40,-24,8,2,-1,1,5,0,-22,2,-21,-2,-1,8,8,-2,-9,4,-2,-7,0,-17,6,-6,-2,1,-8,5,6,-2,-10,-4,-7,6,-4,-5,-19,-20,-6,6,-21,-7,2,-2,-2,-7,4,-7,-7,-4,8,3,-4,4,2,5,-4,-41,35,11,2,121,-18,-17,-4,-14,-19,-17,-15,-14,-2,-22,-7,-1,-15,-17,-22,-10
137,-18,-26,-19,-34,17,7,29,11,58,-15,-16,-6,-15,-26,-3,-7,-13,-23,-14,-7,-5,-19,-19,-19,-27,-4,-26,-14,-18,-13,-3,-8,-24,-2,-6,20,-9,-12,-8,-19,-4,-16,-15,-11,-13,-6,-6,-18,-15,-8,-25,-8,27,-15,-4,-6,-18,-6,-7,-7,-16,-16,-2,-20,-12,-16,-11,-19,-15,-15,-15,-7,-6,-19,0,1,-14,-1,-28,-16,-24,-3,-7,-9,-11,-15,-18,-6,-3,2,-13,-5,-11,-25,-13,-3,-13,-28,-10,-12,-13,-5,-13,-11,-8,-11,-12,-7,-14,-12,-17,-10,-4,-20,-2,-26,-12,-26,-1,-18,-16,-10,31,-27,23,-27,-1,-11,-12,-8,-6,-8,-26,-3,-28,-10,-10,-2,-4,-10,-19,-3,-14,-18,-12,-24,-11,-16,-11,-11,-16,-9,-3,-12,-21,-15,-18,-16,-13,-18,-27,-25,-16,-17,-26,-19,-9,-15,-13,-16,-5,-23,-19,-13,-2,-9,-12,-7,-7,-5,-12,-25,35,14,0,116,-17,-22,-5,-13,-20,-16,-27,-14,-3,-15,-7,-1,-14,-17,-21,-8
138,-27,-43,-35,-44,19,7,35,12,56,-25,-23,-36,-23,-27,-16,-19,-24,-27,-36,-20,-18,-38,-38,-28,-30,-17,-26,-23,-26,-22,-14,-18,-20,-12,-17,-1,-18,-22,-20,-25,-14,-23,-24,-19,-25,-18,-16,-25,-26,-19,-30,-20,4,-21,-15,-17,-26,-16,-22,-16,-22,-25,-16,-27,-22,-23,-20,-27,-20,-23,-24,-19,-15,-24,-12,-10,-23,-14,-26,-27,-25,-15,-18,-19,-25,-23,-24,-18,-14,-12,-27,-16,-33,-26,-22,-14,-23,-27,-20,-21,-23,-14,-24,-24,-21,-20,-22,-18,-25,-20,-26,-21,-16,-23,-14,-28,-21,-27,-13,-27,-26,-22,6,-29,-6,-28,-12,-20,-20,-22,-16,-20,-26,-11,-28,-22,-19,-13,-16,-22,-26,-14,-24,-26,-22,-28,-20,-26,-23,-22,-27,-20,-13,-23,-27,-24,-24,-35,-25,-26,-27,-28,-23,-37,-26,-27,-20,-23,-22,-26,-17,-28,-28,-20,-17,-16,-22,-14,-15,-14,-24,-14,34,15,3,110,-4,-10,1,-3,-6,-5,-31,-4,4,-6,-3,1,-5,-6,-11,2
139,-33,-44,-44,-44,17,8,40,13,53,-32,-24,-43,-24,-18,-25,-26,-26,-20,-47,-24,-24,-50,-46,-23,-23,-26,-15,-23,-22,-26,-26,-23,-6,-24,-24,-24,-25,-26,-25,-19,-24,-24,-23,-23,-26,-23,-20,-21,-25,-23,-25,-24,-18,-20,-25,-25,-22,-24,-28,-21,-24,-22,-23,-28,-24,-23,-23,-25,-21,-25,-28,-26,-24,-24,-19,-21,-27,-25,-18,-25,-20,-22,-25,-26,-32,-27,-24,-25,-25,-21,-27,-23,-47,-20,-24,-25,-26,-19,-23,-24,-29,-24,-26,-26,-27,-22,-26,-24,-28,-26,-26,-24,-25,-23,-22,-19,-22,-24,-22,-25,-22,-27,-19,-22,-25,-15,-23,-24,-24,-30,-26,-27,-22,-20,-16,-26,-22,-22,-21,-28,-22,-26,-25,-25,-25,-22,-23,-25,-24,-29,-23,-25,-21,-28,-24,-21,-24,-47,-26,-22,-21,-22,-23,-49,-18,-26,-25,-23,-25,-27,-24,-24,-26,-26,-21,-24,-28,-21,-19,-24,-27,-16,31,15,-1,110,3,-1,2,4,0,3,-31,5,1,1,-4,0,0,4,-2,5
140,-28,-31,-36,-29,16,8,43,12,52,-25,-19,-54,-16,-6,-22,-24,-20,-9,-46,-16,-16,-50,-48,-15,-10,-25,-3,-19,-17,-17,-27,-21,4,-25,-23,-40,-23,-21,-18,-10,-21,-17,-16,-16,-24,-22,-16,-14,-16,-16,-17,-20,-37,-13,-26,-21,-15,-20,-28,-19,-14,-14,-24,-21,-17,-15,-20,-16,-8,-15,-18,-22,-24,-14,-22,-23,-20,-22,-4,-16,-11,-24,-23,-20,-26,-20,-12,-25,-22,-29,-20,-23,-48,-3,-15,-25,-17,-4,-17,-16,-19,-23,-18,-18,-23,-16,-19,-21,-20,-21,-18,-18,-22,-12,-22,-5,-14,-10,-22,-15,-9,-20,-37,-8,-40,-3,-25,-14,-17,-29,-30,-24,-7,-19,-5,-18,-18,-24,-27,-19,-12,-28,-20,-20,-18,-8,-24,-16,-17,-23,-15,-23,-26,-19,-14,-11,-17,-48,-19,-14,-8,-8,-14,-48,-1,-15,-24,-17,-20,-18,-22,-18,-25,-23,-20,-22,-24,-21,-20,-22,-21,-16,31,13,-2,104,-4,-2,-3,-1,-5,-1,-22,-1,1,-6,-6,-1,-3,-4,-5,-2
141,-24,-12,-20,-11,17,6,47,11,56,-12,-9,-69,-7,7,-17,-11,-10,3,-34,-8,-10,-35,-38,-7,3,-16,8,-7,-5,-10,-20,-8,16,-20,-14,-47,-12,-10,-7,0,-18,-7,-6,-7,-9,-13,-6,-4,-4,-7,-2,-10,-47,-4,-17,-13,-7,-12,-21,-9,-4,-3,-16,-11,-7,-7,-8,-6,-1,-4,-6,-14,-15,-4,-15,-18,-10,-14,10,-5,3,-15,-13,-11,-16,-8,-4,-14,-14,-20,-12,-13,-40,11,-4,-20,-8,8,-5,-6,-8,-14,-8,-6,-15,-4,-9,-13,-11,-11,-9,-9,-14,-4,-15,8,-7,3,-14,-7,0,-9,-49,5,-49,13,-18,-6,-6,-19,-22,-12,7,-7,10,-8,-7,-17,-17,-11,-5,-18,-9,-7,-9,2,-12,-7,-6,-14,-5,-15,-17,-10,-3,-4,-5,-31,-11,-3,7,7,-5,-32,11,-4,-13,-8,-12,-10,-15,-5,-18,-16,-16,-14,-19,-16,-11,-19,-13,-6,26,12,-3,100,-5,-9,-4,-3,-11,-6,-4,-5,-3,-9,-6,-3,-4,-8,-8,-4
142,-8,4,-3,5,14,5,48,9,54,-5,-3,-64,-1,18,-6,-2,2,15,-11,-4,0,-12,-14,1,17,-7,18,-2,1,-2,-13,-1,26,-9,-6,-42,-4,0,4,9,-5,1,1,3,-2,-3,0,4,1,1,11,-1,-45,6,-9,-4,3,1,-10,1,2,2,-6,-3,0,4,-2,0,8,3,1,-6,-6,4,-5,-9,-3,-4,20,4,16,-3,-5,-5,-6,2,0,-6,-6,-9,-6,-4,-21,22,3,-7,0,20,2,2,1,-7,2,-1,-6,0,1,-3,-5,-2,-1,-2,-5,3,-4,19,1,14,-5,0,2,-4,-47,18,-43,22,-9,1,1,-10,-12,-3,17,4,23,-2,1,-6,-9,0,3,-5,0,2,0,15,-4,2,0,-6,2,-5,-6,0,8,2,1,-10,-1,7,19,18,6,-9,22,3,-4,-1,-2,3,-3,1,-7,-10,-9,-8,-9,-10,-4,-6,-7,-3,23,11,-5,96,7,-3,-3,3,0,4,5,3,-2,6,-7,-3,1,6,5,1
143,10,12,10,15,14,3,49,5,44,4,8,-27,10,30,1,2,12,25,12,5,13,12,12,13,27,0,29,4,9,7,-4,5,31,-2,-2,-23,3,10,14,21,2,9,8,15,8,2,5,15,11,7,24,5,-30,18,-1,3,13,6,-2,6,10,9,-1,10,6,19,7,12,20,15,6,1,1,10,4,-3,7,2,30,15,30,5,3,3,0,8,10,0,3,-1,3,3,3,34,10,0,8,31,15,14,14,2,12,8,1,9,7,5,3,5,7,7,2,13,3,26,7,25,-3,9,11,4,-33,27,-27,31,-1,9,9,-3,-4,3,28,13,30,4,13,0,-1,15,13,1,7,8,7,27,6,15,8,2,10,1,0,8,20,12,11,17,7,19,28,27,18,14,34,11,3,11,5,14,3,11,5,1,1,3,0,2,6,2,5,10,21,11,-7,92,13,10,-1,9,11,14,8,6,0,16,-5,-1,8,14,14,8
144,29,27,20,25,11,0,50,1,37,13,17,22,20,33,11,12,25,33,35,16,26,37,36,23,32,9,29,18,20,19,3,14,30,12,10,1,12,22,23,26,9,23,20,23,21,12,17,24,21,19,32,15,-9,26,7,11,24,15,10,15,21,24,9,20,20,27,19,21,27,25,22,11,9,21,12,6,16,9,33,24,38,13,13,13,13,19,21,11,10,6,16,13,29,34,20,10,20,32,25,26,25,9,23,20,13,19,14,13,15,14,19,15,11,20,13,33,21,32,7,20,22,15,-11,36,-3,34,7,18,20,9,2,15,34,24,30,16,22,9,6,25,22,10,18,20,19,31,15,22,22,12,24,11,10,18,28,21,22,41,16,25,33,32,27,40,35,22,10,23,16,26,14,22,20,11,12,14,12,11,15,8,18,29,16,10,-9,88,13,13,-4,0,11,12,14,1,-2,12,-4,-7,-2,14,13,-1
145,36,35,30,29,11,3,50,1,29,25,24,51,25,28,21,22,29,29,55,26,32,56,56,26,31,18,27,23,24,24,15,23,23,25,21,25,21,27,26,20,21,28,25,28,26,20,24,26,25,24,31,23,18,25,17,21,20,26,19,24,23,24,20,22,26,26,22,22,22,25,27,24,21,25,17,14,26,18,28,23,35,23,25,22,20,29,24,23,21,17,20,22,50,30,26,21,23,29,30,28,28,19,28,28,25,26,25,24,21,23,23,24,21,25,20,29,21,31,17,24,23,24,16,33,24,28,15,23,29,17,16,23,30,32,26,24,25,20,15,28,21,22,24,23,23,29,23,23,25,20,26,23,18,26,25,23,25,58,23,24,30,29,25,56,28,25,22,28,25,26,23,24,24,22,18,24,24,20,23,21,24,40,7,7,-7,79,13,11,-9,-8,15,15,26,-9,-8,15,-11,-14,-10,15,15,-9
146,34,30,31,24,9,5,46,-2,21,29,20,59,17,18,22,24,18,24,58,26,24,62,63,17,22,22,16,21,18,19,21,26,11,27,23,50,22,18,18,7,22,20,18,17,26,20,24,19,18,21,28,21,40,13,25,27,9,25,23,27,17,20,26,11,19,13,20,16,10,11,20,22,25,14,26,23,21,23,20,13,29,27,26,25,20,23,15,25,25,24,15,25,59,18,19,28,18,21,21,19,18,23,20,22,28,20,20,25,19,21,14,23,24,17,24,18,16,22,22,15,16,22,40,26,47,18,23,18,23,21,25,23,23,29,15,24,18,25,22,19,10,25,20,21,18,23,24,13,22,21,17,23,22,21,11,17,17,62,16,14,22,21,12,60,18,19,22,22,18,14,25,16,21,23,18,25,28,26,24,21,24,27,1,4,-7,77,25,23,-12,0,22,23,22,-4,-14,25,-14,-12,0,26,24,-3
147,30,18,28,10,7,7,38,-6,11,18,8,67,6,10,17,15,4,12,51,17,8,54,57,6,12,16,4,10,8,10,16,15,1,17,16,65,13,3,2,-8,18,8,9,2,16,16,12,7,8,12,17,14,59,-3,21,21,-6,15,18,18,6,8,17,-5,6,-2,10,6,-6,-1,9,13,18,6,22,21,12,17,8,-3,17,23,17,19,12,15,4,18,17,23,6,17,50,8,11,22,8,9,5,0,5,17,4,10,20,9,10,15,10,14,3,15,17,4,20,7,5,12,15,5,6,13,56,15,59,8,25,10,14,15,18,14,11,17,5,16,2,22,20,3,3,19,10,8,11,11,15,-4,11,14,7,13,18,10,-4,6,7,52,9,-2,9,11,-2,50,7,10,11,11,8,0,14,3,23,17,14,22,22,23,21,17,19,13,-4,0,-6,74,25,26,-8,5,23,19,5,6,-11,23,-8,-6,8,24,26,6
148,13,1,11,-2,7,8,38,-11,-1,9,1,71,0,0,8,6,-12,2,34,7,-4,38,42,-4,0,6,-7,0,2,1,9,3,-10,3,7,66,5,-8,-11,-18,7,0,-4,-11,7,4,0,-4,0,1,8,4,60,-13,10,7,-19,5,5,6,-5,-1,6,-14,-1,-18,2,-6,-15,-15,0,6,7,-6,10,12,2,8,-3,-13,6,10,5,9,2,5,-4,8,7,14,-4,5,35,0,-1,14,-1,-1,-11,-14,-11,8,-10,0,6,-1,2,3,0,4,-5,4,4,-4,7,-4,-4,1,6,-6,-5,5,57,4,57,-6,17,-1,4,7,8,5,2,0,-4,7,-13,10,10,-10,-8,8,0,-2,1,1,4,-18,2,1,-3,4,10,0,-17,-5,-2,32,0,-17,-1,0,-18,33,-4,0,2,-1,1,-15,3,-3,17,13,7,13,16,14,15,11,9,34,-8,-5,-6,69,12,15,-2,2,8,8,-3,5,-5,5,-5,-4,1,9,14,3
149,-10,-11,-7,-18,5,10,31,-15,-13,-2,-10,51,-15,-13,-3,-4,-23,-8,13,-5,-16,16,16,-15,-11,-4,-17,-9,-11,-11,1,-6,-23,-11,-4,51,-6,-17,-22,-28,-1,-12,-12,-22,-5,-6,-9,-19,-12,-7,-2,-4,50,-23,-1,-3,-26,-6,-2,-3,-15,-12,-6,-24,-11,-25,-8,-15,-24,-25,-13,-4,0,-18,0,0,-7,-5,-15,-22,-6,2,-6,-1,-7,-6,-15,1,-2,2,-10,-2,13,-14,-11,5,-13,-15,-23,-23,-20,-7,-21,-10,-2,-10,-12,-7,-12,-4,-15,-8,-3,-15,-3,-15,-14,-11,-3,-15,-17,-6,47,-8,46,-14,6,-15,-7,-2,0,-4,-11,-17,-14,-5,-24,1,-1,-20,-21,0,-8,-11,-9,-10,-3,-22,-10,-9,-14,-7,3,-10,-23,-17,-11,9,-10,-26,-13,-12,-24,7,-17,-14,-9,-10,-14,-23,-7,-15,5,1,-5,0,6,1,1,-1,1,58,-15,-7,-6,69,5,1,-10,-5,-4,2,-1,-4,-9,0,-9,-10,-5,6,4,-5
150,-30,-26,-19,-26,5,13,23,-20,-29,-12,-25,18,-28,-23,-14,-16,-30,-22,-14,-15,-24,-13,-12,-27,-23,-15,-25,-23,-25,-22,-11,-20,-30,-22,-16,29,-19,-27,-27,-31,-13,-25,-27,-32,-18,-16,-22,-28,-21,-24,-11,-18,34,-31,-10,-13,-31,-19,-13,-16,-27,-26,-17,-27,-24,-32,-22,-26,-29,-30,-23,-16,-12,-29,-11,-10,-21,-13,-24,-27,-17,-7,-18,-13,-18,-20,-29,-10,-12,-7,-24,-14,-13,-22,-22,-7,-26,-22,-31,-29,-26,-17,-28,-25,-17,-25,-23,-16,-25,-18,-31,-19,-17,-27,-15,-26,-31,-20,-16,-27,-28,-18,31,-22,27,-22,-3,-25,-20,-14,-12,-21,-22,-26,-22,-18,-31,-11,-13,-26,-34,-13,-23,-25,-26,-21,-15,-31,-23,-17,-28,-19,-10,-23,-30,-30,-26,-18,-22,-33,-24,-20,-29,-21,-28,-27,-20,-22,-25,-31,-18,-26,-8,-7,-16,-11,1,-9,-12,-11,-5,53,-18,-14,-9,65,6,5,-11,4,5,5,-4,1,-11,7,-11,-8,5,5,7,4
151,-43,-30,-29,-34,4,16,19,-26,-45,-26,-32,-11,-34,-25,-29,-26,-32,-28,-38,-26,-32,-38,-38,-33,-28,-27,-26,-31,-30,-33,-21,-30,-27,-26,-26,4,-28,-33,-30,-28,-28,-31,-33,-33,-26,-29,-31,-35,-30,-32,-22,-28,11,-29,-21,-27,-27,-30,-24,-29,-34,-31,-29,-27,-34,-30,-32,-32,-28,-30,-32,-29,-26,-35,-23,-20,-29,-25,-25,-27,-25,-21,-32,-29,-29,-29,-34,-22,-28,-19,-33,-25,-36,-26,-31,-17,-36,-28,-30,-31,-29,-26,-28,-34,-24,-34,-34,-29,-34,-30,-35,-34,-30,-34,-24,-25,-35,-26,-28,-31,-35,-31,8,-26,-1,-24,-17,-35,-32,-25,-23,-28,-27,-31,-23,-30,-35,-25,-23,-31,-35,-27,-31,-31,-34,-29,-28,-31,-32,-29,-33,-30,-22,-31,-27,-38,-32,-44,-32,-31,-28,-24,-29,-43,-25,-35,-30,-32,-38,-30,-31,-33,-17,-14,-24,-21,-11,-20,-22,-24,-15,29,-22,-20,-9,64,-1,8,-5,13,-3,-5,-19,8,-4,-4,-3,4,10,-1,2,12
