,0
720,2
721,1
722,0
723,2
724,2
725,3
726,6
727,4
728,5
729,5
730,5
731,5
732,5
733,5
734,5
735,5
736,4
737,6
738,2
739,2
740,2
741,0
742,0
743,-1
744,-2
745,-1
746,-2
747,-1
748,0
749,-2
750,0
751,-2
752,-3
753,0
754,-2
755,-4
756,-2
757,-5
758,-4
759,-3
760,-2
761,-2
762,-1
763,-2
764,-1
765,-5
766,-3
767,-4
768,-4
769,-2
770,-2
771,0
772,1
773,1
774,1
775,2
776,1
777,3
778,4
779,4
780,5
781,4
782,8
783,8
784,7
785,7
786,5
787,7
788,6
789,5
790,6
791,5
792,6
793,2
794,6
795,2
796,0
797,2
798,2
799,1
800,1
801,1
802,-1
803,-2
804,-5
805,-6
806,-5
807,-5
808,-8
809,-6
810,-6
811,-6
812,-7
813,-8
814,-8
815,-6
816,-6
817,-6
818,-7
819,-5
820,-3
821,-3
822,-1
823,-1
824,2
825,1
826,0
827,0
828,0
829,0
830,2
831,1
832,2
833,3
834,5
835,5
836,5
837,4
838,5
839,6
840,7
841,9
842,8
843,10
844,10
845,9
846,9
847,8
848,7
849,8
850,7
851,7
852,4
853,1
854,1
855,1
856,3
857,-2
858,-3
859,-4
860,-5
861,-7
862,-7
863,-8
864,-11
865,-10
866,-10
867,-9
868,-9
869,-9
870,-8
871,-10
872,-9
873,-10
874,-6
875,-5
876,-2
877,2
878,2
879,2
880,4
881,6
882,8
883,8
884,7
885,8
886,10
887,10
888,11
889,11
890,12
891,10
892,10
893,8
894,7
895,5
896,4
897,4
898,0
899,3
900,0
901,0
902,-4
903,-4
904,-4
905,-3
906,-4
907,-3
908,-1
909,-3
910,-4
911,-4
912,-1
913,-3
914,-4
915,-5
916,-2
917,-4
918,-4
919,-8
920,-5
921,-7
922,-8
923,-5
924,-6
925,-6
926,-7
927,-5
928,-1
929,-3
930,-2
931,1
932,3
933,3
934,4
935,6
936,5
937,5
938,9
939,7
940,8
941,11
942,9
943,9
944,10
945,12
946,9
947,10
948,12
949,9
950,6
951,4
952,3
953,1
954,0
955,-1
956,-1
957,-4
958,-5
959,-6
