,0,1
460,3,14
461,-3,16
462,-6,21
463,-10,22
464,-14,21
465,-17,22
466,-20,17
467,-21,14
468,-22,8
469,-21,3
470,-21,-2
471,-17,-7
472,-12,-12
473,-9,-18
474,-5,-22
475,0,-28
476,5,-30
477,10,-32
478,14,-31
479,16,-32
480,20,-31
481,19,-22
482,18,-21
483,17,-15
484,16,-7
485,16,-1
486,14,6
487,7,12
488,4,19
489,2,24
490,-3,28
491,-5,28
492,-10,31
493,-13,30
494,-15,27
495,-15,23
496,-15,16
497,-14,13
498,-14,5
499,-11,0
500,-9,-7
501,-6,-15
502,0,-17
503,4,-23
504,5,-22
505,9,-23
506,11,-23
507,12,-24
508,13,-18
509,14,-12
510,16,-5
511,18,0
512,12,6
513,10,13
514,7,19
515,3,23
516,-1,24
517,-4,26
518,-9,28
519,-12,27
520,-14,25
521,-15,21
522,-16,16
523,-19,9
524,-20,3
525,-17,-2
526,-18,-8
527,-16,-10
528,-11,-14
529,-11,-17
530,-7,-18
531,-2,-22
532,2,-22
533,4,-21
534,9,-19
535,11,-17
536,17,-14
537,18,-11
538,20,-4
539,22,1
540,21,6
541,21,12
542,17,17
543,14,20
544,10,24
545,6,27
546,3,25
547,-3,22
548,-9,19
549,-12,16
550,-17,13
551,-21,7
552,-23,0
553,-23,-4
554,-24,-13
555,-21,-18
556,-18,-21
557,-15,-23
558,-11,-26
559,-7,-29
560,1,-29
561,7,-27
562,13,-26
563,17,-22
564,23,-18
565,24,-15
566,25,-7
567,25,-2
568,22,6
569,20,13
570,18,18
571,12,25
572,3,29
573,-2,30
574,-9,31
575,-13,33
576,-18,33
577,-23,31
578,-24,28
579,-26,23
580,-26,18
581,-24,13
582,-21,7
583,-16,-1
584,-12,-5
585,-7,-13
586,0,-16
587,3,-21
588,8,-22
589,15,-25
590,18,-26
591,21,-25
592,22,-24
593,23,-22
594,21,-20
595,22,-14
596,18,-8
597,15,-3
598,11,2
599,6,7
600,1,15
601,-4,17
602,-10,21
603,-12,25
604,-15,26
605,-18,26
606,-20,25
607,-19,22
608,-19,16
609,-21,11
610,-19,6
611,-17,-1
612,-12,-6
613,-9,-9
614,-6,-15
615,-1,-19
616,4,-23
617,9,-24
618,10,-27
619,12,-26
620,15,-24
621,16,-20
622,16,-17
623,15,-11
624,15,-5
625,13,1
626,9,3
627,6,9
628,4,11
629,0,16
630,-2,18
631,-4,19
632,-8,20
633,-12,20
634,-15,20
635,-14,18
636,-15,17
637,-14,14
638,-15,10
639,-13,4
640,-11,1
641,-7,-4
642,-7,-7
643,-5,-13
644,-3,-17
645,1,-18
646,3,-20
647,7,-24
648,8,-21
649,11,-19
650,13,-16
651,14,-13
652,15,-9
653,16,-3
654,16,3
655,14,8
656,14,15
657,11,21
658,8,25
659,5,28
660,2,28
661,-1,28
662,-7,27
663,-11,26
664,-12,23
665,-18,15
666,-18,11
667,-20,7
668,-20,2
669,-20,-5
670,-17,-10
671,-14,-18
672,-11,-20
673,-7,-23
674,-3,-27
675,4,-28
676,8,-28
677,13,-26
678,19,-23
679,20,-19
680,22,-16
681,23,-11
682,21,-5
683,20,-2
684,16,3
685,10,9
686,7,16
687,1,19
688,-5,24
689,-10,25
690,-16,23
691,-19,26
692,-20,21
693,-21,20
694,-23,15
695,-25,11
696,-21,5
697,-16,-2
