,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
78,-1,3,-4,0,0,2,3,-3,3,-4,2,-3,2,-2,-2,2
79,-5,-2,-6,-1,-3,1,0,-6,2,-5,1,-5,-3,-3,-5,2
80,-9,-5,-8,-8,-6,0,-1,-6,-1,-9,-2,-5,-8,-6,-9,0
81,-10,-8,-9,-3,-12,-5,-7,-8,-6,-11,-5,-11,-11,-8,-10,-5
82,-10,-8,-14,-2,-10,-7,-6,-10,-8,-10,-8,-13,-12,-12,-14,-6
83,-14,-11,-15,-6,-13,-12,-6,-11,-7,-10,-10,-10,-15,-14,-14,-6
84,-12,-11,-15,-7,-12,-14,-8,-10,-11,-10,-9,-12,-17,-12,-14,-8
85,-9,-9,-14,-4,-14,-15,-9,-8,-11,-9,-8,-11,-15,-11,-13,-10
86,-8,-8,-11,-4,-13,-15,-8,-7,-11,-8,-6,-10,-15,-9,-13,-11
87,-7,-11,-12,-1,-10,-14,-7,-4,-11,-5,-6,-9,-13,-8,-11,-8
88,-4,-9,-8,-1,-7,-12,-5,-3,-11,-3,-5,-4,-12,-5,-10,-8
89,-3,-7,-5,1,-6,-13,-5,-2,-9,-1,-4,-4,-11,-7,-10,-6
90,-2,-5,-2,1,-2,-9,-4,0,-7,0,0,-6,-7,-3,-6,-4
91,0,-1,0,1,1,-8,-2,4,-3,1,2,-2,-7,0,0,-2
92,4,1,1,4,3,-2,2,2,-3,2,3,2,-2,3,3,2
93,6,3,7,5,4,-2,4,2,-1,5,4,4,3,5,3,1
94,9,6,5,2,6,2,2,7,2,4,5,5,0,9,4,5
95,9,8,7,2,5,5,4,6,5,5,3,7,5,10,5,4
96,10,8,7,3,9,4,5,8,6,7,6,9,4,12,9,6
97,9,9,8,1,9,7,6,7,7,7,4,8,6,9,8,7
98,7,6,9,0,11,6,5,9,7,4,3,4,5,10,7,6
99,7,8,5,0,13,10,5,7,6,2,5,4,3,7,5,6
100,5,5,5,-2,7,5,4,5,5,2,3,4,4,4,1,5
101,4,4,1,-2,5,4,5,2,7,-2,-1,3,3,0,1,7
102,0,3,1,-4,6,4,2,3,3,-2,-3,0,0,-2,-1,4
103,0,-2,0,-6,1,1,0,1,0,-4,-4,0,0,-6,-2,1
104,-4,-3,0,-7,-3,-1,-3,-5,-1,-5,-3,-3,0,-5,-5,-1
105,-6,-7,-2,-8,-4,-3,-5,-8,-3,-7,-6,-4,-3,-7,-6,-4
106,-6,-9,-3,-8,-5,-3,-5,-8,-4,-9,-6,-6,-4,-8,-5,-5
107,-7,-8,-4,-10,-7,-4,-7,-10,-5,-9,-9,-8,-5,-7,-5,-8
108,-11,-9,-7,-10,-6,-3,-8,-12,-8,-9,-10,-8,-5,-9,-6,-9
109,-11,-9,-5,-10,-6,-3,-8,-10,-7,-11,-8,-8,-5,-8,-3,-9
110,-9,-7,-2,-9,-7,-1,-6,-11,-6,-11,-9,-8,-4,-10,1,-11
111,-9,-6,0,-7,-8,-1,-7,-10,-6,-10,-10,-8,-2,-9,5,-12
112,-9,-8,3,-5,-10,1,-4,-7,-4,-7,-8,-6,-1,-6,7,-9
113,-9,-4,3,-3,-8,4,-6,-5,0,-4,-5,-6,2,-6,9,-5
114,-7,-1,7,-2,-5,4,-4,-3,2,-4,-2,-4,3,-5,10,-7
115,-4,2,9,2,-5,5,-3,-1,5,-1,-1,-2,4,-3,10,-6
116,-3,3,9,3,-3,7,1,1,9,-3,-1,-1,7,-3,13,-2
117,-1,3,11,4,1,10,2,2,11,0,3,0,8,-1,13,0
118,-1,5,12,5,1,9,0,3,13,2,5,3,10,-1,13,2
119,3,3,13,6,1,9,2,4,13,4,4,4,11,3,13,5
120,6,3,11,6,5,8,1,7,16,5,5,5,13,3,10,6
121,7,7,13,5,4,12,1,7,12,4,8,6,11,2,7,7
122,7,9,11,5,6,9,1,6,12,5,9,6,11,3,7,9
123,9,8,7,5,6,5,2,5,13,5,9,3,8,5,3,8
124,7,5,5,7,4,5,4,7,8,4,8,3,7,4,-1,8
125,8,6,4,8,6,3,4,7,4,7,8,5,8,8,-5,5
126,6,2,2,6,5,0,3,7,3,7,7,4,4,7,-7,5
127,8,0,-2,6,5,-1,5,6,3,6,7,4,2,6,-7,4
128,8,0,-5,2,4,-3,5,4,-1,7,5,7,-1,6,-7,2
129,7,0,-7,2,7,-8,7,5,-3,5,5,6,-5,6,-11,2
130,3,2,-9,4,8,-10,6,6,-5,8,4,5,-5,8,-9,4
131,3,2,-7,4,9,-9,5,7,-8,7,4,3,-6,7,-10,2
132,5,1,-9,4,7,-10,7,8,-11,6,2,7,-6,4,-7,4
133,3,2,-9,3,7,-10,5,6,-9,8,3,9,-9,5,-9,6
134,4,3,-8,2,6,-7,7,6,-8,7,1,9,-12,7,-9,8
135,3,2,-7,5,9,-7,7,6,-9,3,2,9,-8,3,-6,6
136,1,2,-4,1,8,-5,6,5,-5,5,-1,8,-6,5,-3,8
137,0,2,-3,2,7,-4,4,5,-4,6,-1,6,-7,5,0,7
138,1,4,-2,1,6,0,4,4,-2,2,-1,1,-4,4,-1,7
139,-1,2,2,0,4,2,3,2,0,-1,1,1,1,3,1,5
140,-2,-1,4,-5,2,2,2,0,1,-2,1,-2,1,1,4,3
141,-3,0,4,-3,-1,5,1,-4,3,-5,-3,-3,0,-1,7,1
142,-4,-1,5,-4,-1,8,-3,-5,4,-4,-4,-5,4,-4,5,-3
143,-5,-3,8,-7,-4,7,-3,-5,8,-6,-8,-8,8,-5,6,-3
144,-6,-5,5,-7,-6,9,-5,-8,8,-9,-6,-9,6,-8,4,-6
145,-7,-6,6,-8,-5,6,-6,-9,7,-8,-9,-12,5,-10,1,-10
146,-6,-6,6,-6,-9,6,-9,-10,6,-11,-8,-11,7,-10,0,-10
147,-5,-6,5,-6,-9,3,-8,-10,6,-9,-11,-12,6,-10,-1,-12
148,-6,-7,2,-4,-10,1,-10,-12,7,-9,-11,-15,4,-12,-3,-14
149,-8,-6,0,-3,-9,2,-11,-9,2,-9,-9,-12,1,-10,-6,-13
150,-5,-6,-2,-4,-11,-1,-9,-12,-1,-10,-7,-8,0,-11,-6,-14
151,-5,-5,-4,-5,-10,-3,-9,-10,-3,-9,-8,-7,-5,-9,-7,-13
