,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
63,6,14,9,1,-3,2,3,-2,-3,3,4,-1,2,7,2,6,1,4,3,4
64,2,15,11,1,-4,1,2,-2,-1,1,3,-5,1,5,1,9,6,3,0,4
65,0,12,10,0,-5,3,2,-7,1,-1,2,-7,0,5,1,6,4,-1,-1,3
66,-3,13,10,0,-6,2,2,-6,2,3,-3,-8,0,-1,0,6,5,-2,1,-1
67,-2,12,9,-2,-6,1,0,-8,2,0,-3,-9,-2,-1,0,2,1,-2,-1,-3
68,-3,10,11,-2,-8,0,0,-9,2,-1,-3,-7,-4,-4,1,0,2,-4,-1,-5
69,-1,9,5,-1,-10,0,-1,-7,0,0,-3,-8,-6,-4,0,2,1,-3,-1,-6
70,-3,8,6,-2,-10,0,-1,-9,-2,-3,-2,-6,-6,-7,-1,1,-1,-6,-3,-9
71,-4,9,4,-2,-8,-1,-3,-10,0,-5,-3,-6,-4,-7,-1,-3,-2,-3,-2,-7
72,-4,6,0,-3,-8,-2,-4,-10,-2,-5,-3,-7,-5,-8,-2,-3,-2,-6,-3,-5
73,-5,3,-1,-5,-5,-3,-5,-9,-3,-5,-3,-6,-6,-5,-3,-2,-3,-3,-6,-4
74,-6,3,-4,-6,-7,-3,-5,-8,-3,-6,-1,-6,-3,-6,-5,-5,-4,-2,-4,-4
75,-7,2,-8,-8,-5,-3,-7,-9,-2,-6,-1,-4,-3,-6,-5,-5,-7,-1,-5,-1
76,-8,0,-10,-8,-3,-6,-5,-6,-6,-5,-2,-4,0,-2,-3,-1,-8,-1,-7,0
77,-7,2,-12,-8,-4,-7,-7,-5,-5,-5,1,-3,0,-3,-4,-2,-6,0,-7,1
78,-8,-2,-15,-6,-3,-8,-4,-5,-3,-4,2,0,0,-2,-5,-2,-4,2,-5,0
79,-8,-5,-18,-6,-2,-5,-5,-4,0,-4,-1,-4,-3,-1,-4,-1,-4,2,-2,1
80,-5,-9,-19,-5,-2,-5,-1,-3,-4,-4,-3,0,-2,-1,-4,0,-3,1,-1,3
81,-6,-12,-17,-4,-1,-2,0,-2,-2,-1,-4,1,-3,2,-3,-2,-4,-1,0,0
82,-6,-12,-18,-2,1,0,2,-2,0,0,-5,1,-4,0,-2,-4,-2,-5,2,0
83,-5,-15,-19,1,-1,-1,3,-3,3,2,-6,-2,-7,-2,1,-4,1,-7,3,-1
84,-1,-15,-18,2,-1,0,6,-1,1,4,-10,-3,-9,-6,1,-6,1,-6,4,-6
85,-1,-18,-17,3,-2,3,8,-2,3,7,-8,-1,-9,-4,1,-10,4,-9,8,-7
86,2,-20,-15,4,0,5,7,-1,4,8,-9,-2,-11,-7,1,-10,3,-11,8,-9
87,5,-19,-15,6,-1,5,6,-1,2,10,-9,-2,-10,-10,5,-8,6,-8,8,-7
88,7,-16,-12,5,-1,7,8,1,3,6,-12,-2,-7,-8,6,-7,7,-11,7,-10
89,5,-19,-9,6,-1,5,6,0,4,5,-8,-1,-7,-10,9,-7,7,-8,7,-10
90,8,-14,-6,8,1,4,3,-2,4,5,-5,-2,-6,-8,6,-8,5,-8,4,-9
91,7,-14,-3,5,2,4,5,1,4,4,-5,-3,-7,-6,8,-6,6,-3,3,-6
92,8,-13,-1,7,2,4,2,0,3,1,-4,0,0,-5,5,-6,6,-3,4,-6
93,6,-7,0,3,0,4,0,2,0,3,-1,0,1,-3,5,-3,5,-1,3,-5
94,4,-5,4,3,4,5,0,4,0,0,2,2,5,1,4,-2,3,-1,1,-3
95,4,-4,7,2,4,3,-1,3,-1,-2,4,3,7,4,-1,0,3,1,-1,1
96,3,-4,7,0,6,6,-1,6,0,-2,5,6,6,5,-1,2,1,2,-1,3
97,0,0,8,-1,8,3,-3,9,-4,-3,9,6,5,7,-1,2,0,6,0,7
98,0,2,10,1,11,-1,-1,9,1,-4,10,8,9,10,-3,4,-3,8,1,8
99,2,0,9,0,12,0,-1,10,1,-1,10,10,10,9,1,3,-2,8,0,9
100,-2,0,10,1,13,-2,1,12,0,-1,13,13,10,9,-1,5,-3,9,1,9
101,-2,3,11,0,12,0,0,11,2,-1,14,13,10,12,-2,7,-2,10,1,9
102,2,5,9,1,12,1,2,13,3,0,15,12,10,13,0,6,-2,9,4,8
103,0,4,6,4,12,-3,5,11,2,1,15,12,10,11,0,6,-1,8,4,8
104,-1,7,5,4,9,1,5,11,3,3,12,9,10,10,-1,6,0,9,5,10
105,1,6,5,5,10,2,2,9,4,4,11,10,9,9,2,8,2,10,5,10
106,1,8,4,7,7,-1,2,9,5,1,10,8,9,9,1,8,-1,8,5,7
107,2,8,2,2,5,0,3,5,4,3,8,6,9,9,4,8,-2,8,6,7
108,2,6,1,5,3,0,3,3,3,2,7,5,7,8,3,7,2,9,4,10
109,2,5,2,3,-1,0,2,2,4,4,5,2,9,9,4,9,4,8,2,8
110,2,7,5,4,-3,1,1,-1,5,3,4,1,5,8,3,8,1,8,3,8
111,2,5,4,2,-5,-1,1,-3,4,3,3,-3,5,4,3,11,1,7,-1,10
112,2,7,7,2,-6,-1,0,-4,3,3,1,-4,1,6,4,12,1,9,2,9
113,2,5,8,3,-6,-1,-1,-5,1,4,-1,-6,-2,8,2,10,1,5,1,7
