,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
75,-17,10,-8,-16,-11,-21,-16,-11,-15,-22,-13,-19,-2,-18,-12,-17
76,-12,13,-5,-12,-6,-19,-13,-4,-11,-19,-7,-16,2,-15,-8,-15
77,-6,15,4,-7,-2,-16,-9,0,-8,-17,-4,-14,7,-11,-3,-11
78,-3,19,7,-3,4,-13,-8,6,-4,-14,3,-11,12,-7,0,-8
79,-2,17,10,1,9,-9,-1,8,0,-9,8,-7,17,-3,6,-4
80,4,18,14,6,12,-5,4,14,6,-6,13,-1,20,2,9,0
81,10,18,19,11,18,2,10,15,10,-1,15,5,23,6,13,5
82,15,19,20,14,20,5,13,17,17,7,21,10,24,10,18,8
83,17,18,22,17,22,11,17,22,21,13,23,15,25,15,19,15
84,22,16,21,21,23,16,21,24,23,17,23,18,22,18,22,16
85,23,16,21,22,22,20,23,25,22,18,25,21,18,20,21,19
86,22,14,20,23,20,25,23,22,24,22,24,23,16,22,22,21
87,21,9,17,22,18,26,21,19,23,22,22,23,14,21,20,23
88,19,6,11,21,14,25,20,20,22,22,18,20,9,20,18,23
89,16,-1,7,18,12,24,19,14,18,21,16,20,3,20,14,20
90,15,-3,5,16,7,20,18,9,14,18,12,20,0,19,13,17
91,12,-9,-3,11,1,16,12,3,10,17,7,17,-5,16,9,15
92,8,-11,-8,6,-5,12,8,-1,5,13,3,12,-8,12,3,12
93,5,-15,-10,3,-9,9,4,-6,2,10,-2,11,-14,8,-1,5
94,-1,-19,-13,-3,-11,2,-2,-10,-5,5,-6,7,-17,5,-4,0
95,-5,-18,-15,-7,-14,-2,-9,-12,-7,0,-10,1,-19,0,-6,-4
96,-9,-17,-17,-10,-17,-8,-11,-16,-12,-5,-12,-3,-20,-6,-13,-7
97,-11,-17,-18,-13,-18,-12,-13,-16,-12,-8,-16,-7,-20,-10,-15,-8
98,-14,-14,-18,-15,-18,-16,-16,-16,-15,-13,-17,-12,-19,-12,-16,-12
99,-17,-10,-17,-18,-17,-17,-18,-18,-17,-14,-19,-13,-17,-13,-17,-14
100,-20,-5,-14,-20,-18,-20,-19,-18,-19,-15,-17,-15,-15,-13,-18,-14
101,-17,-2,-13,-20,-14,-20,-20,-16,-18,-16,-16,-16,-11,-14,-17,-14
102,-16,3,-11,-20,-12,-20,-17,-13,-18,-16,-15,-16,-10,-15,-16,-16
103,-16,5,-6,-19,-11,-20,-17,-14,-14,-14,-13,-14,-5,-14,-14,-14
104,-15,9,-4,-16,-10,-20,-16,-10,-11,-15,-10,-15,0,-14,-11,-13
105,-10,11,0,-11,-3,-17,-13,-7,-8,-13,-7,-13,4,-12,-9,-13
106,-5,16,0,-10,0,-14,-7,-5,-4,-12,-2,-12,3,-10,-3,-9
107,-3,17,2,-6,2,-10,-2,0,1,-10,3,-7,6,-6,0,-6
108,1,19,4,-4,3,-6,-1,2,4,-6,5,-5,7,-3,1,-4
109,5,23,6,1,5,-2,2,4,8,-4,6,-3,10,0,5,-3
110,6,21,7,1,7,-1,7,6,8,-2,6,1,10,6,8,-1
111,8,21,9,6,6,2,6,10,9,1,5,6,14,6,9,2
112,10,16,7,8,6,4,8,7,9,2,8,4,10,7,10,5
113,7,14,5,8,7,5,8,6,9,3,7,4,8,6,9,4
114,7,14,5,10,7,5,8,6,7,5,8,6,6,8,10,6
115,6,10,6,10,5,7,6,6,6,7,10,9,2,6,10,7
116,4,2,0,10,5,9,7,6,5,9,10,7,1,6,11,9
117,4,-3,-1,9,2,6,5,5,4,6,6,7,0,5,10,5
118,1,-9,-1,7,-2,5,4,4,2,6,6,8,-2,5,7,5
119,-1,-13,-2,3,0,3,1,2,2,7,3,8,-2,2,5,3
120,-2,-17,-4,3,-3,2,-2,2,-1,3,-1,4,-2,3,1,1
121,-5,-20,0,2,-1,2,-2,0,-4,3,-2,4,-2,0,-1,2
122,-7,-24,-2,-2,-2,1,-5,0,-1,2,-4,2,-2,-1,-3,-1
123,-6,-28,-3,-3,-2,-3,-3,1,-3,-1,-6,-1,0,-4,-3,-2
124,-2,-28,0,-1,-2,-4,-3,-1,-3,-1,-4,-3,0,-2,-4,-3
125,-2,-26,1,0,-1,-4,-4,-1,-1,-3,-4,-1,0,-3,-1,-1
126,-3,-23,2,-2,2,-1,-3,1,-2,-1,-2,-2,3,-2,-1,-1
127,-5,-22,1,-3,3,0,-2,2,-3,1,-2,-2,5,1,-2,1
128,0,-18,1,-1,2,-1,-1,3,0,-2,-1,-3,7,3,-3,0
129,1,-12,5,1,4,1,-3,4,2,0,1,0,9,5,1,2
130,0,-6,6,2,4,0,0,8,4,2,5,3,11,4,4,4
131,4,-2,9,4,8,4,1,7,4,3,5,1,9,5,3,4
132,4,6,12,4,9,3,3,8,7,3,6,5,9,8,5,7
133,8,13,11,8,13,4,9,9,7,6,8,7,12,9,8,12
134,9,17,11,9,12,6,11,10,11,7,9,9,12,9,10,10
135,10,21,9,10,11,6,11,12,11,9,11,14,12,11,10,11
136,11,23,10,13,11,9,13,10,14,10,14,16,9,13,14,11
137,11,25,9,11,11,10,14,9,14,14,12,15,9,13,15,11
138,13,26,8,8,8,9,11,9,12,13,12,15,8,12,12,12
139,10,22,7,9,8,11,10,7,12,14,11,14,5,13,11,11
140,9,20,4,9,5,12,9,7,13,16,9,14,3,11,11,13
141,7,18,1,6,3,11,9,5,11,14,8,11,3,8,9,11
142,5,14,-1,5,0,9,5,2,9,13,4,11,-2,8,4,7
143,4,8,-5,3,-4,7,4,-4,7,10,1,10,-5,6,2,5
144,-1,1,-8,-1,-5,5,0,-7,5,6,-1,5,-8,4,-1,3
145,-4,-3,-11,-4,-9,2,-4,-11,1,1,-4,1,-12,1,-2,1
146,-7,-9,-16,-6,-13,0,-10,-14,-1,-3,-8,-3,-14,-1,-8,-4
147,-9,-13,-16,-8,-16,-3,-9,-18,-5,-7,-12,-6,-16,-7,-11,-7
148,-16,-16,-19,-10,-19,-3,-14,-18,-11,-10,-15,-8,-14,-12,-13,-14
149,-16,-21,-19,-10,-19,-9,-16,-17,-14,-13,-17,-14,-15,-13,-14,-15
150,-17,-21,-18,-11,-20,-13,-18,-20,-17,-16,-16,-17,-17,-18,-15,-16
151,-20,-22,-18,-8,-21,-16,-19,-17,-17,-18,-18,-16,-14,-19,-16,-15
152,-19,-21,-18,-13,-19,-16,-18,-17,-15,-20,-21,-19,-10,-20,-15,-17
153,-18,-21,-16,-13,-19,-17,-21,-15,-18,-20,-20,-17,-11,-19,-17,-18
154,-17,-16,-15,-14,-17,-16,-20,-12,-19,-20,-17,-17,-10,-21,-18,-16
155,-16,-12,-12,-16,-13,-18,-17,-10,-17,-20,-16,-17,-7,-20,-12,-15
156,-16,-10,-8,-14,-11,-20,-17,-8,-16,-18,-13,-18,-4,-16,-12,-15
157,-11,-7,-4,-14,-5,-17,-14,-6,-12,-15,-12,-15,-2,-13,-8,-11
158,-8,2,0,-11,-3,-15,-11,-2,-10,-12,-6,-12,1,-13,-6,-8
159,-4,6,1,-8,0,-10,-6,1,-6,-11,-3,-10,5,-9,-2,-6
160,-2,11,5,-5,5,-8,-5,4,-3,-7,-1,-6,4,-4,2,-2
161,1,17,12,0,9,-4,1,8,1,-3,2,-3,8,-1,2,0
162,5,20,11,4,12,1,4,9,5,1,6,4,12,1,4,4
163,8,22,11,5,15,3,7,12,7,3,7,3,11,6,5,5
