,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
44,-8,-13,-26,-12,-30,-10,-18,-12,-13,-10,-11,-9,-13,-10,-13,-35,-13,-15,-12,-13,-14,-32,-9,-12,-10,-12,-10,-13
45,-9,-11,-23,-9,-30,-11,-17,-12,-14,-8,-14,-11,-11,-11,-13,-32,-12,-12,-12,-14,-12,-34,-11,-12,-9,-10,-9,-14
46,-10,-13,-24,-9,-29,-11,-14,-13,-11,-6,-11,-11,-8,-10,-14,-28,-11,-11,-12,-14,-9,-33,-12,-10,-8,-7,-8,-14
47,-9,-12,-18,-6,-24,-8,-13,-11,-10,-4,-11,-10,-8,-12,-12,-21,-9,-9,-8,-15,-9,-32,-11,-9,-6,-3,-5,-13
48,-4,-7,-11,-2,-22,-7,-12,-12,-7,-6,-10,-6,-7,-10,-11,-18,-9,-8,-8,-13,-9,-28,-10,-9,-2,-3,-5,-10
49,-4,-6,-6,-3,-16,-4,-7,-8,-6,-2,-11,-6,-4,-7,-8,-12,-6,-5,-7,-12,-4,-24,-8,-8,-2,0,-4,-7
50,-4,-7,0,-2,-11,-3,-3,-5,-3,1,-11,-6,-2,-6,-7,-1,-4,-2,-5,-10,-2,-17,-7,-6,2,2,-6,-7
51,-1,-3,6,0,-3,-3,1,-3,-3,-1,-5,-2,1,-4,-6,5,-2,0,-4,-5,1,-10,-6,-4,3,4,-3,-3
52,-1,-1,13,2,1,0,6,-2,1,2,-4,-2,2,-2,-5,11,2,3,1,-4,3,-5,-5,-3,3,7,1,0
53,0,2,17,5,10,1,10,-2,3,5,-4,-1,5,2,-1,15,2,1,1,1,6,3,-4,-1,8,9,2,0
54,3,3,21,5,15,4,10,1,5,4,0,1,8,0,0,22,5,8,4,4,10,12,3,0,8,8,3,5
55,4,7,25,5,22,5,10,5,6,6,5,3,9,3,3,27,7,8,5,7,11,17,5,2,8,13,4,5
56,6,8,26,8,27,8,14,7,7,7,6,6,12,8,4,29,7,9,6,10,11,24,6,2,8,13,6,8
57,7,9,25,10,30,9,15,10,8,7,6,7,11,9,8,30,10,9,8,13,11,29,7,5,9,12,9,9
58,7,10,25,10,31,10,14,8,11,11,7,8,11,8,8,29,11,10,11,14,11,34,8,6,7,11,8,13
59,9,12,23,11,28,10,12,10,10,10,10,9,12,9,9,29,11,10,9,16,12,33,8,10,7,9,9,12
60,11,12,22,11,28,9,11,9,8,10,12,9,13,10,11,25,9,13,8,19,11,33,10,8,7,7,9,14
61,10,12,18,12,25,11,11,12,12,9,11,8,11,7,12,24,6,10,11,16,10,33,12,10,4,7,7,14
62,12,10,17,9,24,10,7,9,8,9,11,10,10,8,12,19,9,8,12,15,8,28,11,10,5,5,6,13
63,9,9,10,10,19,8,5,12,7,7,11,9,10,10,12,16,8,8,10,13,6,25,10,10,4,1,6,13
64,9,10,3,8,13,7,1,12,4,6,10,9,9,6,10,9,8,5,11,13,5,18,9,10,2,1,5,10
65,8,8,-1,6,9,8,-2,10,1,6,11,7,7,6,7,2,6,7,9,8,3,12,7,9,0,0,4,8
66,7,6,-5,5,4,3,-3,10,2,1,10,6,6,4,9,-4,5,6,7,4,-2,7,8,8,-1,-4,1,7
67,5,4,-8,1,-2,2,-7,7,-2,0,8,4,3,3,7,-9,2,3,7,0,-1,-1,4,6,-3,-6,-1,5
68,2,2,-15,2,-5,-1,-8,6,-4,-3,4,3,1,1,4,-14,-2,2,4,-3,-1,-8,4,1,-7,-7,-4,2
69,-1,-3,-16,-3,-10,-3,-9,1,-3,-5,2,1,-2,-3,1,-19,-1,-3,2,-5,-4,-10,2,0,-8,-10,-7,2
70,0,-2,-19,-5,-15,-5,-11,0,-5,-7,0,-1,-4,-2,-2,-21,-6,-4,-3,-7,-3,-17,-2,-2,-12,-12,-8,-2
71,-1,-5,-23,-8,-20,-6,-11,-3,-6,-9,-4,-3,-3,-4,-5,-24,-10,-6,-3,-13,-1,-22,-5,-5,-12,-13,-8,-5
