,100,120,140
337,28,47,0
338,26,51,-5
339,27,55,-5
340,21,57,-6
341,14,53,-8
342,8,45,-8
343,3,33,-9
344,-2,20,-8
345,-6,4,-8
346,-12,-14,-7
347,-20,-27,-6
348,-25,-36,-10
349,-28,-47,-10
350,-29,-54,-6
351,-32,-57,-3
352,-32,-57,-2
353,-29,-58,1
354,-22,-52,3
355,-16,-45,5
356,-11,-38,10
357,-6,-25,11
358,4,-10,11
359,11,5,16
360,15,18,15
361,20,30,15
362,24,42,13
363,26,51,10
364,30,55,8
365,28,57,6
366,25,56,5
367,22,51,1
368,24,42,0
369,20,32,0
370,13,19,-3
371,6,4,-6
372,-2,-9,-5
373,-7,-21,-6
374,-15,-32,-5
375,-17,-40,-4
376,-20,-48,-3
377,-23,-50,-2
378,-22,-49,-3
379,-21,-46,-3
380,-20,-42,-5
381,-19,-33,-5
382,-17,-20,-4
383,-13,-9,-4
384,-13,4,-1
385,-8,14,4
386,0,23,5
387,7,29,6
388,12,36,8
389,15,39,10
390,21,40,9
391,24,38,12
392,25,32,13
393,21,30,12
394,23,24,11
395,23,18,7
396,20,7,6
397,17,-1,6
398,15,-9,4
399,9,-19,0
400,4,-25,-3
401,-3,-28,-6
402,-11,-31,-10
403,-19,-33,-15
404,-25,-33,-17
405,-31,-25,-18
406,-39,-21,-19
407,-43,-16,-18
408,-46,-8,-14
409,-44,-2,-11
410,-39,4,-6
411,-33,11,-1
412,-28,15,7
413,-19,20,12
414,-6,23,16
415,4,21,19
416,16,20,19
417,29,18,18
418,43,13,16
419,52,11,13
420,62,7,11
421,69,3,5
422,72,-3,5
423,69,-3,2
424,64,-8,-1
425,54,-9,-2
426,40,-10,0
427,25,-14,-3
428,10,-13,-6
429,-9,-11,-7
430,-29,-10,-11
431,-45,-7,-13
432,-60,-6,-16
433,-70,-3,-17
434,-79,0,-18
435,-84,1,-18
436,-85,1,-17
437,-78,4,-16
438,-67,6,-10
439,-55,9,-7
440,-38,9,1
441,-18,6,7
442,4,8,12
443,26,6,18
444,46,6,21
445,61,1,22
446,78,-1,24
447,90,-1,27
448,92,0,27
449,94,0,22
450,89,3,20
451,81,4,15
452,69,0,11
453,54,1,6
454,35,0,4
455,13,-1,-2
456,-11,-2,-8
457,-34,-3,-12
458,-53,-3,-13
459,-72,-5,-15
460,-87,-11,-19
461,-94,-12,-19
462,-97,-14,-19
463,-94,-14,-17
464,-84,-13,-16
465,-71,-11,-12
466,-55,-8,-10
467,-36,-5,-7
468,-15,-1,0
469,9,4,6
470,30,6,9
471,47,9,15
472,65,12,17
473,77,15,19
474,85,10,19
475,87,11,18
476,84,13,16
477,76,13,15
478,62,10,12
479,47,7,10
480,26,3,5
481,7,-5,2
482,-15,-11,-4
483,-35,-16,-6
484,-49,-18,-11
485,-61,-20,-13
486,-72,-22,-18
487,-75,-20,-19
488,-75,-18,-20
489,-72,-13,-23
490,-63,-9,-20
491,-49,-3,-16
492,-36,4,-17
493,-21,13,-13
494,-3,19,-6
495,13,25,1
496,28,30,7
497,43,32,14
498,54,33,19
499,60,31,20
500,63,25,23
501,63,19,27
502,61,13,28
503,51,1,27
504,40,-9,26
505,30,-18,20
506,19,-25,13
507,5,-34,6
508,-8,-39,-1
509,-19,-45,-9
510,-29,-42,-15
511,-34,-38,-20
512,-39,-32,-24
513,-43,-25,-29
514,-42,-14,-31
515,-38,0,-31
516,-34,9,-30
517,-30,23,-26
518,-19,33,-20
519,-7,43,-14
520,1,49,-6
521,8,54,-1
522,17,52,11
523,20,49,17
524,25,44,19
525,27,33,20
526,28,22,24
527,25,9,28
528,25,-4,26
529,21,-23,24
530,15,-34,20
531,6,-48,18
532,1,-59,12
533,-6,-65,10
534,-11,-68,6
535,-12,-65,0
536,-17,-55,-4
537,-17,-45,-7
538,-18,-30,-9
539,-19,-14,-14
540,-17,4,-17
541,-12,23,-21
542,-10,37,-22
543,-5,51,-21
544,-1,65,-18
545,4,69,-14
546,6,68,-10
547,9,64,-7
548,12,57,-2
549,15,48,3
550,14,34,7
551,14,18,13
552,13,1,16
553,13,-14,16
554,11,-30,19
555,12,-45,19
556,9,-54,17
557,5,-65,15
558,4,-66,13
559,1,-67,9
560,-1,-64,3
561,-6,-55,-1
562,-7,-46,-2
563,-11,-30,-4
564,-14,-12,-6
565,-17,2,-6
566,-16,19,-9
567,-21,32,-10
568,-21,47,-11
569,-18,57,-12
570,-16,63,-13
571,-15,65,-12
572,-12,60,-14
573,-7,56,-10
574,-5,49,-5
575,2,36,-1
576,7,21,1
577,12,7,5
578,16,-10,9
579,19,-24,9
580,24,-38,13
581,29,-47,12
582,30,-52,14
583,29,-56,14
584,28,-52,10
585,21,-50,8
586,16,-42,6
587,10,-33,5
588,1,-25,0
589,-10,-11,-3
590,-14,-1,-4
591,-21,13,-1
592,-30,23,-1
593,-33,30,0
594,-37,39,-1
595,-38,42,-3
596,-37,42,-7
597,-32,45,-9
598,-25,41,-11
599,-15,37,-11
600,-5,28,-11
601,7,19,-9
602,15,11,-9
603,24,-1,-9
604,32,-10,-4
605,40,-19,-1
606,45,-24,1
607,45,-30,2
608,45,-32,7
609,40,-35,11
610,30,-31,15
611,19,-30,16
612,8,-28,16
613,-3,-21,16
614,-17,-14,15
615,-28,-5,16
616,-40,1,15
617,-51,6,11
618,-54,13,10
619,-57,18,10
620,-55,18,6
621,-51,18,5
622,-41,19,3
623,-27,20,-2
624,-12,20,-5
625,5,20,-10
626,23,19,-13
627,40,16,-15
628,56,15,-16
629,68,10,-15
630,72,5,-15
631,74,4,-13
632,73,-3,-10
633,69,-8,-7
634,56,-15,-1
635,39,-17,0
636,22,-22,4
637,5,-25,9
638,-19,-27,8
639,-42,-27,6
640,-57,-22,4
641,-72,-21,4
642,-84,-20,0
643,-90,-14,-2
644,-88,-10,-3
645,-82,-3,-2
646,-72,3,-1
647,-55,7,-1
648,-35,13,1
649,-15,19,3
650,8,21,2
651,32,24,5
652,54,26,5
653,71,24,3
654,85,25,1
655,94,23,3
656,98,21,0
657,95,16,-3
658,85,12,0
659,69,4,2
660,52,1,2
661,31,-3,3
662,7,-9,8
663,-17,-17,10
664,-40,-19,11
665,-57,-23,11
666,-74,-26,13
667,-88,-25,15
668,-93,-28,13
669,-93,-27,13
670,-86,-22,10
671,-75,-17,6
672,-61,-13,1
673,-39,-3,-3
674,-18,3,-6
675,2,10,-8
676,26,16,-8
677,48,24,-7
678,62,30,-8
679,75,33,-9
680,85,33,-7
681,88,33,-8
682,83,32,-5
683,80,26,-3
684,66,20,-3
685,45,12,0
686,28,4,-2
687,11,-2,0
688,-10,-11,0
689,-30,-19,0
690,-49,-26,-1
691,-62,-27,1
692,-73,-28,2
693,-78,-31,1
694,-81,-30,4
695,-75,-25,5
696,-67,-18,3
697,-53,-10,2
698,-37,-4,1
699,-20,5,2
700,-3,12,1
701,16,16,-1
702,34,22,0
703,48,24,-3
704,58,25,-4
705,66,24,-3
706,70,20,-5
707,70,15,-4
708,66,10,-3
709,58,5,-1
710,49,-1,-2
711,37,-7,0
712,20,-11,1
713,7,-14,1
714,-7,-12,2
715,-23,-17,1
716,-36,-17,4
717,-45,-12,2
718,-53,-9,3
719,-57,-5,3
720,-55,-4,3
721,-55,-2,4
722,-52,3,2
723,-46,4,1
724,-37,5,-3
725,-26,6,-3
726,-15,7,-4
727,-2,6,-5
728,8,0,-7
729,22,-1,-8
730,30,-2,-9
731,36,-2,-8
732,43,-6,-7
733,46,-9,-6
734,46,-8,-4
735,48,-6,-1
736,41,-9,1
737,38,-9,8
738,31,-8,10
739,23,-6,15
740,9,-6,20
741,3,-2,17
742,-7,0,15
743,-17,4,15
744,-24,4,13
745,-32,9,11
746,-36,9,5
747,-41,8,3
748,-43,14,2
749,-44,12,-4
750,-40,12,-7
751,-36,10,-10
752,-28,8,-9
753,-19,4,-8
754,-12,1,-7
755,-2,-2,-8
756,6,-5,-5
757,13,-10,-5
758,20,-14,-2
759,28,-20,2
760,33,-21,4
761,39,-24,7
762,42,-21,8
763,41,-19,10
764,41,-11,11
765,34,-5,10
766,30,3,9
767,21,12,9
768,12,22,8
769,5,29,7
770,-5,32,6
771,-13,33,3
772,-20,31,3
773,-27,27,2
774,-32,23,2
775,-35,14,-3
776,-38,5,-2
777,-38,-3,-1
778,-35,-12,-3
779,-31,-21,-4
780,-25,-26,-7
781,-20,-28,-8
782,-10,-29,-11
783,2,-28,-10
784,10,-24,-9
785,19,-18,-10
786,29,-13,-9
787,35,-6,-4
788,41,4,0
789,43,11,1
790,42,19,5
791,40,24,11
792,39,26,12
793,30,28,11
794,21,26,12
795,12,24,12
796,1,21,9
797,-6,13,6
798,-16,5,2
799,-25,-1,-2
800,-29,-5,-6
801,-35,-12,-10
802,-36,-17,-13
803,-37,-18,-15
804,-35,-24,-15
805,-30,-27,-13
806,-20,-28,-13
807,-16,-28,-12
808,-7,-28,-9
809,2,-24,-4
810,11,-22,-1
811,15,-17,2
812,21,-12,6
813,23,-6,7
814,28,2,9
815,26,13,11
816,20,19,10
817,19,26,14
818,13,30,17
819,8,31,20
820,4,32,20
821,-2,30,20
822,-8,26,19
823,-11,22,21
824,-14,17,20
825,-14,11,15
826,-13,4,14
827,-10,-5,12
828,-6,-16,6
829,-3,-24,0
830,-1,-30,-6
831,2,-33,-10
832,6,-37,-15
833,8,-40,-18
834,11,-35,-19
835,10,-30,-22
836,9,-25,-24
837,11,-16,-22
838,8,-5,-19
839,2,7,-15
840,-1,17,-9
841,-3,26,0
842,-6,32,4
843,-13,38,8
844,-16,42,11
845,-18,41,14
846,-19,40,16
847,-20,37,17
848,-18,33,19
849,-17,25,15
850,-14,18,13
851,-10,12,11
852,-4,6,8
853,3,-1,4
854,5,-9,1
855,12,-17,-4
856,17,-22,-8
857,19,-26,-10
858,23,-29,-12
859,23,-28,-10
860,24,-30,-9
861,20,-27,-9
862,16,-23,-9
863,11,-20,-8
864,3,-17,-5
865,-4,-14,-6
866,-10,-3,-6
867,-16,2,-3
868,-20,11,-3
869,-21,20,-2
870,-19,25,0
871,-19,31,1
872,-17,35,3
873,-14,36,5
874,-6,37,9
875,0,35,9
876,5,31,13
877,11,24,15
878,19,15,11
879,22,11,10
880,24,1,9
881,25,-6,7
882,26,-17,2
883,22,-26,-4
884,18,-32,-8
885,10,-35,-14
886,3,-39,-21
887,-6,-39,-21
888,-11,-39,-22
889,-17,-36,-23
890,-21,-29,-22
891,-23,-21,-17
892,-25,-14,-13
893,-27,-5,-9
894,-25,4,-8
895,-21,12,-1
896,-14,18,3
897,-7,22,6
898,1,28,7
899,10,30,8
900,19,28,9
901,26,27,8
902,33,26,9
903,35,25,9
904,34,21,10
905,33,15,11
906,31,10,9
907,24,5,12
908,18,-3,15
909,9,-8,18
910,1,-14,15
911,-11,-18,11
912,-19,-21,11
913,-24,-27,8
914,-32,-25,3
915,-38,-25,-4
916,-41,-25,-7
917,-40,-23,-14
918,-39,-20,-17
919,-37,-17,-19
920,-30,-14,-20
921,-19,-7,-19
922,-14,-3,-17
923,-4,2,-14
924,7,8,-6
925,17,12,-3
926,27,21,1
927,36,27,6
928,42,29,10
929,45,31,13
930,46,31,15
931,45,28,18
932,41,24,16
933,33,21,14
934,23,15,10
935,11,12,8
936,-2,6,7
937,-13,4,0
938,-27,-3,-1
939,-38,-6,-1
940,-46,-9,-5
941,-47,-14,-8
942,-49,-16,-11
943,-49,-20,-11
944,-48,-21,-11
945,-38,-20,-11
946,-27,-20,-12
947,-15,-20,-10
948,-5,-16,-11
949,7,-11,-8
950,21,-9,-7
951,33,-6,-7
952,45,-2,-5
953,53,3,-4
954,58,6,-2
955,60,12,0
956,60,17,3
957,57,21,5
958,52,22,4
959,43,25,9
