,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
29,12,42,49,44,40,33,48,43,45,45,48,43,44,44,47,49,45,48,16,47,42,31,37,28,39,47,36,30,43,39,45,45,50,44,49,43,41,51,48,45,45,48
30,6,39,46,38,38,25,44,46,40,42,45,40,39,40,42,44,43,42,9,46,38,25,30,22,35,47,30,25,41,35,41,39,45,42,46,45,36,46,49,41,41,47
31,-4,29,42,30,31,17,42,39,35,39,41,36,32,31,42,43,39,40,5,43,36,21,19,12,23,42,21,22,34,30,37,30,43,40,43,40,26,44,48,36,37,44
32,-19,19,35,18,22,4,34,34,28,34,34,29,19,23,36,38,35,34,-5,39,25,18,11,6,15,38,9,18,24,21,30,18,39,30,39,34,15,33,42,24,27,39
33,-27,11,24,8,12,-7,27,20,17,28,24,21,14,13,29,29,25,21,-18,33,17,13,3,2,7,33,0,14,14,11,20,10,32,22,30,26,7,25,37,15,19,31
34,-31,-2,16,-4,2,-17,15,15,9,18,13,10,3,3,21,23,16,13,-29,22,5,8,-10,-8,-1,23,-12,7,8,6,12,1,23,15,21,17,-5,14,29,9,12,21
35,-31,-13,7,-14,-10,-27,7,3,0,9,2,1,-9,-6,13,12,8,3,-33,13,-5,2,-20,-21,-9,14,-26,1,0,-2,-1,-11,9,5,14,6,-19,4,20,-2,-1,14
36,-33,-26,-2,-26,-19,-35,-1,-11,-10,-1,-9,-8,-20,-16,3,5,-1,-6,-33,3,-14,-4,-30,-32,-25,8,-36,-6,-8,-15,-12,-23,2,-1,2,-5,-28,-7,9,-9,-11,4
37,-34,-33,-13,-35,-31,-42,-12,-21,-23,-8,-21,-20,-33,-29,-6,-8,-11,-15,-33,-7,-26,-8,-36,-32,-33,-2,-39,-10,-20,-25,-20,-32,-9,-14,-7,-16,-38,-19,1,-22,-22,-7
38,-29,-40,-25,-41,-41,-46,-27,-30,-33,-20,-33,-31,-38,-37,-20,-18,-23,-28,-34,-16,-32,-11,-43,-33,-40,-16,-41,-14,-30,-36,-31,-39,-21,-27,-18,-28,-45,-30,-9,-30,-31,-20
39,-24,-42,-34,-45,-45,-49,-35,-38,-38,-32,-37,-39,-43,-44,-30,-28,-30,-36,-28,-28,-40,-19,-45,-34,-45,-28,-44,-21,-36,-39,-37,-43,-30,-38,-28,-34,-47,-36,-22,-40,-38,-29
40,-14,-45,-42,-51,-49,-43,-41,-43,-43,-37,-41,-43,-48,-45,-35,-36,-39,-42,-20,-37,-45,-23,-45,-34,-48,-35,-48,-24,-42,-43,-43,-49,-38,-41,-37,-38,-49,-42,-32,-45,-43,-36
41,-5,-44,-46,-47,-48,-40,-48,-47,-51,-42,-48,-47,-49,-51,-42,-43,-42,-48,-10,-43,-46,-23,-42,-30,-48,-40,-41,-22,-46,-46,-47,-48,-43,-46,-43,-45,-46,-46,-38,-47,-48,-43
42,1,-40,-50,-43,-48,-33,-50,-48,-51,-49,-49,-50,-48,-51,-44,-50,-47,-49,-4,-48,-45,-22,-37,-22,-46,-46,-37,-23,-48,-44,-48,-43,-48,-48,-48,-48,-43,-49,-42,-48,-48,-45
43,8,-35,-51,-38,-45,-29,-50,-46,-47,-47,-47,-49,-43,-45,-50,-51,-49,-48,2,-49,-38,-20,-29,-11,-43,-47,-31,-19,-50,-44,-48,-40,-51,-49,-49,-47,-36,-43,-46,-48,-43,-50
44,16,-26,-49,-31,-39,-17,-48,-40,-43,-47,-42,-44,-35,-42,-45,-51,-47,-44,8,-50,-34,-18,-21,-7,-39,-49,-22,-19,-44,-41,-47,-30,-47,-45,-51,-37,-27,-39,-51,-43,-35,-49
45,27,-20,-45,-21,-36,-1,-45,-33,-41,-43,-37,-39,-25,-35,-43,-49,-43,-44,18,-46,-26,-19,-13,2,-31,-48,-12,-14,-39,-36,-43,-22,-46,-38,-46,-33,-18,-35,-46,-40,-29,-47
46,24,-10,-37,-7,-28,10,-39,-27,-34,-38,-27,-33,-14,-28,-39,-39,-36,-35,25,-42,-15,-12,2,11,-23,-43,-1,-11,-32,-29,-32,-13,-41,-31,-44,-26,-6,-24,-46,-31,-24,-40
47,26,4,-31,4,-17,22,-31,-13,-25,-30,-18,-25,0,-17,-30,-36,-31,-30,23,-36,-5,-9,14,20,-12,-38,13,-8,-24,-20,-26,3,-36,-25,-38,-14,10,-14,-41,-24,-11,-37
48,28,12,-20,16,-5,32,-21,0,-17,-22,-5,-13,14,-6,-25,-29,-20,-22,23,-27,7,-5,24,25,0,-31,25,-5,-14,-8,-14,14,-28,-14,-32,-2,19,-1,-33,-12,1,-30
49,23,22,-10,27,9,39,-9,11,0,-15,9,-3,21,9,-14,-17,-8,-11,26,-17,19,-2,34,25,13,-19,32,0,0,4,-4,23,-18,-8,-22,14,27,10,-24,4,12,-18
50,16,32,2,34,21,46,3,19,12,-2,21,12,31,22,0,-6,4,3,19,-7,27,3,42,29,24,-8,39,6,11,17,8,34,-6,5,-7,24,40,22,-15,14,24,-5
51,8,40,16,43,32,49,14,32,26,11,31,23,41,32,12,12,19,17,14,9,36,9,48,31,34,6,47,11,22,26,20,43,11,19,3,33,46,33,-3,26,35,7
52,4,44,28,45,37,49,27,43,32,25,40,35,46,39,22,23,30,31,9,18,42,12,46,25,40,19,49,12,34,37,33,48,21,28,17,43,49,41,12,36,42,21
53,0,44,38,50,38,44,34,47,41,32,49,39,46,43,31,32,35,38,8,29,46,15,47,16,41,31,49,15,40,39,41,45,31,32,30,47,48,49,22,40,46,34
54,-8,42,40,47,42,38,37,49,46,37,49,39,44,45,41,36,42,43,1,36,44,13,45,9,42,38,44,16,44,43,42,45,39,41,36,49,46,48,32,41,47,37
55,-13,39,43,44,45,34,41,48,45,42,46,45,44,45,40,42,45,43,-5,41,42,15,37,8,42,42,43,15,44,46,44,43,42,41,41,48,43,43,41,46,45,42
56,-14,34,43,40,42,24,43,44,45,44,43,45,38,43,41,45,45,47,-9,42,38,16,31,0,41,42,35,15,47,43,46,37,42,42,43,43,38,43,44,46,41,46
57,-17,28,46,30,39,11,44,38,45,45,44,44,33,42,44,43,43,47,-8,44,33,15,23,-5,35,41,24,14,43,40,41,29,45,38,44,37,32,40,43,41,38,48
58,-16,20,41,21,37,4,40,33,39,40,38,39,27,36,43,44,37,42,-12,44,24,14,13,-10,31,43,16,12,36,34,40,22,43,35,43,32,21,35,43,36,32,43
59,-17,13,38,12,35,-5,37,27,36,39,31,38,16,32,38,40,33,36,-14,38,17,14,5,-15,28,37,9,12,37,33,38,14,39,31,40,25,11,25,42,37,23,40
60,-14,3,36,6,24,-14,34,16,35,35,21,31,11,26,35,35,30,35,-13,35,11,15,-5,-15,21,36,-1,13,30,30,31,2,34,28,37,14,3,15,40,30,12,40
61,-13,-5,28,-4,15,-25,28,7,23,28,11,22,0,16,29,32,26,28,-12,33,3,9,-14,-18,9,34,-13,8,22,17,25,-7,31,23,35,5,-7,8,35,23,4,35
62,-7,-13,19,-18,6,-34,20,0,11,23,1,14,-12,7,23,23,22,17,-9,25,-9,7,-26,-15,2,28,-24,5,12,10,16,-14,26,16,28,0,-18,-2,31,15,-5,26
63,-4,-27,11,-26,-1,-41,11,-13,5,13,-8,5,-23,-1,11,17,10,9,-5,18,-18,5,-35,-16,-6,19,-33,3,5,2,6,-25,13,5,20,-13,-30,-14,21,5,-16,18
64,-2,-32,6,-35,-9,-48,4,-24,-2,5,-21,-4,-34,-7,4,8,1,0,-2,7,-29,3,-40,-11,-14,11,-42,-1,-3,-3,-2,-35,7,-1,9,-23,-38,-24,13,-5,-28,9
65,5,-37,-6,-42,-21,-50,-5,-34,-10,0,-32,-11,-40,-17,1,1,-8,-8,-1,0,-36,0,-46,-9,-21,1,-47,-1,-13,-13,-13,-39,0,-8,4,-33,-42,-33,7,-13,-35,0
66,9,-44,-14,-47,-25,-51,-15,-39,-20,-10,-41,-18,-46,-26,-12,-9,-14,-15,5,-7,-40,-4,-47,-5,-29,-7,-50,-6,-19,-23,-18,-46,-9,-15,-7,-38,-48,-42,-1,-18,-40,-7
67,13,-46,-21,-48,-32,-45,-19,-44,-26,-19,-47,-25,-49,-31,-19,-17,-22,-22,9,-17,-43,-6,-47,-1,-33,-15,-50,-7,-27,-28,-25,-50,-19,-25,-15,-43,-48,-46,-9,-27,-47,-15
68,17,-46,-27,-48,-37,-41,-28,-47,-32,-25,-49,-32,-51,-35,-27,-22,-30,-26,13,-24,-45,-5,-42,7,-37,-22,-45,-10,-32,-34,-30,-48,-23,-29,-22,-47,-51,-46,-19,-31,-50,-24
69,22,-42,-35,-46,-42,-37,-31,-46,-40,-32,-51,-36,-48,-43,-30,-29,-32,-34,14,-31,-43,-8,-42,10,-40,-28,-43,-13,-37,-36,-36,-42,-29,-34,-28,-47,-44,-50,-25,-37,-46,-32
70,23,-38,-41,-42,-45,-28,-35,-45,-43,-36,-50,-38,-43,-45,-35,-35,-38,-38,16,-37,-43,-12,-37,11,-43,-33,-36,-14,-42,-41,-40,-40,-36,-39,-34,-48,-40,-45,-28,-43,-44,-37
