,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
59,8,7,6,6,6,7,11,5,7,3,4,11,6,4,5,14,7,8,7,11,6
60,5,5,3,7,9,7,8,6,7,2,7,14,5,5,6,8,7,4,8,8,8
61,2,7,3,3,15,5,9,3,9,2,4,11,4,4,6,11,6,5,7,8,8
62,4,4,3,5,16,4,5,5,10,2,4,13,6,-2,4,9,4,3,7,5,5
63,0,3,-2,2,10,3,2,3,4,-2,5,11,1,-1,0,7,6,0,6,-1,6
64,-1,3,-2,1,9,0,-1,-2,3,-4,2,9,-3,-6,-1,7,-1,-2,5,0,-1
65,-6,-1,-5,1,11,1,-2,-1,0,-4,1,8,-2,-9,-3,3,-1,-7,1,-2,-5
66,-5,-5,-7,-5,6,-3,-5,-5,-3,-9,-3,1,-4,-9,-2,-1,-3,-7,-1,-5,-4
67,-8,-7,-8,-6,2,-3,-10,-8,-4,-10,-1,5,-5,-11,-4,-5,-4,-9,-2,-8,-11
68,-12,-8,-12,-8,1,-7,-10,-10,-7,-12,-7,1,-9,-12,-6,-8,-7,-13,-6,-12,-11
69,-10,-10,-11,-10,0,-4,-11,-9,-8,-10,-13,-2,-13,-14,-8,-9,-12,-14,-6,-14,-14
70,-13,-11,-11,-12,1,-6,-13,-6,-14,-10,-11,-1,-11,-10,-7,-15,-10,-12,-9,-14,-12
71,-9,-5,-9,-14,-1,-6,-12,-7,-12,-11,-10,-2,-11,-11,-5,-13,-11,-10,-14,-10,-11
72,-6,-8,-9,-9,-1,-3,-13,-7,-12,-10,-9,-2,-8,-11,-4,-12,-10,-11,-12,-8,-10
73,-6,-7,-6,-11,-2,-7,-9,-4,-12,-8,-10,-6,-11,-7,-8,-11,-8,-9,-9,-14,-7
74,-2,-5,-3,-8,-4,-3,-9,-3,-10,-7,-12,-8,-8,-3,-6,-9,-10,-6,-8,-7,-7
75,-3,-5,-4,-4,-3,-1,-5,0,-9,-3,-6,-10,-5,0,-5,-10,-5,-5,-10,-6,-3
76,-1,-5,-3,-2,-6,-2,-6,0,-7,-8,-6,-19,-4,-2,-5,-5,-5,-6,-4,-6,-4
77,-4,-8,-5,-1,-9,-3,-11,-6,-5,-8,-9,-19,-5,-6,-14,-3,-7,-9,0,-8,-6
78,-8,-9,-9,-3,-12,-8,-8,-8,-7,-11,-11,-22,-10,-5,-11,-6,-10,-11,-5,-9,-6
79,-7,-11,-5,-5,-14,-9,-10,-8,-8,-11,-9,-23,-13,-8,-15,-8,-9,-10,-5,-8,-10
