,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
16,-8,7,6,-3,-19,2,5,5,-14,-7,-2,7,6,-4,1,3,2,-5,-6,2,-14,-3,6,-11,-2,1,0,8,1,-1,1,-7,-1,-4,6,-3,-1,-1,-9,-11,1,0,1,-1,3,-16,-6,-2,-4,2,2,-3,-16,-5,0,4,8,-4,-6,-2,-6,-5,-3,-17,-3,4,3,6,1,4,-2,0,-20,9,1,-8,-8,-12,-3,2,4,-9,2,0,-7,-1,-4,9,4,-9
17,-11,6,5,-7,-18,1,2,5,-14,-8,-4,-1,1,-6,-5,3,-3,-8,-10,2,-18,-8,0,-14,-8,-3,-4,5,0,-6,1,-11,-1,-8,2,-7,-3,-3,-11,-11,-2,-2,-1,-3,-1,-17,-6,-7,-6,-1,-2,-7,-16,-9,-4,1,7,-5,-8,-6,-8,-9,-4,-19,-5,3,0,0,-2,2,-4,-3,-19,7,-1,-11,-9,-15,-5,-2,2,-11,0,-4,-9,-3,-8,4,4,-10
18,-13,2,3,-8,-20,0,2,2,-16,-12,-6,-3,0,-9,-8,2,-7,-10,-13,1,-19,-10,2,-15,-9,-5,-3,2,1,-7,-2,-13,-4,-12,-3,-8,-6,-6,-13,-15,-7,-6,-5,-8,-4,-18,-9,-11,-7,-5,-7,-12,-18,-13,-7,-2,6,-8,-13,-9,-10,-12,-6,-20,-9,2,-2,-5,-6,2,-7,-7,-22,5,-8,-13,-11,-18,-9,-7,1,-14,2,-8,-10,-7,-10,0,2,-13
19,-15,-1,2,-10,-20,-1,1,3,-16,-15,-9,-6,-3,-13,-10,-1,-12,-15,-13,-3,-20,-10,1,-16,-12,-8,-7,-2,1,-10,-5,-15,-5,-12,-6,-17,-9,-9,-16,-16,-10,-11,-10,-9,-7,-19,-12,-13,-13,-8,-10,-15,-19,-16,-10,-4,5,-11,-11,-13,-11,-12,-10,-19,-9,-1,-6,-4,-9,-2,-13,-8,-23,2,-10,-15,-12,-20,-12,-8,1,-16,1,-10,-12,-12,-11,-1,0,-18
20,-20,0,1,-12,-17,-3,-1,2,-19,-18,-14,-9,-6,-15,-16,-3,-13,-15,-17,0,-20,-13,0,-16,-17,-12,-12,-4,-4,-11,-9,-17,-9,-15,-9,-14,-15,-11,-17,-20,-12,-12,-12,-12,-10,-20,-13,-15,-17,-9,-13,-18,-21,-16,-14,-7,1,-13,-15,-16,-15,-15,-11,-20,-14,-3,-11,-7,-14,-3,-16,-11,-21,-2,-11,-17,-15,-19,-17,-11,-2,-19,1,-17,-15,-14,-14,-7,-3,-18
21,-20,-1,0,-15,-18,-4,-2,0,-19,-18,-13,-10,-9,-16,-17,-4,-16,-15,-17,-2,-22,-15,-1,-19,-16,-14,-12,-11,-1,-15,-10,-18,-12,-15,-10,-18,-14,-15,-18,-21,-14,-17,-13,-15,-15,-18,-16,-16,-17,-13,-16,-18,-21,-17,-16,-10,-3,-17,-18,-16,-17,-16,-15,-20,-17,-3,-11,-11,-17,-5,-19,-15,-22,-6,-14,-18,-18,-22,-15,-14,0,-22,-4,-17,-17,-17,-17,-7,-4,-17
22,-19,0,-2,-20,-18,-7,-5,0,-19,-21,-16,-13,-11,-18,-17,-6,-19,-15,-17,-5,-22,-17,0,-18,-19,-17,-15,-11,-4,-18,-12,-17,-14,-16,-14,-18,-16,-17,-19,-18,-16,-18,-19,-14,-18,-16,-18,-18,-20,-17,-16,-17,-21,-20,-17,-12,-4,-17,-21,-18,-17,-18,-14,-18,-15,-4,-15,-12,-17,-8,-19,-17,-22,-8,-16,-19,-19,-23,-17,-16,0,-23,-7,-17,-18,-18,-17,-15,-7,-19
23,-20,-3,-4,-19,-17,-10,-8,-5,-18,-21,-16,-17,-13,-19,-19,-7,-18,-17,-17,-7,-19,-19,-3,-17,-19,-15,-16,-14,-7,-19,-15,-22,-18,-18,-16,-22,-17,-17,-20,-17,-16,-20,-18,-15,-18,-17,-21,-19,-19,-19,-15,-18,-19,-19,-18,-13,-5,-19,-20,-20,-18,-17,-15,-17,-18,-6,-16,-14,-18,-8,-19,-17,-21,-9,-18,-19,-20,-24,-18,-18,-1,-22,-6,-19,-19,-17,-18,-18,-9,-20
24,-19,-6,-3,-20,-16,-12,-9,-7,-17,-21,-17,-17,-15,-19,-19,-10,-20,-19,-17,-12,-19,-18,-8,-18,-21,-18,-19,-16,-7,-20,-15,-20,-21,-19,-17,-23,-19,-18,-20,-19,-20,-23,-20,-16,-20,-18,-20,-18,-19,-19,-16,-17,-18,-22,-19,-15,-5,-20,-19,-19,-19,-19,-18,-20,-19,-9,-18,-16,-19,-9,-22,-16,-19,-12,-19,-17,-21,-20,-20,-16,-3,-21,-11,-19,-18,-19,-19,-17,-10,-22
25,-20,-8,-6,-19,-17,-16,-13,-12,-15,-21,-16,-19,-15,-20,-19,-11,-22,-17,-17,-15,-15,-17,-9,-15,-21,-21,-18,-17,-11,-21,-18,-19,-19,-19,-17,-21,-19,-20,-19,-19,-19,-22,-21,-18,-21,-17,-21,-18,-20,-18,-18,-17,-17,-19,-16,-16,-7,-19,-19,-20,-20,-19,-20,-18,-20,-13,-25,-18,-20,-12,-20,-18,-19,-12,-21,-18,-19,-20,-22,-17,-7,-20,-13,-21,-20,-20,-17,-19,-10,-21
26,-16,-11,-11,-18,-14,-17,-15,-13,-17,-20,-18,-17,-15,-22,-20,-14,-23,-16,-17,-17,-15,-18,-11,-15,-20,-19,-18,-17,-14,-23,-18,-19,-21,-18,-18,-20,-18,-21,-16,-18,-19,-22,-20,-18,-20,-15,-20,-18,-20,-19,-17,-17,-15,-20,-17,-17,-8,-22,-20,-19,-18,-19,-19,-14,-20,-17,-23,-18,-20,-14,-21,-18,-18,-14,-22,-17,-19,-18,-20,-18,-9,-20,-13,-22,-19,-24,-16,-22,-12,-21
27,-18,-17,-11,-19,-14,-20,-19,-16,-16,-17,-18,-18,-16,-20,-20,-16,-21,-17,-18,-18,-15,-17,-12,-15,-19,-17,-19,-16,-17,-21,-19,-18,-21,-19,-18,-20,-18,-18,-16,-19,-19,-22,-21,-19,-19,-15,-20,-18,-19,-16,-17,-17,-17,-19,-18,-19,-11,-19,-18,-16,-17,-19,-17,-15,-19,-18,-23,-19,-21,-16,-20,-17,-15,-17,-21,-17,-19,-20,-20,-18,-10,-19,-17,-21,-20,-24,-19,-21,-16,-20
28,-18,-17,-13,-19,-13,-22,-21,-18,-16,-18,-18,-20,-18,-20,-21,-18,-19,-15,-17,-21,-15,-15,-14,-14,-17,-18,-18,-17,-20,-22,-19,-16,-22,-18,-17,-21,-14,-18,-17,-18,-17,-20,-22,-19,-18,-13,-19,-16,-17,-17,-20,-18,-16,-18,-16,-22,-14,-20,-16,-19,-17,-18,-19,-17,-19,-19,-22,-21,-20,-17,-21,-15,-14,-17,-21,-15,-20,-18,-18,-18,-14,-15,-18,-22,-20,-21,-19,-22,-19,-20
29,-17,-18,-16,-17,-14,-21,-22,-18,-15,-17,-14,-19,-20,-19,-20,-20,-16,-16,-19,-23,-14,-15,-17,-14,-16,-16,-16,-19,-21,-19,-19,-17,-22,-17,-19,-18,-14,-18,-15,-15,-16,-18,-21,-18,-17,-13,-18,-17,-20,-19,-18,-15,-18,-15,-18,-21,-15,-16,-14,-16,-16,-18,-18,-13,-19,-22,-21,-21,-20,-18,-18,-18,-13,-17,-18,-15,-17,-17,-17,-18,-15,-15,-21,-22,-17,-20,-16,-21,-20,-20
