,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
11,-2,-8,-1,-17,-3,-12,-14,3,-14,0,-13,-1,-11,-4,4,-10,7,-15,0,7,-8,9,-17,11,8,5,11,13,-3,-9,14,9,12,-11,-10,-9,-8,-6,-9,-7,-9,-7,-7,-6,2,-7,-1,0,1,-4,2,6,-3,-7,-1,-6,-11,-10,-14,-15,19,0,0,-10,-11,-8,4,2,2,2,-1,-8,5,0,-6,12,4,2,1,0,-3,3,8,6,13,-1,2,0,-6,-1,-3,-3,2,4,-1,-6,10,3,-7,-3,5,3,-4,2,10,4,-5,-4,2,-3,-9,0,1,7,5,13,12,9,7,11,7,-4,0,-7,1,-7,-4,-3
12,-2,-7,-1,-22,-11,-18,-17,-2,-16,-1,-17,-6,-13,-6,-1,-15,0,-17,-5,-1,-15,7,-19,7,7,0,14,8,-3,-12,11,8,10,-13,-12,-10,-12,-7,-10,-13,-14,-12,-10,-7,-4,-13,-6,-7,-4,-11,1,2,-7,-13,-6,-11,-14,-13,-17,-15,20,-4,-4,-11,-14,-10,0,-3,-1,-1,-5,-11,2,-3,-11,13,2,0,-2,-2,-2,4,5,3,12,-3,-3,-4,-5,-5,-3,-5,-3,-1,-3,-6,6,2,-6,-8,1,-1,-7,-2,5,1,-6,-5,0,-5,-11,-1,0,1,2,14,6,9,6,9,4,-8,-2,-9,-3,-9,-6,-5
13,-2,-10,0,-27,-20,-22,-21,-7,-19,-4,-19,-9,-19,-11,-3,-17,-5,-18,-11,-7,-22,5,-24,3,1,-3,11,4,-1,-16,10,9,8,-15,-14,-14,-16,-11,-11,-14,-18,-15,-14,-11,-8,-16,-9,-11,-11,-16,-1,3,-15,-16,-10,-17,-21,-14,-16,-14,19,-2,-5,-13,-13,-11,-1,-8,-6,-5,-9,-13,-2,-6,-13,10,-3,-4,-2,-5,-4,0,1,-2,8,-3,-2,-7,-9,-5,-7,-7,-5,-4,-5,-6,5,-2,-5,-9,-4,-3,-6,-5,1,-1,-6,-5,-1,-3,-12,-1,-2,-3,1,10,5,7,3,7,1,-8,-4,-10,-4,-11,-9,-8
14,-5,-10,0,-29,-28,-26,-25,-11,-22,-7,-21,-13,-22,-16,-3,-20,-13,-21,-16,-13,-24,1,-25,-1,-3,-5,10,-3,-3,-21,11,9,7,-16,-14,-14,-18,-13,-13,-14,-20,-16,-16,-14,-13,-19,-15,-16,-16,-18,-6,-2,-17,-20,-14,-17,-24,-18,-13,-18,18,-3,-5,-18,-12,-14,-3,-11,-11,-9,-13,-16,-5,-10,-14,7,-6,-4,-4,-2,-6,-1,-1,-4,5,-4,-3,-7,-10,-9,-7,-8,-7,-5,-6,-7,2,-1,-5,-8,-5,-3,-7,-5,1,-4,-9,-5,-2,-5,-12,-1,-1,-4,0,7,2,3,-2,6,-2,-9,-7,-12,-7,-11,-8,-11
15,-6,-10,1,-28,-34,-27,-24,-14,-25,-5,-21,-18,-24,-17,-4,-19,-18,-23,-20,-17,-28,0,-27,-4,-6,-11,10,-6,-4,-24,11,7,7,-16,-13,-14,-20,-11,-11,-18,-19,-17,-20,-17,-15,-18,-19,-19,-17,-20,-5,-3,-20,-20,-18,-18,-23,-17,-15,-10,17,-3,-3,-19,-11,-15,-5,-12,-16,-8,-13,-17,-8,-15,-14,5,-8,-5,-5,-6,-5,-4,-2,-7,3,-6,-5,-8,-11,-10,-8,-7,-7,-7,-7,-8,-1,-4,-2,-12,-6,-4,-10,-6,-1,-7,-9,-6,-2,-6,-10,-1,-1,-8,-3,7,0,2,-2,4,-3,-11,-10,-13,-7,-13,-12,-10
16,-6,-9,5,-26,-36,-27,-25,-19,-23,-6,-21,-21,-25,-20,-8,-18,-19,-21,-23,-22,-31,0,-28,-11,-10,-13,7,-8,-6,-24,9,7,7,-11,-11,-16,-20,-12,-9,-19,-19,-20,-20,-18,-16,-18,-23,-23,-19,-25,-8,-4,-21,-22,-20,-18,-19,-16,-10,-5,18,-2,-1,-20,-9,-10,-4,-15,-18,-11,-15,-17,-11,-15,-19,3,-9,-5,-7,-3,-6,-3,-3,-9,3,-5,-8,-11,-12,-11,-6,-7,-5,-6,-8,-5,-2,-5,-1,-10,-9,-5,-9,-8,-2,-7,-8,-6,-2,-5,-8,-3,-3,-9,-7,4,-1,3,-6,3,-4,-11,-14,-12,-12,-12,-13,-11
17,-3,-8,4,-26,-37,-26,-22,-22,-20,-6,-19,-24,-23,-23,-9,-16,-21,-18,-29,-26,-35,-3,-26,-11,-13,-15,9,-13,-5,-26,9,5,6,-12,-8,-12,-16,-13,-9,-18,-19,-20,-21,-19,-18,-19,-23,-24,-22,-24,-7,-6,-22,-19,-23,-20,-19,-15,-5,-3,18,-1,0,-21,-7,-9,-3,-13,-21,-12,-17,-19,-15,-15,-20,1,-10,-6,-4,-7,-5,-5,-7,-7,0,-4,-6,-11,-14,-11,-6,-8,-6,-7,-8,-6,-7,-6,1,-12,-10,-6,-8,-8,-4,-11,-8,-4,-3,-4,-7,-1,-3,-11,-6,2,-2,1,-8,2,-10,-12,-13,-12,-12,-10,-14,-14
18,-4,-9,7,-24,-37,-21,-18,-25,-19,-5,-19,-26,-23,-23,-8,-17,-20,-18,-34,-29,-34,-6,-25,-13,-17,-19,7,-17,-3,-26,9,2,4,-9,-5,-11,-15,-12,-4,-17,-16,-20,-21,-16,-18,-19,-23,-22,-25,-24,-7,-7,-20,-18,-25,-16,-14,-10,-3,2,17,2,0,-21,-4,-8,-3,-14,-23,-14,-17,-14,-18,-18,-20,0,-11,-4,-3,-7,-7,-4,-8,-9,-2,-3,-6,-12,-14,-11,-7,-6,-7,-5,-6,-4,-8,-8,4,-11,-10,-6,-8,-6,-5,-11,-4,-2,-1,-2,-5,-1,-2,-11,-3,3,-5,-3,-11,1,-11,-10,-14,-10,-10,-11,-13,-13
19,-3,-10,7,-17,-36,-16,-15,-27,-17,-2,-16,-25,-19,-24,-9,-15,-21,-16,-32,-30,-33,-8,-26,-17,-18,-20,5,-18,-1,-27,5,2,3,-4,0,-7,-13,-8,0,-15,-13,-16,-17,-14,-19,-16,-25,-23,-24,-23,-10,-11,-17,-13,-19,-15,-12,-5,1,5,20,5,4,-19,-2,-6,-4,-15,-23,-12,-18,-13,-18,-16,-19,0,-10,-6,-6,-6,-5,-4,-8,-8,-6,-2,-5,-12,-14,-11,-5,-4,-5,-6,-3,-2,-8,-5,8,-10,-12,-5,-7,-8,-5,-11,-4,-1,0,0,-3,2,-1,-12,-5,0,-8,-4,-13,-3,-13,-8,-15,-7,-8,-7,-11,-13
20,-1,-8,9,-11,-30,-14,-11,-29,-16,-3,-8,-24,-18,-23,-9,-14,-19,-13,-32,-31,-29,-7,-21,-21,-18,-19,1,-21,0,-25,2,1,-1,-1,1,-5,-10,-6,3,-12,-13,-13,-14,-13,-16,-12,-24,-21,-24,-21,-9,-8,-13,-11,-14,-12,-8,-1,6,11,22,3,5,-18,2,-3,-3,-16,-23,-12,-16,-13,-21,-14,-16,-1,-8,-5,-3,-4,-3,-3,-6,-7,-7,0,-4,-10,-12,-10,-6,-1,-3,-6,-3,-2,-10,-7,7,-9,-11,-5,-6,-6,-6,-10,-4,1,1,-1,-1,2,1,-12,-5,-5,-7,-5,-15,-5,-15,-9,-11,-3,-9,-5,-9,-11
