,0,1,2
337,-47,-43,-43
338,-49,-44,-49
339,-47,-44,-47
340,-44,-43,-43
341,-36,-42,-37
342,-27,-34,-28
343,-18,-26,-20
344,-9,-19,-10
345,2,-8,1
346,16,5,14
347,27,15,28
348,38,26,35
349,42,35,42
350,50,46,50
351,56,47,55
352,54,51,53
353,52,50,48
354,46,46,44
355,41,40,40
356,30,34,30
357,19,27,20
358,5,15,5
359,-7,3,-7
360,-19,-11,-20
361,-32,-24,-29
362,-43,-35,-40
363,-49,-44,-48
364,-56,-51,-53
365,-57,-55,-54
366,-57,-54,-54
367,-54,-53,-51
368,-46,-50,-41
369,-37,-43,-36
370,-23,-32,-25
371,-11,-22,-13
372,1,-10,-2
373,11,3,10
374,24,15,25
375,34,29,36
376,45,40,46
377,50,47,53
378,55,54,55
379,59,58,59
380,57,61,60
381,52,59,52
382,46,53,43
383,35,42,32
384,24,29,20
385,11,17,7
386,-4,3,-8
387,-19,-11,-23
388,-32,-28,-36
389,-41,-39,-46
390,-54,-48,-56
391,-60,-57,-61
392,-63,-61,-64
393,-63,-62,-60
394,-61,-63,-56
395,-54,-59,-50
396,-44,-53,-40
397,-31,-40,-28
398,-16,-28,-14
399,-2,-17,-2
400,16,-2,13
401,30,16,28
402,42,34,41
403,56,45,50
404,62,56,56
405,67,65,61
406,71,70,67
407,69,73,64
408,60,70,60
409,50,59,46
410,40,50,36
411,22,40,23
412,5,22,7
413,-12,5,-10
414,-26,-9,-26
415,-41,-26,-40
416,-52,-41,-52
417,-61,-51,-65
418,-71,-64,-74
419,-77,-74,-80
420,-76,-79,-80
421,-72,-78,-74
422,-64,-75,-64
423,-55,-65,-55
424,-41,-57,-42
425,-24,-42,-25
426,-7,-24,-6
427,14,-7,12
428,30,10,29
429,46,30,43
430,57,44,55
431,70,57,68
432,76,68,76
433,77,76,79
434,75,78,75
435,75,78,71
436,66,77,66
437,55,68,55
438,41,55,42
439,27,41,28
440,12,27,10
441,-6,7,-7
442,-26,-10,-23
443,-40,-27,-41
444,-55,-44,-55
445,-65,-58,-64
446,-73,-66,-73
447,-76,-75,-78
448,-77,-78,-77
449,-70,-79,-71
450,-63,-71,-60
451,-51,-61,-47
452,-36,-52,-37
453,-17,-35,-18
454,1,-19,-1
455,18,-3,16
456,34,16,33
457,47,34,48
458,63,50,63
459,73,64,72
460,78,73,80
461,80,78,80
462,79,78,78
463,70,73,69
464,59,67,59
465,45,54,45
466,27,40,27
467,6,25,10
468,-9,8,-9
469,-29,-8,-26
470,-45,-27,-43
471,-60,-44,-61
472,-69,-59,-71
473,-77,-70,-77
474,-80,-77,-80
475,-80,-79,-81
476,-76,-81,-76
477,-61,-74,-65
478,-46,-62,-51
479,-31,-48,-37
480,-12,-33,-17
481,7,-13,4
482,29,8,28
483,45,27,47
484,60,46,62
485,72,62,75
486,80,73,83
487,83,81,89
488,82,85,86
489,77,85,80
490,69,80,70
491,58,69,60
492,45,58,46
493,29,44,29
494,9,27,10
495,-14,3,-12
496,-32,-15,-32
497,-52,-33,-50
498,-67,-51,-66
499,-79,-68,-78
500,-88,-82,-89
501,-93,-89,-93
502,-94,-92,-94
503,-87,-91,-90
504,-77,-84,-80
505,-65,-72,-67
506,-49,-57,-51
507,-31,-39,-29
508,-10,-21,-12
509,7,-5,6
510,26,13,24
511,45,33,45
512,59,48,59
513,70,60,67
514,77,68,75
515,79,71,79
516,80,76,77
517,72,74,69
518,63,69,62
519,53,57,54
520,39,45,39
521,21,33,19
522,1,14,3
523,-13,-4,-13
524,-25,-16,-28
525,-39,-31,-41
526,-53,-45,-53
