,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
85,35,29,36,29,34,33,32,36,29,34,33,32,36,31,33
86,29,31,29,24,32,35,28,32,31,34,36,29,33,35,29
87,25,27,25,22,33,25,24,28,25,30,29,23,26,31,24
88,23,21,23,20,28,23,21,25,25,24,22,18,22,25,20
89,16,20,20,12,24,20,16,18,23,22,20,13,21,22,16
90,9,16,10,4,21,15,5,11,19,16,15,9,13,17,7
91,0,9,-2,-4,16,4,-9,-1,11,7,8,-3,3,7,-3
92,-9,-2,-11,-13,6,-6,-17,-10,0,-3,-1,-15,-7,-2,-13
93,-19,-13,-18,-22,-5,-14,-24,-18,-9,-12,-10,-21,-17,-12,-21
94,-27,-18,-27,-29,-14,-23,-33,-27,-15,-22,-21,-29,-25,-20,-28
95,-36,-28,-34,-40,-22,-30,-40,-35,-25,-31,-27,-39,-32,-30,-37
96,-45,-34,-45,-47,-29,-40,-47,-43,-35,-39,-35,-46,-42,-39,-44
97,-48,-41,-49,-50,-38,-46,-53,-49,-43,-47,-42,-51,-48,-47,-50
98,-51,-47,-52,-48,-46,-50,-53,-51,-46,-49,-48,-51,-49,-51,-48
99,-52,-48,-53,-50,-49,-51,-50,-51,-45,-51,-51,-49,-51,-54,-48
100,-53,-48,-54,-51,-53,-51,-50,-51,-47,-51,-51,-51,-51,-51,-48
101,-48,-48,-52,-46,-53,-53,-44,-48,-50,-51,-51,-49,-50,-52,-44
102,-40,-47,-46,-39,-53,-49,-35,-40,-44,-49,-48,-38,-46,-48,-36
103,-29,-38,-35,-28,-43,-39,-25,-30,-37,-38,-38,-31,-38,-39,-27
104,-21,-29,-25,-18,-35,-29,-19,-22,-27,-30,-28,-24,-27,-30,-18
105,-12,-23,-16,-7,-27,-21,-6,-14,-20,-22,-22,-13,-16,-20,-7
106,1,-14,-5,5,-18,-12,5,-1,-10,-12,-14,-3,-8,-14,3
107,11,-3,10,19,-9,1,17,14,4,1,1,10,4,-1,15
108,21,9,22,28,1,11,29,23,16,16,12,20,15,11,28
109,30,23,31,33,15,22,35,32,22,27,25,30,26,21,36
