0,34,38,36,,36
1,36,36,38,,38
2,31,35,38,,38
3,29,33,36,,36
4,26,29,29,,0
5,25,17,22,,0
6,16,6,15,,0
7,6,-2,8,,0
8,-1,-11,-4,,0
9,-6,-26,-7,,0
10,-19,-36,-13,,0
11,-26,-43,-21,,0
12,-30,-47,-29,,0
13,-34,-51,-31,,0
14,-37,-52,-31,,0
15,-39,-44,-31,,0
16,-36,-35,-30,,0
17,-33,-25,-24,,0
18,-28,-14,-19,,0
19,-21,0,-12,,0
20,-13,17,-8,,0
21,-3,29,0,,0
22,5,42,9,,0
23,16,50,15,,0
24,22,58,20,,0
25,28,65,27,,0
26,34,69,29,,0
27,38,66,32,,32
28,39,60,34,,34
29,37,55,33,,33
30,36,43,30,,0
31,33,30,30,,0
32,26,11,25,,0
33,22,-4,21,,0
34,13,-19,11,,0
35,5,-31,4,,0
36,-1,-46,-4,,0
37,-7,-58,-12,,0
38,-14,-67,-16,,0
39,-20,-70,-21,,0
40,-24,-73,-26,,0
41,-26,-71,-26,,0
42,-27,-64,-26,,0
43,-30,-53,-23,,0
44,-29,-39,-22,,0
45,-30,-25,-18,,0
46,-25,-8,-14,,0
47,-23,8,-7,,0
48,-18,24,-3,,0
49,-13,36,3,,0
50,-6,50,9,,0
51,1,57,14,,0
52,9,64,17,,0
53,13,66,21,,0
54,18,65,23,,0
55,25,59,25,,0
56,31,50,26,,0
57,33,38,24,,0
58,33,28,25,,0
59,33,16,19,,0
60,29,-1,16,,0
61,20,-13,11,,0
62,15,-23,2,,0
63,10,-38,-4,,0
64,1,-48,-10,,0
65,-11,-56,-15,,0
66,-19,-59,-23,,0
67,-25,-62,-28,,0
68,-31,-63,-30,,0
69,-37,-62,-33,,0
70,-43,-56,-34,,0
71,-40,-45,-33,,0
72,-41,-36,-31,,0
73,-34,-29,-29,,0
74,-32,-16,-23,,0
75,-23,-6,-15,,0
76,-11,8,-10,,0
77,-1,15,-3,,0
78,7,28,4,,0
79,17,35,11,,0
80,28,42,19,,0
81,36,43,22,,0
82,46,46,27,,0
83,51,47,29,,0
84,57,46,28,,0
85,52,41,27,,0
86,47,37,22,,0
87,41,28,19,,0
88,35,18,15,,0
89,22,10,7,,0
90,12,1,3,,0
91,2,-11,-5,,0
92,-10,-24,-10,,0
93,-21,-28,-14,,0
94,-28,-34,-20,,0
95,-34,-39,-25,,0
96,-40,-43,-29,,0
97,-42,-39,-28,,0
98,-42,-36,-26,,0
99,-39,-31,-23,,0
100,-34,-22,-17,,0
101,-28,-11,-12,,0
102,-19,-2,-5,,0
