,0,1,2,3,4,5,6,7,8
566,-4,-9,-5,-13,-10,-13,-8,4,-18
567,2,-6,3,-6,-6,-6,0,10,-15
568,4,2,12,-1,1,3,7,17,-7
569,15,10,14,5,10,8,16,23,-3
570,21,14,22,14,22,17,23,24,6
571,28,19,28,18,21,26,26,28,13
572,31,24,28,24,27,30,31,31,19
573,31,30,34,30,35,36,34,34,24
574,36,30,34,28,34,36,36,36,25
575,32,31,35,32,34,38,37,29,32
576,35,33,33,31,35,38,35,31,33
577,33,30,31,34,37,34,33,25,32
578,28,29,30,30,32,31,25,23,35
579,26,29,22,27,28,26,21,17,32
580,18,21,19,22,23,23,18,7,30
581,13,19,12,16,16,15,8,1,25
582,5,8,4,10,11,9,0,-9,19
583,-4,1,-5,1,1,-2,-6,-15,12
584,-10,-9,-15,-5,-10,-12,-16,-22,3
585,-22,-14,-21,-14,-17,-16,-23,-31,-3
586,-26,-20,-31,-23,-27,-25,-30,-31,-13
587,-33,-31,-33,-26,-29,-31,-34,-38,-22
588,-38,-36,-35,-34,-35,-35,-39,-39,-28
589,-39,-37,-41,-35,-35,-39,-41,-40,-35
590,-42,-38,-41,-37,-35,-37,-39,-38,-36
591,-38,-37,-38,-37,-37,-40,-36,-30,-40
592,-36,-36,-35,-35,-32,-35,-29,-24,-39
593,-30,-29,-30,-33,-29,-29,-25,-16,-36
594,-26,-27,-24,-25,-23,-26,-17,-6,-34
595,-18,-19,-14,-18,-17,-13,-8,3,-26
596,-6,-7,-5,-10,-8,-6,0,12,-22
597,4,1,5,2,5,3,13,21,-14
598,13,9,16,12,12,13,22,30,-4
599,23,18,22,24,22,21,27,37,6
600,31,28,35,29,29,31,35,43,17
601,39,35,40,36,36,34,38,46,23
602,43,38,44,41,42,41,43,46,36
603,47,45,48,43,43,44,43,46,39
604,47,43,45,46,45,47,43,43,42
605,47,43,44,43,44,45,41,38,45
606,43,42,40,40,41,43,35,27,44
607,34,35,35,36,37,37,30,18,43
608,29,28,27,24,29,27,20,11,36
609,16,18,15,19,22,19,12,0,32
610,7,8,6,7,9,7,3,-12,27
611,-4,0,-9,-1,0,-2,-9,-22,13
612,-17,-10,-16,-13,-8,-14,-17,-30,2
613,-25,-17,-23,-22,-20,-25,-28,-39,-8
614,-36,-29,-29,-28,-29,-33,-35,-46,-16
615,-41,-33,-37,-37,-34,-40,-42,-46,-24
616,-42,-40,-46,-39,-39,-45,-45,-47,-33
617,-47,-44,-44,-43,-44,-48,-48,-47,-35
618,-48,-46,-47,-50,-48,-51,-51,-40,-44
619,-48,-46,-48,-46,-45,-48,-45,-35,-47
620,-42,-44,-42,-43,-43,-44,-38,-29,-45
621,-35,-38,-36,-38,-38,-40,-32,-21,-45
622,-27,-30,-26,-32,-29,-29,-23,-10,-37
623,-18,-22,-20,-24,-21,-21,-12,0,-32
624,-11,-14,-8,-11,-13,-13,-1,5,-25
625,-1,0,5,-3,-4,-2,7,14,-16
626,10,9,11,11,7,7,18,27,-7
627,23,18,23,20,19,20,30,34,3
628,36,30,32,28,28,29,36,43,12
629,41,41,41,38,40,37,46,48,24
630,51,47,47,45,46,46,48,53,34
631,53,48,53,50,51,49,50,51,42
632,55,51,56,52,52,54,52,49,45
633,58,52,55,55,54,55,48,44,48
634,53,51,52,54,53,54,45,36,52
635,47,49,47,46,44,47,35,28,53
636,38,38,36,40,38,42,29,19,50
637,28,32,29,29,30,33,20,8,45
638,18,21,16,16,17,20,8,-4,33
639,4,9,5,8,4,10,-4,-18,24
640,-8,1,-8,-5,-9,-4,-17,-24,11
641,-17,-15,-19,-13,-16,-16,-22,-36,0
642,-27,-23,-27,-27,-30,-28,-32,-42,-13
643,-37,-33,-40,-36,-39,-39,-41,-48,-24
644,-47,-43,-48,-43,-47,-46,-46,-53,-33
645,-50,-49,-52,-51,-53,-51,-50,-51,-42
646,-53,-55,-54,-54,-54,-54,-51,-49,-47
647,-55,-52,-52,-54,-54,-53,-49,-43,-51
648,-51,-50,-53,-50,-50,-54,-47,-35,-54
649,-45,-46,-46,-44,-45,-46,-41,-29,-51
650,-38,-36,-40,-39,-38,-41,-35,-19,-48
651,-29,-31,-28,-28,-29,-34,-22,-9,-41
652,-20,-17,-20,-20,-19,-26,-11,3,-34
653,-6,-8,-8,-8,-8,-16,-2,13,-25
654,4,2,4,2,5,-1,12,23,-12
655,17,14,15,12,13,9,20,36,-2
656,26,24,26,25,26,24,33,40,9
657,35,37,36,31,32,34,41,45,21
658,45,43,41,42,42,40,47,50,28
659,49,49,50,44,51,47,52,49,38
660,53,52,48,47,51,48,51,47,45
661,50,50,49,51,51,51,51,41,49
662,48,52,47,47,47,48,43,39,48
663,45,43,41,43,44,46,39,29,47
664,35,38,36,38,36,40,30,17,46
665,27,29,26,29,27,30,17,10,37
666,17,19,19,20,19,23,8,-4,32
667,7,10,6,7,7,13,-7,-14,22
668,-6,-2,-6,-2,-3,4,-17,-26,12
669,-16,-11,-15,-13,-16,-8,-24,-33,0
670,-23,-21,-29,-21,-26,-22,-32,-41,-10
671,-34,-32,-32,-29,-31,-27,-40,-48,-19
672,-39,-38,-40,-41,-40,-36,-46,-46,-29
673,-45,-46,-47,-42,-43,-42,-46,-50,-38
674,-49,-46,-45,-47,-47,-45,-48,-50,-41
675,-49,-50,-46,-50,-48,-49,-48,-47,-48
676,-50,-47,-45,-47,-45,-45,-41,-40,-48
677,-43,-42,-41,-42,-43,-43,-37,-29,-50
678,-38,-38,-32,-37,-36,-38,-27,-21,-42
679,-30,-28,-25,-31,-27,-28,-21,-10,-38
680,-19,-20,-17,-18,-16,-23,-8,4,-30
681,-9,-10,-2,-8,-5,-7,5,12,-18
682,5,3,7,3,3,2,13,25,-13
683,15,14,16,14,17,13,25,32,-1
684,26,27,26,24,25,25,32,40,10
685,34,30,35,32,34,33,39,47,21
686,40,41,43,40,40,41,47,50,32
687,49,46,44,46,47,43,50,54,40
688,50,49,49,53,51,52,54,50,45
689,51,52,52,50,49,52,48,48,51
690,49,51,49,50,47,50,47,43,53
691,44,48,44,49,44,48,42,34,53
692,41,41,39,41,34,43,32,25,48
693,31,33,31,33,28,38,24,12,42
694,24,26,21,24,16,25,14,2,36
695,14,12,7,15,9,14,1,-10,27
696,0,4,-1,3,-4,2,-11,-21,17
697,-10,-7,-13,-8,-17,-8,-21,-27,1
698,-20,-21,-23,-18,-23,-17,-30,-37,-5
699,-28,-30,-31,-31,-37,-29,-42,-44,-19
700,-37,-39,-39,-40,-39,-36,-44,-49,-28
701,-42,-42,-45,-43,-45,-43,-50,-51,-37
702,-45,-49,-51,-50,-47,-49,-55,-52,-44
703,-48,-53,-50,-54,-49,-51,-54,-50,-45
704,-48,-51,-51,-55,-50,-55,-52,-41,-53
705,-46,-49,-45,-51,-41,-51,-42,-39,-53
706,-41,-43,-38,-47,-41,-45,-38,-31,-49
707,-34,-38,-36,-42,-33,-42,-32,-21,-46
708,-27,-29,-29,-31,-21,-32,-20,-12,-40
709,-15,-23,-17,-22,-14,-23,-10,0,-33
710,-6,-11,-3,-9,-4,-11,1,7,-21
711,3,4,6,-1,5,-2,10,21,-12
712,12,11,15,9,16,6,22,32,-3
713,24,26,24,20,29,22,32,41,8
714,35,37,35,32,36,31,42,50,17
715,39,44,44,43,44,38,47,54,31
716,45,50,47,45,48,42,50,61,38
717,51,52,50,52,56,49,55,58,47
718,51,55,54,55,57,53,56,54,52
719,52,53,51,52,54,50,49,49,51
720,47,50,49,52,54,49,46,41,55
721,46,48,44,48,45,47,39,33,52
722,39,41,37,45,39,41,34,21,48
723,27,32,27,34,30,34,19,10,45
724,22,24,17,25,19,22,8,-2,37
725,6,13,8,13,8,13,-3,-15,26
726,-2,1,-5,-1,-6,-3,-16,-26,15
727,-16,-15,-18,-9,-15,-11,-25,-38,4
728,-25,-25,-28,-24,-27,-25,-39,-50,-11
729,-37,-38,-42,-34,-39,-38,-48,-55,-24
730,-48,-47,-49,-44,-50,-44,-52,-62,-33
731,-52,-54,-55,-53,-55,-51,-59,-62,-46
732,-57,-60,-56,-55,-58,-55,-59,-61,-52
733,-59,-60,-57,-60,-63,-59,-59,-56,-58
734,-55,-61,-58,-59,-60,-57,-55,-48,-59
735,-52,-57,-51,-54,-53,-54,-51,-40,-60
736,-47,-51,-44,-50,-46,-49,-42,-26,-58
737,-39,-41,-37,-39,-35,-37,-28,-16,-51
738,-24,-30,-24,-28,-24,-27,-18,-3,-42
739,-12,-19,-12,-17,-14,-17,-2,11,-32
740,1,-3,2,-5,1,-1,14,27,-19
741,17,10,16,10,16,8,26,42,-6
742,29,23,33,27,30,23,39,50,9
743,44,40,46,36,43,35,50,60,19
744,54,53,53,50,53,46,60,67,35
745,61,62,66,60,63,60,67,71,50
746,71,71,70,66,70,65,70,72,58
747,68,72,71,70,72,71,71,67,68
748,68,73,67,68,70,66,69,60,70
749,66,66,61,66,67,61,60,48,73
750,53,61,53,57,57,56,53,36,68
751,43,52,41,48,45,45,36,20,60
752,29,35,27,36,32,36,19,1,54
753,13,20,12,18,14,18,0,-15,43
754,-6,3,-7,2,-2,5,-16,-33,27
755,-21,-12,-23,-17,-19,-11,-34,-48,10
756,-36,-28,-40,-30,-35,-32,-50,-60,-10
757,-53,-47,-53,-42,-50,-43,-59,-70,-26
758,-62,-57,-63,-58,-64,-57,-71,-74,-42
759,-72,-69,-71,-65,-70,-65,-74,-79,-55
760,-77,-75,-75,-73,-75,-73,-79,-78,-65
761,-74,-76,-76,-74,-78,-75,-76,-72,-74
762,-74,-74,-70,-74,-74,-72,-70,-63,-77
763,-65,-70,-64,-69,-69,-71,-62,-49,-77
764,-53,-62,-50,-57,-58,-60,-47,-38,-73
765,-40,-46,-36,-49,-44,-46,-34,-20,-66
766,-26,-35,-23,-33,-29,-34,-15,0,-55
767,-10,-18,-6,-17,-11,-13,1,17,-38
768,9,2,10,2,5,3,17,35,-23
769,25,15,24,18,22,20,37,49,-6
770,39,33,42,30,39,36,49,63,13
771,53,48,53,48,50,49,61,69,28
772,63,61,65,60,64,62,70,71,43
773,71,68,69,66,69,65,72,74,56
774,73,69,70,71,74,72,73,68,67
775,72,74,71,71,72,70,68,63,71
776,66,70,65,69,69,69,63,52,71
777,55,63,59,64,63,63,52,40,72
778,47,55,45,53,52,51,41,25,67
779,32,38,33,43,39,40,26,8,59
780,20,25,16,25,26,23,8,-2,47
781,4,8,1,14,8,10,-2,-20,32
782,-11,-3,-12,-4,-7,-2,-18,-33,18
783,-23,-19,-28,-19,-21,-21,-32,-41,0
784,-38,-31,-37,-28,-34,-32,-41,-50,-11
785,-47,-40,-45,-39,-46,-43,-51,-53,-25
786,-53,-50,-53,-45,-53,-47,-56,-56,-38
787,-57,-55,-56,-52,-58,-55,-58,-55,-46
788,-57,-57,-57,-54,-59,-56,-56,-50,-54
789,-54,-56,-52,-55,-58,-54,-52,-47,-54
790,-48,-52,-49,-54,-56,-51,-49,-38,-60
791,-44,-46,-42,-44,-47,-44,-38,-31,-54
792,-34,-37,-33,-37,-38,-37,-30,-21,-48
793,-24,-32,-26,-30,-30,-30,-22,-7,-46
794,-15,-20,-14,-22,-19,-17,-10,3,-35
795,0,-8,-4,-9,-8,-8,1,17,-26
796,7,-1,9,4,5,2,14,25,-13
797,15,13,17,11,13,13,20,32,-1
798,26,20,25,22,25,19,32,38,9
799,34,32,36,31,37,32,40,44,22
800,41,37,44,37,43,37,41,47,28
801,44,39,43,40,48,45,46,45,38
802,45,44,45,44,50,46,47,45,41
803,46,42,46,46,51,43,47,41,44
804,43,43,45,42,49,45,42,37,45
805,40,39,36,40,44,37,38,32,45
806,35,33,33,37,38,35,33,24,44
807,28,30,28,28,27,28,23,18,37
808,19,23,18,23,22,21,18,9,33
809,12,14,12,15,14,12,7,2,26
810,4,6,2,5,2,4,-1,-7,17
811,-8,2,-4,-2,-3,0,-7,-18,9
812,-13,-5,-15,-13,-12,-11,-16,-23,0
813,-19,-17,-22,-17,-16,-17,-23,-30,-7
814,-25,-22,-26,-26,-27,-24,-31,-36,-13
815,-29,-28,-36,-29,-33,-31,-36,-40,-25
816,-34,-37,-37,-32,-35,-35,-38,-41,-26
817,-38,-38,-40,-39,-40,-38,-41,-43,-33
818,-37,-39,-41,-39,-41,-39,-39,-45,-37
819,-36,-36,-40,-40,-40,-41,-38,-39,-37
820,-38,-37,-40,-37,-38,-38,-37,-32,-38
821,-34,-34,-33,-35,-37,-33,-30,-31,-38
822,-26,-30,-29,-32,-33,-32,-25,-24,-38
823,-24,-27,-24,-25,-22,-24,-19,-17,-33
824,-17,-18,-17,-20,-18,-18,-16,-6,-28
825,-9,-14,-9,-14,-11,-11,-7,1,-24
826,-3,-4,1,-6,-3,-2,2,10,-15
827,8,3,7,2,3,3,7,20,-12
828,18,9,17,12,12,13,16,26,-3
829,26,19,24,19,22,22,26,37,4
830,34,26,30,28,31,31,35,44,14
831,41,35,39,37,39,38,42,51,26
832,49,43,45,41,43,45,44,54,32
833,48,49,53,47,50,51,51,55,42
834,52,50,55,47,51,49,49,57,44
835,53,50,52,48,52,52,50,49,50
836,48,50,53,50,50,50,48,41,52
837,44,46,43,45,46,43,42,36,50
838,36,38,37,39,41,38,34,22,49
839,28,33,29,28,27,28,22,9,43
840,15,20,15,19,18,16,8,-4,34
841,3,10,4,7,4,3,-4,-17,24
842,-8,-5,-9,-5,-5,-9,-16,-28,14
843,-24,-19,-21,-17,-19,-17,-27,-43,4
844,-35,-27,-36,-29,-34,-33,-40,-50,-13
845,-49,-40,-49,-37,-41,-43,-50,-64,-24
846,-57,-50,-56,-53,-55,-52,-62,-69,-36
847,-63,-61,-67,-58,-61,-61,-68,-71,-50
848,-70,-67,-69,-63,-67,-64,-66,-68,-58
849,-67,-66,-70,-63,-68,-69,-66,-63,-67
850,-66,-65,-67,-61,-64,-62,-61,-55,-71
851,-60,-57,-57,-59,-61,-57,-52,-42,-65
852,-49,-52,-49,-47,-48,-49,-36,-25,-63
853,-36,-38,-31,-39,-34,-36,-24,-10,-54
854,-17,-23,-16,-25,-21,-24,-11,8,-46
855,-2,-5,1,-5,-2,-4,11,24,-29
856,18,11,19,13,14,11,26,41,-13
857,34,27,33,31,32,27,40,53,3
858,46,45,50,45,47,44,57,66,21
859,63,57,64,58,60,56,69,74,37
860,71,66,74,70,71,70,77,78,52
861,78,78,80,76,76,76,78,81,64
862,78,78,79,81,81,81,80,74,72
863,79,76,80,81,80,81,74,63,79
864,75,74,72,72,71,73,64,55,83
865,63,67,60,63,62,67,55,40,81
866,49,56,48,52,49,53,37,24,71
867,34,37,30,42,34,38,19,2,60
868,13,19,14,21,12,21,0,-18,45
869,-4,0,-7,0,-5,0,-19,-34,27
870,-25,-19,-23,-18,-20,-20,-34,-50,10
871,-39,-35,-44,-36,-41,-39,-52,-64,-11
872,-56,-50,-58,-51,-55,-53,-64,-76,-27
873,-71,-65,-67,-63,-69,-67,-73,-77,-45
874,-76,-76,-80,-75,-76,-76,-79,-80,-60
875,-81,-80,-80,-78,-80,-79,-80,-78,-69
876,-80,-78,-83,-82,-78,-79,-76,-73,-80
877,-77,-78,-76,-77,-72,-78,-71,-61,-80
878,-68,-71,-68,-72,-69,-72,-60,-47,-80
879,-54,-61,-57,-62,-58,-61,-46,-34,-78
880,-42,-48,-40,-49,-44,-47,-28,-19,-67
881,-26,-29,-26,-32,-29,-32,-14,2,-52
882,-10,-14,-7,-14,-14,-14,6,18,-36
883,7,6,10,1,3,4,20,36,-22
884,25,21,26,20,20,18,37,50,-6
885,39,36,45,37,35,38,51,61,15
886,56,52,57,53,48,52,62,71,28
887,64,65,68,63,61,65,71,78,45
888,75,73,76,73,68,74,74,80,57
889,79,77,76,78,76,76,74,74,67
890,77,77,77,76,74,79,71,63,75
891,72,71,69,70,69,73,62,60,76
892,64,64,62,66,64,66,55,43,73
893,53,57,52,54,51,55,39,30,67
894,40,41,36,45,40,40,26,14,58
895,26,30,23,30,27,32,15,0,48
896,15,12,7,15,12,14,-1,-16,33
897,-2,-1,-3,-1,1,1,-17,-33,19
898,-15,-12,-17,-17,-14,-15,-31,-37,4
899,-29,-27,-30,-27,-26,-27,-38,-51,-9
900,-40,-39,-39,-39,-37,-36,-49,-53,-22
901,-48,-48,-49,-49,-46,-49,-56,-54,-36
902,-54,-55,-53,-55,-51,-54,-58,-56,-43
903,-57,-55,-57,-55,-56,-60,-59,-50,-53
904,-57,-56,-55,-55,-54,-59,-55,-50,-57
905,-54,-53,-53,-55,-52,-56,-49,-42,-56
906,-49,-51,-50,-49,-47,-55,-41,-35,-55
907,-43,-44,-39,-46,-39,-46,-32,-28,-49
908,-36,-33,-34,-38,-35,-38,-25,-20,-47
909,-27,-26,-26,-26,-23,-30,-13,-14,-35
910,-17,-17,-15,-18,-14,-20,-6,-3,-31
911,-6,-7,-6,-7,-6,-13,1,9,-23
912,2,4,4,3,5,-1,10,14,-12
913,14,12,11,12,11,8,18,20,-2
914,20,19,18,18,21,15,24,22,8
915,25,25,27,23,24,23,27,29,15
916,31,27,29,32,31,29,36,33,23
917,34,31,35,36,35,36,34,35,30
918,37,32,36,38,35,39,33,38,33
919,37,36,38,37,38,43,37,35,35
920,37,34,39,37,37,39,31,35,39
921,38,31,35,36,36,38,32,30,38
922,32,34,36,34,33,39,31,28,36
923,30,33,30,32,31,32,25,25,34
924,26,27,27,27,30,29,24,21,32
925,23,24,21,19,23,23,17,16,28
926,19,19,14,17,18,18,14,8,23
927,10,14,11,10,10,12,7,3,20
928,4,5,2,4,3,-1,-4,-2,14
929,-5,-1,-2,-4,-2,-4,-8,-12,9
930,-9,-8,-10,-13,-10,-12,-17,-21,-1
931,-18,-15,-19,-18,-14,-21,-26,-30,-5
932,-25,-22,-28,-25,-25,-27,-33,-35,-14
933,-31,-32,-39,-32,-32,-35,-40,-40,-25
934,-39,-38,-41,-37,-37,-40,-42,-44,-26
935,-40,-44,-42,-42,-43,-44,-45,-48,-35
936,-45,-47,-47,-45,-45,-46,-48,-52,-41
937,-48,-46,-49,-50,-47,-47,-47,-47,-44
938,-47,-47,-48,-47,-46,-47,-41,-39,-50
939,-44,-43,-41,-45,-41,-40,-34,-32,-46
940,-34,-34,-36,-39,-35,-35,-29,-19,-48
941,-29,-28,-26,-27,-25,-27,-15,-9,-41
942,-20,-15,-14,-19,-13,-16,-6,4,-29
943,0,-6,1,-3,-2,-2,9,19,-21
944,11,10,13,13,11,9,26,31,-9
945,27,24,25,23,24,18,36,47,4
946,37,36,37,39,40,36,49,53,18
947,47,49,52,48,47,47,56,63,31
948,54,57,58,59,57,55,63,68,44
949,62,65,64,68,63,65,69,67,55
950,69,69,64,69,65,67,65,65,62
951,66,70,65,70,69,71,63,59,66
952,64,69,59,65,61,65,58,50,68
953,59,58,54,60,56,59,47,36,66
954,46,49,45,49,43,53,33,21,59
955,35,33,27,39,28,35,15,6,49
956,18,16,11,24,14,19,4,-12,39
957,2,1,-3,4,-3,3,-15,-28,24
958,-16,-15,-18,-12,-20,-10,-31,-43,7
959,-32,-27,-33,-29,-35,-27,-45,-53,-9
