,0,1,2,3,4,5,6,7,8
130,-70,-67,-70,-65,-68,-69,-67,-66,-62
131,-68,-66,-67,-67,-66,-68,-62,-58,-67
132,-63,-59,-64,-61,-60,-66,-57,-46,-70
133,-55,-54,-52,-52,-51,-57,-46,-40,-64
134,-45,-46,-40,-46,-45,-47,-38,-23,-56
135,-34,-33,-31,-35,-33,-35,-22,-10,-49
136,-16,-19,-15,-22,-19,-22,-6,6,-40
137,-2,-5,0,-5,-2,-8,7,22,-30
138,9,8,14,7,11,9,21,35,-15
139,24,23,26,22,26,24,32,46,1
140,37,35,40,38,39,37,46,55,14
141,45,48,49,46,47,50,54,58,30
142,55,57,55,54,54,58,58,63,42
143,58,59,62,61,60,62,59,61,52
144,59,59,63,61,61,61,59,60,57
145,58,57,61,59,59,60,56,56,59
146,56,54,56,54,58,59,54,47,59
147,50,48,47,52,52,52,43,36,53
148,41,39,40,43,43,45,32,26,53
149,31,30,29,29,28,31,19,17,44
150,18,19,15,22,20,20,12,4,34
151,9,11,9,11,12,11,1,-7,24
152,-2,0,-2,2,1,0,-13,-19,15
153,-14,-11,-12,-10,-11,-12,-20,-31,5
154,-23,-22,-24,-20,-21,-26,-28,-34,-5
155,-32,-31,-31,-28,-27,-32,-34,-44,-14
156,-39,-31,-34,-34,-35,-38,-40,-51,-24
157,-45,-41,-44,-43,-41,-43,-47,-54,-33
158,-51,-46,-47,-49,-48,-49,-48,-55,-36
159,-50,-48,-52,-50,-50,-52,-48,-53,-44
160,-51,-47,-47,-48,-45,-47,-44,-52,-48
161,-47,-42,-46,-50,-47,-46,-44,-40,-48
162,-44,-43,-44,-44,-41,-45,-40,-39,-45
163,-39,-39,-34,-39,-36,-36,-31,-28,-44
164,-28,-31,-30,-33,-30,-31,-26,-18,-41
165,-25,-23,-22,-25,-19,-22,-12,-7,-33
166,-13,-14,-13,-18,-14,-15,-5,3,-27
167,-2,-7,-2,-6,-1,-5,5,13,-20
168,9,5,10,3,8,5,17,25,-11
169,22,15,20,15,17,15,25,37,2
170,30,26,27,24,25,25,31,41,15
