,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
19,-39,-31,-42,-40,-37,-38,-18,-3,-2,-42,-49,-50,-50,-49,-51,-50,-50,-48,-50,-50,-20,-44,66,-36,-31,-32,-24,2,-18,-18,-18,-20,-15,-16,-16,-23,-18,-18,-17,-14,-16,-25,-28,-22,-29,-27,-33,-38,-37,-39,3,-15,9,-4,0,-12,-15,-16,4,-6,126,-25,-30,-25,-28,-14,-13,-33
20,-34,-24,-37,-34,-31,-33,-32,7,-17,-37,-51,-49,-47,-49,-50,-49,-50,-49,-49,-48,-19,-42,65,-41,-38,-38,-27,-2,-17,-21,-19,-17,-17,-13,-21,-17,-18,-16,-18,-11,-14,-28,-29,-25,-30,-25,-33,-39,-40,-40,-2,-17,4,-7,-1,-12,-17,-21,2,-10,116,-24,-31,-25,-26,-16,-15,-29
21,-26,-15,-34,-29,-27,-29,-39,13,-23,-29,-47,-44,-43,-47,-46,-44,-44,-46,-47,-45,-17,-36,62,-45,-45,-44,-32,-6,-19,-21,-20,-15,-21,-9,-23,-13,-14,-10,-16,-10,-10,-31,-28,-26,-31,-22,-30,-36,-42,-39,-7,-17,-2,-13,-5,-12,-20,-24,-1,-17,107,-25,-27,-25,-26,-17,-19,-25
22,-19,-5,-28,-22,-17,-19,-37,11,-20,-21,-44,-38,-35,-43,-40,-39,-41,-37,-44,-40,-11,-29,57,-45,-47,-48,-33,-13,-17,-21,-20,-11,-24,-6,-22,-5,-10,-3,-13,-9,-9,-30,-26,-26,-33,-22,-26,-31,-43,-35,-10,-19,-6,-18,-8,-10,-23,-29,-4,-20,97,-22,-25,-22,-19,-20,-21,-20
23,-9,3,-19,-15,-4,-8,-38,1,-27,-14,-39,-31,-26,-36,-34,-32,-35,-30,-38,-30,-6,-25,52,-46,-50,-51,-32,-17,-14,-21,-20,-7,-24,-4,-23,0,-9,2,-8,-5,-5,-30,-25,-28,-33,-18,-25,-30,-41,-29,-14,-20,-11,-19,-6,-7,-27,-33,-6,-24,85,-20,-21,-18,-14,-24,-23,-13
24,0,10,-10,-6,4,0,-34,2,-38,-6,-30,-25,-18,-29,-27,-23,-25,-23,-34,-21,-2,-17,51,-49,-49,-53,-32,-21,-11,-21,-18,-5,-25,-3,-25,7,-4,7,-6,-3,-3,-28,-24,-28,-31,-17,-22,-23,-40,-27,-17,-22,-17,-21,-8,-6,-28,-34,-7,-29,72,-20,-19,-17,-11,-21,-24,-6
25,8,17,-1,4,12,8,-28,11,-45,1,-24,-14,-8,-21,-17,-12,-16,-16,-25,-15,3,-10,43,-47,-50,-53,-31,-23,-9,-20,-19,0,-27,-2,-26,12,-1,10,-1,-2,1,-27,-23,-29,-29,-14,-16,-19,-37,-21,-20,-23,-20,-24,-8,-2,-29,-35,-9,-35,61,-18,-14,-10,-6,-18,-26,0
26,15,20,7,11,18,14,-24,12,-43,8,-16,-4,1,-12,-9,-4,-9,-4,-12,-6,5,-2,36,-42,-51,-53,-29,-27,-5,-19,-15,3,-28,1,-27,14,-1,14,0,1,0,-27,-22,-28,-27,-11,-12,-18,-35,-19,-22,-25,-25,-25,-8,-2,-32,-36,-9,-42,50,-11,-11,-7,-2,-19,-26,6
27,21,26,12,13,23,20,-21,7,-47,14,-6,5,9,-4,1,4,1,4,-4,5,6,7,32,-40,-46,-49,-30,-28,0,-15,-12,7,-25,2,-29,16,1,15,1,1,2,-26,-23,-27,-25,-10,-10,-16,-33,-13,-24,-25,-29,-23,-7,0,-33,-35,-12,-43,38,-12,-7,-8,0,-22,-27,10
28,27,26,21,21,28,27,-16,5,-50,22,2,11,16,7,7,12,11,12,4,12,7,10,28,-37,-42,-45,-28,-31,1,-10,-12,11,-26,3,-33,18,2,17,2,-1,4,-28,-23,-25,-25,-7,-8,-10,-29,-11,-26,-21,-31,-25,-7,1,-32,-34,-14,-46,25,-8,-3,-5,5,-22,-27,14
29,31,28,23,25,30,30,-7,10,-50,25,12,19,25,15,14,19,18,19,10,20,11,13,21,-33,-34,-38,-27,-36,5,-9,-7,14,-25,0,-33,19,3,19,4,-1,3,-28,-21,-24,-24,-6,-2,-7,-24,-6,-28,-23,-37,-24,-5,1,-35,-35,-15,-49,15,-5,1,0,7,-22,-26,18
30,33,25,27,25,29,29,-1,3,-46,27,21,25,28,22,20,24,23,25,18,25,13,17,15,-26,-29,-32,-22,-37,7,-7,-6,14,-21,2,-32,18,4,15,4,0,2,-26,-20,-23,-22,-4,2,-6,-20,-6,-29,-21,-39,-25,-1,2,-35,-33,-15,-51,4,-2,0,2,7,-23,-24,22
31,32,22,29,25,27,27,2,-14,-46,25,28,27,33,24,25,28,29,28,24,30,12,20,10,-19,-25,-28,-20,-38,10,-3,-4,17,-22,-1,-34,15,3,12,4,-2,-1,-25,-21,-21,-21,-4,4,-4,-18,-2,-33,-21,-42,-23,1,-2,-36,-31,-16,-49,-10,1,3,5,7,-25,-23,23
32,29,19,27,24,24,24,6,-23,-42,26,32,28,33,28,31,29,29,32,27,32,10,20,7,-14,-19,-20,-17,-38,12,-1,-3,17,-22,-4,-34,12,5,7,3,-4,-2,-25,-20,-22,-22,-5,5,-2,-14,1,-35,-17,-46,-22,6,0,-37,-28,-17,-46,-21,2,4,4,6,-24,-22,21
33,27,14,24,21,19,20,9,-15,-31,21,33,29,32,29,33,30,31,30,30,33,7,21,1,-12,-15,-13,-12,-39,13,1,2,16,-20,-6,-35,6,2,6,1,-8,-4,-24,-18,-24,-21,-5,8,-3,-8,5,-36,-15,-50,-23,9,-4,-41,-25,-17,-44,-33,2,6,6,8,-24,-18,19
34,23,9,22,20,15,17,13,-20,-27,16,35,28,30,29,32,29,30,32,31,31,5,21,-4,-7,-7,-8,-7,-39,11,5,4,17,-19,-8,-34,1,0,-2,-3,-12,-5,-23,-19,-25,-21,-8,9,-4,-3,9,-36,-13,-51,-21,12,-8,-41,-21,-15,-43,-44,3,6,8,7,-24,-15,17
35,15,2,19,15,6,12,15,-33,-31,12,34,24,27,26,27,27,29,29,30,28,0,20,-7,-1,-1,-3,-4,-40,10,7,6,14,-17,-10,-37,-1,-3,-8,-4,-11,-8,-22,-19,-22,-17,-11,11,-2,0,10,-35,-12,-54,-19,16,-8,-42,-19,-14,-39,-53,3,7,8,6,-21,-13,15
36,10,-4,13,7,-1,6,13,-32,-37,6,29,18,21,23,24,23,25,23,24,24,-6,16,-9,3,0,1,0,-38,10,7,9,14,-13,-10,-38,-9,-5,-11,-8,-14,-9,-20,-16,-20,-17,-11,14,-3,4,11,-32,-7,-54,-18,21,-13,-44,-18,-14,-35,-66,4,7,9,7,-20,-11,10
37,2,-10,4,-1,-8,-2,9,-22,-34,2,23,15,15,18,21,18,21,19,20,17,-9,13,-13,4,3,6,2,-37,8,10,11,11,-12,-11,-37,-13,-8,-16,-9,-14,-11,-18,-16,-21,-15,-9,14,-5,6,14,-31,-6,-57,-17,25,-15,-46,-17,-14,-31,-75,6,6,8,7,-17,-9,8
38,-4,-14,-2,-4,-10,-9,4,-25,-28,-5,18,8,6,15,13,11,14,13,15,10,-11,10,-15,8,7,9,5,-35,4,10,11,7,-11,-10,-40,-18,-12,-19,-12,-14,-12,-16,-16,-15,-15,-13,14,-4,8,15,-30,-4,-54,-18,27,-19,-47,-15,-10,-30,-83,7,7,8,7,-15,-6,3
39,-11,-17,-8,-6,-15,-12,4,-36,-28,-12,11,0,2,9,7,5,7,3,11,4,-13,4,-17,11,10,10,7,-34,1,9,14,5,-8,-12,-38,-19,-14,-22,-13,-16,-12,-14,-13,-15,-10,-13,15,-3,12,13,-30,0,-54,-13,33,-21,-46,-11,-9,-26,-93,5,6,8,4,-12,-6,0
40,-15,-18,-12,-12,-19,-18,-3,-32,-29,-15,4,-6,-7,1,2,-6,0,-6,5,-4,-16,-2,-20,12,11,11,11,-31,-1,10,13,0,-6,-15,-37,-22,-14,-21,-15,-17,-12,-12,-10,-12,-8,-11,16,-1,13,15,-27,-2,-53,-10,37,-22,-44,-9,-8,-23,-104,4,4,9,2,-7,-7,-3
41,-21,-20,-16,-17,-25,-21,-8,-19,-30,-18,-2,-12,-12,-5,-5,-11,-6,-10,-4,-10,-18,-6,-23,11,12,15,14,-29,-6,12,13,-3,-3,-15,-34,-22,-15,-21,-14,-11,-10,-7,-7,-6,-4,-13,14,-2,16,14,-23,0,-53,-11,42,-22,-41,-6,-7,-23,-110,5,4,8,3,-3,-9,-7
42,-23,-19,-23,-20,-25,-25,-9,-19,-28,-22,-10,-18,-13,-13,-12,-16,-14,-16,-10,-13,-17,-9,-21,14,11,13,14,-28,-10,13,13,-7,-2,-12,-32,-22,-16,-21,-12,-9,-9,-2,-2,-1,0,-12,14,1,16,14,-19,4,-50,-9,43,-22,-38,-4,-3,-22,-118,5,3,8,2,-1,-9,-10
43,-24,-18,-25,-21,-25,-21,-9,-24,-26,-22,-16,-22,-16,-18,-16,-20,-16,-20,-15,-18,-18,-13,-21,13,14,15,16,-26,-12,11,13,-10,-2,-8,-31,-19,-14,-17,-13,-7,-6,5,4,4,4,-11,13,4,17,15,-14,5,-48,-7,47,-22,-37,-4,-3,-19,-126,5,4,6,2,0,-10,-11
44,-23,-19,-25,-22,-23,-18,-13,-20,-23,-21,-21,-22,-21,-22,-22,-23,-22,-25,-19,-22,-15,-12,-21,11,13,13,20,-23,-15,9,10,-13,0,-5,-25,-15,-12,-14,-11,-5,-3,11,6,9,9,-10,15,5,18,16,-12,7,-43,-7,51,-16,-33,-2,-2,-17,-131,5,2,5,3,5,-9,-14
45,-20,-16,-24,-21,-21,-14,-17,-8,-21,-19,-23,-25,-22,-25,-26,-24,-23,-25,-21,-26,-13,-10,-20,11,13,14,19,-22,-17,8,10,-14,1,-1,-22,-12,-8,-7,-9,-1,-1,16,13,11,13,-8,14,9,18,17,-4,7,-43,-6,54,-13,-26,-1,-2,-13,-137,6,3,6,4,6,-9,-15
46,-17,-12,-21,-16,-18,-14,-16,-4,-19,-14,-25,-23,-21,-25,-26,-27,-23,-24,-23,-25,-9,-11,-20,12,13,15,19,-19,-16,9,6,-16,3,1,-18,-6,-3,-2,-7,2,1,21,19,20,18,-4,16,16,18,15,1,10,-38,-6,55,-10,-20,-2,0,-11,-138,5,3,4,1,5,-7,-15
47,-17,-8,-19,-14,-15,-10,-15,-8,-15,-14,-27,-22,-20,-26,-25,-26,-26,-24,-27,-27,-6,-7,-17,9,13,14,19,-16,-14,8,4,-18,6,7,-13,0,0,3,-5,6,5,25,26,26,25,-2,15,20,20,12,6,11,-36,-5,54,-6,-14,2,0,-11,-140,7,2,5,0,5,-10,-15
48,-12,0,-14,-10,-6,-5,-16,-8,-11,-7,-28,-20,-18,-24,-21,-21,-21,-22,-25,-22,0,-1,-13,9,12,12,19,-13,-16,4,2,-17,8,11,-7,8,3,8,1,11,10,32,31,30,31,2,13,23,20,10,12,11,-31,-4,57,-3,-7,4,3,-5,-138,7,-1,3,1,4,-9,-15
49,-7,2,-8,-5,0,-2,-8,-1,3,-1,-26,-14,-15,-17,-17,-18,-17,-16,-20,-19,7,2,-9,10,13,11,18,-9,-16,2,0,-20,10,15,-2,10,8,14,5,13,12,36,34,38,36,3,11,25,21,9,16,13,-25,0,59,2,1,5,7,0,-133,4,0,2,-2,1,-11,-16
