,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
13,79,64,40,10,6,4,-1,3,7,8,11,10,-6,3,4,3,2,0,5,0,12,-1,10,8,9,-5,6,0,10,4,7,0,12,-8,7,-13,-14,5,13,5,2,5,7,-1,9,2,6,0,6,-3,16,11,10,-3,13,-6,9,4,15,0,10,3,1,8,7,7,9,8,-2,12,1,10,0,5,5,14,6,-10,-4,1,4,-5,5,0,5,12,0,6,-5,7,1,1,6,11,11,0,-7,7,-1,9,0,-3,10,4,6,8,0,10,-3,11,6,13
14,70,66,39,5,3,1,-4,-1,4,5,6,2,-7,-1,1,-2,-4,-6,2,-4,7,-3,5,3,4,-7,4,-5,6,2,4,-6,9,-12,2,-19,-20,1,10,2,-3,0,4,-5,4,-1,0,-4,2,-6,13,5,5,-6,8,-13,7,0,13,-4,7,-1,-3,2,3,2,8,3,-7,10,-4,8,-3,-1,-1,8,2,-17,-9,-4,-1,-13,0,-4,0,7,-5,2,-12,0,-3,-2,1,5,6,-5,-12,4,-7,4,-5,-8,4,1,1,3,-5,3,-9,6,2,6
15,62,69,38,2,0,-3,-7,-4,1,0,3,-9,-13,-7,-6,-6,-9,-9,-3,-6,5,-8,-1,-2,0,-11,1,-11,4,-3,-3,-10,4,-17,-2,-19,-23,-5,8,0,-8,-4,1,-9,1,-7,-2,-11,-3,-11,9,1,4,-11,4,-17,0,-3,9,-9,1,-4,-9,-4,-2,-2,6,0,-10,4,-7,2,-9,-5,-6,5,-2,-23,-8,-9,-5,-15,-6,-8,-2,3,-12,-1,-15,-3,-8,-11,-4,2,1,-9,-16,2,-12,0,-10,-11,-1,-4,-4,1,-8,-2,-14,4,-3,0
16,51,77,36,-4,-3,-7,-11,-9,-4,-4,-1,-10,-15,-9,-10,-10,-12,-13,-7,-9,-1,-12,-5,-5,-5,-16,-2,-12,0,-8,-6,-16,0,-22,-7,-26,-27,-8,1,-5,-12,-8,-4,-13,-4,-9,-11,-14,-7,-15,6,-2,-1,-15,0,-21,-4,-8,4,-9,-3,-10,-12,-7,-6,-8,2,-5,-14,0,-12,-1,-14,-7,-11,1,-5,-25,-13,-15,-6,-20,-11,-12,-6,-1,-16,-4,-20,-9,-14,-15,-6,-2,-4,-13,-20,-3,-15,-3,-16,-15,-7,-8,-10,-6,-13,-6,-21,-4,-5,-5
17,40,84,37,-7,-8,-10,-14,-11,-6,-5,-3,-9,-18,-13,-10,-11,-15,-18,-11,-14,-7,-12,-7,-7,-10,-20,-6,-14,-2,-14,-9,-18,-2,-23,-13,-29,-29,-12,-4,-9,-16,-12,-7,-16,-6,-11,-17,-14,-12,-20,1,-5,-6,-21,-5,-23,-9,-14,1,-11,-7,-14,-13,-13,-10,-14,-4,-11,-20,-2,-16,-7,-16,-11,-13,-3,-8,-28,-17,-15,-11,-27,-15,-13,-11,-5,-22,-8,-24,-14,-17,-19,-7,-4,-6,-17,-19,-8,-20,-7,-15,-18,-11,-11,-15,-10,-13,-9,-21,-10,-10,-12
18,28,93,40,-11,-10,-14,-16,-14,-9,-11,-8,-13,-18,-16,-13,-15,-18,-21,-15,-20,-10,-18,-10,-14,-15,-21,-11,-19,-6,-15,-14,-22,-5,-25,-16,-34,-35,-15,-5,-13,-19,-15,-12,-18,-11,-15,-21,-21,-15,-25,-5,-10,-11,-22,-8,-27,-12,-17,-1,-15,-13,-15,-16,-17,-11,-18,-6,-17,-23,-8,-20,-7,-18,-17,-16,-7,-13,-32,-18,-20,-15,-29,-16,-16,-14,-7,-25,-11,-28,-18,-22,-25,-10,-8,-7,-22,-24,-10,-23,-12,-20,-22,-16,-14,-18,-15,-16,-15,-24,-14,-15,-17
19,15,103,41,-14,-13,-15,-18,-18,-14,-16,-12,-17,-21,-20,-17,-18,-20,-25,-16,-19,-12,-19,-15,-17,-16,-24,-11,-19,-11,-17,-15,-25,-8,-27,-19,-35,-39,-18,-9,-14,-20,-18,-15,-22,-16,-19,-25,-22,-16,-27,-9,-13,-14,-25,-11,-29,-16,-19,-8,-18,-18,-18,-20,-22,-15,-21,-9,-22,-27,-12,-21,-12,-24,-18,-20,-10,-17,-35,-21,-22,-17,-32,-19,-16,-16,-11,-30,-14,-31,-21,-28,-27,-14,-10,-11,-28,-27,-14,-29,-14,-21,-26,-21,-16,-22,-17,-19,-19,-31,-20,-16,-23
20,1,109,41,-14,-17,-19,-22,-20,-18,-16,-14,-19,-23,-22,-22,-22,-22,-25,-19,-19,-18,-23,-20,-21,-18,-28,-15,-24,-13,-20,-19,-25,-10,-28,-23,-38,-38,-20,-11,-19,-21,-20,-19,-22,-16,-21,-27,-23,-21,-29,-12,-17,-16,-29,-15,-34,-20,-24,-13,-22,-19,-20,-21,-26,-19,-26,-12,-28,-30,-15,-25,-19,-29,-20,-25,-13,-22,-36,-24,-24,-18,-38,-23,-17,-18,-15,-36,-16,-35,-25,-33,-32,-18,-13,-14,-30,-30,-18,-31,-17,-22,-25,-24,-20,-26,-22,-22,-24,-33,-21,-20,-26
21,-12,108,39,-14,-20,-21,-25,-25,-22,-17,-17,-20,-25,-24,-21,-23,-24,-29,-20,-23,-20,-25,-18,-23,-22,-29,-17,-27,-18,-21,-20,-28,-15,-30,-27,-39,-38,-23,-16,-21,-23,-25,-21,-23,-18,-24,-34,-27,-23,-34,-16,-21,-20,-29,-19,-35,-20,-25,-14,-24,-22,-22,-26,-29,-22,-29,-17,-34,-34,-19,-27,-22,-32,-24,-24,-17,-25,-36,-25,-28,-22,-42,-25,-19,-23,-16,-39,-19,-39,-29,-34,-36,-20,-17,-17,-33,-30,-21,-34,-20,-28,-28,-26,-22,-31,-26,-23,-25,-36,-27,-21,-31
22,-27,105,40,-17,-21,-24,-26,-26,-24,-20,-19,-28,-25,-27,-25,-25,-28,-28,-25,-23,-26,-25,-24,-27,-22,-29,-19,-28,-19,-23,-24,-30,-19,-32,-28,-40,-39,-25,-18,-24,-27,-27,-21,-28,-23,-26,-37,-26,-25,-36,-21,-23,-24,-29,-20,-36,-24,-29,-16,-25,-23,-24,-28,-34,-23,-31,-17,-37,-34,-23,-28,-24,-33,-25,-30,-20,-28,-40,-25,-27,-26,-42,-27,-21,-26,-20,-41,-21,-40,-32,-36,-39,-23,-20,-22,-37,-31,-22,-38,-22,-28,-29,-32,-25,-33,-28,-28,-30,-39,-30,-23,-31
23,-40,100,42,-19,-23,-26,-27,-24,-26,-23,-23,-27,-27,-28,-28,-26,-30,-30,-26,-28,-27,-29,-26,-28,-28,-29,-22,-29,-24,-26,-26,-30,-20,-33,-32,-40,-41,-28,-21,-24,-26,-28,-23,-28,-26,-28,-38,-28,-28,-37,-23,-23,-28,-30,-22,-33,-23,-35,-23,-30,-27,-26,-30,-35,-28,-33,-23,-37,-37,-23,-29,-25,-33,-28,-31,-20,-30,-40,-26,-32,-28,-44,-28,-23,-28,-21,-44,-21,-41,-35,-39,-40,-24,-22,-24,-39,-33,-24,-41,-22,-29,-29,-35,-26,-38,-32,-29,-36,-41,-32,-29,-36
