
1000000
48610;-16926
25166;25166
0;0
0;0
32768;-32768
33024;-32512
0;0
16968;16968

1000000
24576;24576
16134;16134
44;44
65408;-128
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
1538;1538
60;60
38;38
43;43
1;1
65499;-37
65511;-25
0;0
0;0
65531;-5
4;4
12;12
1;1
65524;-12
2;2
18;18
15;15
65534;-2
65522;-14
65524;-12
65535;-1
1;1
65532;-4
65534;-2
11;11
19;19
8;8
65533;-3
65535;-1
65534;-2
65524;-12
65516;-20
65532;-4
20;20
22;22
3;3
65524;-12
65530;-6
0;0
65529;-7
65520;-16
65526;-10
7;7
11;11
2;2
65529;-7
65530;-6
2;2
65533;-3
65529;-7
65535;-1
6;6
2;2
65528;-8
65530;-6
8;8
19;19
14;14
65530;-6
65519;-17
65526;-10
1;1
19878;19878
65519;-17
65526;-10
1;1
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
3074;3074
60;60
6;6
8;8
9;9
5;5
65524;-12
65521;-15
2;2
15;15
12;12
7;7
65528;-8
65513;-23
65513;-23
65533;-3
16;16
20;20
17;17
7;7
65527;-9
65512;-24
65518;-18
3;3
18;18
23;23
12;12
65530;-6
65517;-19
65519;-17
65535;-1
12;12
14;14
9;9
4;4
65520;-16
65512;-24
65526;-10
7;7
8;8
65534;-2
65531;-5
65529;-7
65518;-18
65517;-19
2;2
10;10
2;2
65529;-7
65530;-6
0;0
0;0
3;3
5;5
65535;-1
1;1
6;6
10;10
11;11
10;10
65532;-4
65512;-24
15088;15088
10;10
65532;-4
65512;-24
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
4610;4610
60;60
65515;-21
7;7
30;30
23;23
9;9
65531;-5
65518;-18
65513;-23
65532;-4
24;24
28;28
12;12
65526;-10
65513;-23
65516;-20
65529;-7
10;10
15;15
10;10
65533;-3
65519;-17
65521;-15
1;1
15;15
11;11
65533;-3
65531;-5
65532;-4
65533;-3
2;2
13;13
24;24
15;15
65529;-7
65515;-21
65518;-18
65528;-8
65530;-6
0;0
8;8
10;10
65533;-3
65517;-19
65515;-21
65526;-10
1;1
3;3
5;5
9;9
12;12
9;9
65535;-1
65533;-3
6;6
12;12
6;6
3;3
15;15
19;19
4;4
37008;-28528
15;15
19;19
4;4
57292;-8244
18951;18951
38579;-26957
5859;5859
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
6402;6402
60;60
65525;-11
65526;-10
65533;-3
1;1
65535;-1
65533;-3
65532;-4
65527;-9

1000000
65522;-14
65525;-11
65530;-6
65535;-1
65535;-1
65529;-7
65528;-8
65533;-3
2;2
9;9
10;10
5;5
65535;-1
65528;-8
65527;-9
65533;-3
7;7
11;11
11;11
4;4
65535;-1
65531;-5
65530;-6
65531;-5
65531;-5
65531;-5
0;0
10;10
15;15
3;3
65528;-8
65527;-9
65532;-4
65531;-5
65529;-7
5;5
16;16
13;13
2;2
65534;-2
6;6
7;7
3;3
65534;-2
65529;-7
65534;-2
3;3
5;5
5;5
10;10
10;10
0;0
55537;-9999
10;10
10;10
0;0
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
7938;7938
60;60
65521;-15
65519;-17
65524;-12
65532;-4
65534;-2
65530;-6
65535;-1
65532;-4
65527;-9
65526;-10
65532;-4
2;2
65534;-2
65533;-3
65535;-1
3;3
5;5
1;1
3;3
13;13
21;21
12;12
65535;-1
65534;-2
12;12
19;19
16;16
6;6
65532;-4
65530;-6
65535;-1
5;5
5;5
1;1
65525;-11
65515;-21
65514;-22
65529;-7
14;14
18;18
0;0
65519;-17
65519;-17
65529;-7
65535;-1
10;10
19;19
16;16
4;4
65533;-3
65534;-2
0;0
0;0
5;5
3;3
65531;-5
65528;-8
0;0
2;2
65531;-5
8857;8857
0;0
2;2
65531;-5
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
9474;9474
60;60
65532;-4
65533;-3
65524;-12
65516;-20
65523;-13
1;1
4;4
1;1
1;1
0;0
65534;-2
2;2
10;10
8;8
65535;-1
65530;-6
4;4
13;13
15;15
15;15
14;14
5;5
65535;-1
65526;-10
65521;-15
65525;-11
1;1
14;14
12;12
65535;-1
65526;-10
65525;-11
65518;-18
65514;-22
65529;-7
8;8
9;9
65533;-3
65528;-8
65533;-3
2;2
1;1
2;2
3;3
6;6
1;1
65535;-1
2;2
15;15
25;25
13;13
65533;-3
65531;-5
0;0
65531;-5
65532;-4
6;6
16;16
6;6
65523;-13
63849;-1687
16;16
6;6
65523;-13
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
11010;11010
60;60
65514;-22
65518;-18
65529;-7
65535;-1
65529;-7
65523;-13
65529;-7
65532;-4
65522;-14
65525;-11
10;10
25;25
13;13
0;0
65534;-2
0;0
4;4
11;11
12;12
11;11
7;7
4;4
2;2
1;1
1;1
65530;-6
65523;-13
65525;-11
65534;-2
5;5
0;0
65528;-8

1000000
65526;-10
65521;-15
65517;-19
65526;-10
5;5
7;7
1;1
5;5
9;9
7;7
0;0
65533;-3
3;3
6;6
10;10
12;12
4;4
65533;-3
0;0
9;9
15;15
16;16
4;4
65524;-12
65516;-20
65523;-13
2;2
7;7
26323;26323
65523;-13
2;2
7;7
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
12802;12802
60;60
3;3
65532;-4
65523;-13
65520;-16
65530;-6
7;7
11;11
65535;-1
65525;-11
65524;-12
65533;-3
14;14
18;18
11;11
5;5
1;1
65534;-2
65533;-3
5;5
10;10
6;6
65534;-2
65532;-4
65533;-3
65530;-6
65525;-11
65526;-10
65525;-11
65521;-15
65524;-12
65529;-7
65535;-1
65532;-4
65523;-13
65519;-17
65524;-12
65532;-4
2;2
7;7
12;12
15;15
11;11
10;10
18;18
20;20
14;14
2;2
65535;-1
8;8
23;23
27;27
15;15
4;4
65535;-1
65527;-9
65524;-12
65526;-10
65533;-3
65530;-6
65525;-11
32780;-32756
65533;-3
65530;-6
65525;-11
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
14338;14338
60;60
65525;-11
65524;-12
65518;-18
65512;-24
65513;-23
65524;-12
65532;-4
65534;-2
65532;-4
65534;-2
65535;-1
65535;-1
1;1
8;8
18;18
14;14
3;3
1;1
8;8
22;22
17;17
6;6
65535;-1
65532;-4
65531;-5
65528;-8
65533;-3
65534;-2
65533;-3
65528;-8
65524;-12
65526;-10
65531;-5
1;1
4;4
3;3
65533;-3
65530;-6
0;0
14;14
23;23
28;28
21;21
13;13
12;12
9;9
5;5
4;4
7;7
9;9
65532;-4
65520;-16
65518;-18
65521;-15
65516;-20
65510;-26
65508;-28
65514;-22
65516;-20
65513;-23
33236;-32300
65514;-22
65516;-20
65513;-23
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
15874;15874
60;60
65510;-26
65512;-24
65522;-14
65532;-4
7;7
13;13
16;16
16;16
13;13
18;18
29;29
37;37
31;31
19;19
12;12
11;11
13;13
16;16
8;8
65534;-2
65525;-11
65519;-17
65518;-18
65522;-14
65523;-13
65520;-16
65513;-23
65508;-28
65513;-23
65520;-16
65527;-9
65534;-2
6;6
11;11
7;7
1;1
65534;-2
7;7
19;19
28;28
33;33
33;33
21;21
6;6
65533;-3
65533;-3
3;3
3;3
65534;-2
65524;-12
65521;-15
65518;-18
65513;-23
65509;-27
65507;-29
65505;-31
65504;-32
65506;-30
65521;-15
3;3
62287;-3249
65506;-30
65521;-15
3;3
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
17410;17410
60;60
11;11
8;8
4;4
8;8
16;16
20;20
25;25
26;26
28;28
32;32
31;31
29;29
26;26
16;16
0;0
65524;-12
65525;-11
65530;-6
65529;-7
65520;-16
65513;-23
65511;-25
65509;-27
65510;-26
65514;-22
65514;-22
65513;-23
65518;-18
65525;-11
65527;-9
65527;-9
0;0
6;6
14;14
25;25
31;31
35;35
25;25
15;15
9;9
14;14
18;18
20;20
11;11
0;0
65529;-7
65526;-10
65525;-11
65521;-15
65517;-19
65512;-24
65510;-26
65509;-27
65513;-23
65521;-15
65533;-3
65535;-1
65533;-3
65532;-4
2;2
44074;-21462
65533;-3
65532;-4
2;2
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
19202;19202
60;60
12;12
23;23
22;22
23;23
24;24
19;19
14;14
15;15
21;21
24;24
16;16
4;4

1000000
65519;-17
65517;-19
1734;1734
8;8
65520;-16
65515;-21
1734;1734
8;8
65520;-16
65522;-14
1734;1734
8;8
65531;-5
0;0
1734;1734
8;8
24;24
23;23
1734;1734
8;8
17;17
19;19
1734;1734
8;8
12;12
8;8
1734;1734
8;8
65529;-7
65529;-7
1734;1734
8;8
65520;-16
65515;-21
1734;1734
8;8
65524;-12
0;0
1734;1734
8;8
65532;-4
65527;-9
1734;1734
8;8
18;18
13;13
1990;1990
2;2
18;18
13;13
1478;1478
8;8
16007;16007
6266;6266
1734;1734
8;8
20738;20738
60;60
1734;1734
8;8
15;15
15;15
1734;1734
8;8
12;12
4;4
1734;1734
8;8
65529;-7
65530;-6
1734;1734
8;8
65520;-16
65524;-12
1734;1734
8;8
65519;-17
65526;-10
1734;1734
8;8
65528;-8
65535;-1
1734;1734
8;8
22;22
21;21
1734;1734
8;8
9;9
7;7
1734;1734
8;8
19;19
12;12
1734;1734
8;8
65530;-6
65520;-16
1734;1734
8;8
65520;-16
65521;-15
1734;1734
8;8
65529;-7
65525;-11
1734;1734
8;8
65532;-4
8;8
1734;1734
8;8
6;6
6;6
1734;1734
8;8
20;20
22;22
1990;1990
2;2
20;20
22;22
1478;1478
8;8
16007;16007
6266;6266
1734;1734
8;8
22274;22274
60;60
1734;1734
8;8
0;0
65533;-3
1734;1734
8;8
1;1
65528;-8

1000000
65525;-11
65526;-10
65522;-14
65517;-19
65517;-19
65523;-13
65527;-9
65523;-13
65524;-12
65533;-3
1;1
0;0
4;4
12;12
11;11
3;3
65534;-2
0;0
10;10
19;19
22;22
20;20
11;11
5;5
0;0
65529;-7
65530;-6
0;0
1;1
65528;-8
65524;-12
65524;-12
65527;-9
65531;-5
65531;-5
65533;-3
65529;-7
65528;-8
65527;-9
65532;-4
0;0
1;1
65535;-1
5;5
11;11
11;11
10;10
7;7
2;2
2;2
3;3
5;5
16876;16876
2;2
3;3
5;5
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
23810;23810
60;60
8;8
7;7
0;0
65533;-3
65531;-5
65534;-2
1;1
65531;-5
65520;-16
65520;-16
65525;-11
65528;-8
65524;-12
65528;-8
65535;-1
0;0
0;0
4;4
7;7
65533;-3
65527;-9
65534;-2
13;13
28;28
30;30
24;24
15;15
8;8
5;5
1;1
2;2
5;5
6;6
0;0
65533;-3
65534;-2
65533;-3
65523;-13
65514;-22
65513;-23
65517;-19
65520;-16
65518;-18
65526;-10
65531;-5
65535;-1
65533;-3
65528;-8
65529;-7
65535;-1
1;1
65535;-1
1;1
10;10
16;16
12;12
17;17
17;17
14;14
4;4
12680;12680
17;17
14;14
4;4
48609;-16927
25166;25166
16007;16007
6266;6266
32768;-32768
36864;-28672
25602;25602
60;60
1;1
5;5
7;7
4;4
65533;-3
65530;-6
65531;-5
0;0
65535;-1
65529;-7
65527;-9
65528;-8
0;0
1;1
65530;-6
65530;-6
65534;-2
1;1
3;3
8;8
11;11
12;12
5;5
3;3
6;6
12;12
14;14
8;8
5;5
1;1
65535;-1
65533;-3
65530;-6
65527;-9
65522;-14
65519;-17
65517;-19
65519;-17
65518;-18
65522;-14
65523;-13
65523;-13
65520;-16
65523;-13
65522;-14
