
1000000
48807;-16729
25166;25166
0;0
0;0
32768;-32768
33024;-32512
0;0
16968;16968

1000000
32768;-32768
15881;15881
44;44
65408;-128
48807;-16729
25166;25166
0;0
0;0
32768;-32768
36864;-28672
0;0
1;1
11;11
1751;1751
0;0
1;1
37607;-27929
10277;10277
38625;-26911
5859;5859
48807;-16729
25166;25166
11782;11782
6263;6263
32768;-32768
35840;-29696
3;3
0;0
0;0
16128;16128
16398;16398
0;0
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
35840;-29696
3;3
0;0
9815;9815
49331;-16205
21845;21845
16085;16085
58710;-6826
17529;17529
0;0
16256;16256
19050;19050
14557;14557
48001;-17535
16256;16256

1000000
48808;-16728
25166;25166
0;0
0;0
32768;-32768
33024;-32512
0;0
16968;16968

1000000
24576;24576
16134;16134
44;44
65408;-128
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
1538;1538
60;60
12;12
43;43
29;29
65522;-14
65499;-37
65502;-34
65516;-20
3;3
22;22
24;24
14;14
65533;-3
65517;-19
65512;-24
65521;-15
65532;-4
1;1
9;9
31;31
37;37
7;7
65507;-29
65502;-34
65523;-13
5;5
22;22
35;35
22;22
65528;-8
65512;-24
65518;-18
65531;-5
4;4
13;13
9;9
65529;-7
65520;-16
65523;-13
65533;-3
7;7
13;13
9;9
2;2
65535;-1
65527;-9
65515;-21
65511;-25
65529;-7
8;8
9;9
5;5
11;11
12;12
65534;-2
65515;-21
65505;-31
65515;-21
4;4
29;29
28;28
37399;-28137
4;4
29;29
28;28
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
3074;3074
60;60
12;12
65535;-1
65535;-1
65530;-6
65526;-10
65531;-5
1;1
65533;-3
65532;-4
5;5
12;12
8;8
3;3
3;3
5;5
3;3
65527;-9
65518;-18
65515;-21
65534;-2
23;23
30;30
19;19
7;7
65534;-2
65512;-24
65501;-35
65521;-15
15;15
22;22
5;5
3;3
10;10
65535;-1
65512;-24
65516;-20
6;6
29;29
22;22
65526;-10
65507;-29
65518;-18
0;0
3;3
7;7
26;26
31;31
65533;-3
65500;-36
65505;-31
1;1
11;11
1;1
65534;-2
10;10
22;22
10;10
65522;-14
65513;-23
0;0
49836;-15700
65522;-14
65513;-23
0;0
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
4610;4610
60;60
25;25
14;14
65520;-16
65515;-21
65530;-6
65529;-7
65524;-12
9;9
37;37
28;28
65522;-14
65494;-42
65501;-35
65525;-11
10;10
9;9
65535;-1
65532;-4
6;6
6;6
1;1
3;3
1;1
65514;-22
65497;-39
65521;-15
29;29
34;34
10;10
2;2
18;18
18;18
65535;-1
65517;-19
65521;-15
65532;-4
4;4
13;13
21;21
22;22
9;9
65519;-17
65509;-27
65529;-7
21;21
16;16
65527;-9
65512;-24
65522;-14
65534;-2
3;3
11;11
18;18
16;16
6;6
65530;-6
65523;-13
65515;-21
65516;-20
65527;-9
43888;-21648
65515;-21
65516;-20
65527;-9
48933;-16603
25535;25535
38625;-26911
5859;5859
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
6402;6402
60;60
9;9
24;24
20;20
3;3
65524;-12
65518;-18
65530;-6
1;1

1000000
0;0
65533;-3
65529;-7
65529;-7
1;1
17;17
24;24
15;15
65532;-4
65514;-22
65514;-22
65525;-11
4;4
7;7
65534;-2
65529;-7
2;2
11;11
11;11
5;5
65535;-1
65520;-16
65509;-27
65517;-19
6;6
30;30
29;29
11;11
65529;-7
65521;-15
65523;-13
65531;-5
0;0
8;8
17;17
8;8
65526;-10
65516;-20
65526;-10
1;1
1;1
65531;-5
65528;-8
65530;-6
1;1
65535;-1
65533;-3
9;9
17;17
6;6
65517;-19
65517;-19
43133;-22403
6;6
65517;-19
65517;-19
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
7938;7938
60;60
2;2
11;11
12;12
7;7
2;2
65532;-4
65534;-2
4;4
7;7
9;9
10;10
65535;-1
65515;-21
65518;-18
4;4
21;21
23;23
16;16
9;9
65525;-11
65514;-22
65524;-12
1;1
15;15
15;15
9;9
65533;-3
65519;-17
65519;-17
65533;-3
12;12
19;19
7;7
65527;-9
65518;-18
65524;-12
65532;-4
65534;-2
65535;-1
5;5
9;9
65532;-4
65519;-17
65520;-16
65534;-2
6;6
4;4
65535;-1
2;2
0;0
65533;-3
65533;-3
0;0
4;4
5;5
4;4
4;4
8;8
5;5
65532;-4
32477;32477
8;8
5;5
65532;-4
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
9474;9474
60;60
65524;-12
65530;-6
1;1
5;5
10;10
18;18
9;9
65523;-13
65511;-25
65527;-9
6;6
11;11
9;9
2;2
65531;-5
65521;-15
65519;-17
65526;-10
5;5
19;19
13;13
65530;-6
65516;-20
65526;-10
10;10
17;17
10;10
0;0
65524;-12
65521;-15
65532;-4
19;19
30;30
17;17
65533;-3
65517;-19
65512;-24
65519;-17
65532;-4
9;9
13;13
11;11
3;3
65528;-8
65521;-15
65524;-12
65533;-3
2;2
9;9
16;16
19;19
10;10
65535;-1
65531;-5
5;5
11;11
7;7
1;1
7;7
12;12
1403;1403
1;1
7;7
12;12
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
11010;11010
60;60
12;12
65531;-5
65516;-20
65512;-24
65521;-15
65531;-5
65533;-3
65532;-4
65527;-9
65520;-16
65517;-19
65521;-15
65528;-8
65534;-2
3;3
65532;-4
65526;-10
65532;-4
9;9
21;21
14;14
2;2
65530;-6
65529;-7
65533;-3
8;8
15;15
11;11
4;4
65533;-3
65529;-7
65527;-9

1000000
65528;-8
65526;-10
65524;-12
65530;-6
1;1
3;3
65530;-6
65528;-8
65527;-9
65530;-6
65530;-6
65535;-1
13;13
20;20
7;7
65532;-4
1;1
20;20
24;24
12;12
1;1
0;0
2;2
4;4
5;5
9;9
13;13
11;11
59796;-5740
9;9
13;13
11;11
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
12802;12802
60;60
0;0
65523;-13
65521;-15
65525;-11
65527;-9
65522;-14
65527;-9
0;0
0;0
65524;-12
65518;-18
65523;-13
65530;-6
65534;-2
8;8
13;13
4;4
65531;-5
65533;-3
11;11
21;21
25;25
17;17
4;4
65534;-2
7;7
16;16
12;12
5;5
4;4
1;1
65532;-4
65532;-4
3;3
65534;-2
65522;-14
65518;-18
65519;-17
65529;-7
5;5
10;10
1;1
65526;-10
65527;-9
0;0
65535;-1
65535;-1
7;7
9;9
5;5
2;2
65535;-1
65534;-2
65533;-3
65534;-2
65535;-1
65531;-5
65528;-8
65532;-4
65533;-3
54730;-10806
65528;-8
65532;-4
65533;-3
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
14338;14338
60;60
65529;-7
65524;-12
65530;-6
65531;-5
65527;-9
65528;-8
65529;-7
65533;-3
0;0
5;5
3;3
1;1
3;3
5;5
3;3
65532;-4
65533;-3
5;5
16;16
18;18
10;10
0;0
65532;-4
65535;-1
65533;-3
65534;-2
1;1
5;5
7;7
65535;-1
65531;-5
1;1
7;7
1;1
65523;-13
65524;-12
3;3
11;11
2;2
65533;-3
0;0
4;4
1;1
65528;-8
65527;-9
65535;-1
3;3
65533;-3
65528;-8
6;6
18;18
8;8
65528;-8
65529;-7
8;8
8;8
65534;-2
65532;-4
6;6
10;10
1465;1465
65532;-4
6;6
10;10
48807;-16729
25166;25166
7376;7376
6265;6265
32768;-32768
36864;-28672
15874;15874
60;60
1;1
65528;-8
65530;-6
0;0
65535;-1
65530;-6
65532;-4
3;3
65534;-2
65518;-18
65514;-22
65533;-3
12;12
14;14
4;4
65528;-8
65522;-14
65520;-16
65531;-5
6;6
12;12
3;3
65529;-7
65532;-4
5;5
7;7
65530;-6
65523;-13
65529;-7
3;3
